comparison_type,workload,method,ablation,n,valid_count,seeds,full_score_mean,full_score_std,full_score_ci95_half,full_score_min,full_score_max,full_score_delta_vs_reference_mean,full_score_delta_vs_reference_std,full_score_delta_vs_reference_ci95_half,full_score_delta_vs_reference_min,full_score_delta_vs_reference_max,full_score_relative_change_pct_vs_reference_mean,full_score_relative_change_pct_vs_reference_std,full_score_relative_change_pct_vs_reference_ci95_half,full_score_relative_change_pct_vs_reference_min,full_score_relative_change_pct_vs_reference_max
ablation_vs_reference,GEMM,comm-only,comm-only,10,10,"40,41,42,43,44,45,46,47,48,49",7.408983074137789,0.7310583941870513,0.4531146871303911,6.934558829910377,8.857975012267797,1.4089830741377884,0.7310583941870513,0.4531146871303911,0.934558829910376,2.8579750122677963,23.48305123562981,12.184306569784185,7.551911452173183,15.575980498506258,47.632916871129936
ablation_vs_reference,GEMM,thermal-only,thermal-only,10,10,"40,41,42,43,44,45,46,47,48,49",8.497201660753102,1.0200917490847683,0.6322594164927587,7.271100431485007,9.674114451310825,2.4972016607531007,1.0200917490847683,0.6322594164927587,1.2711004314850065,3.6741144513108237,41.620027679218346,17.0015291514128,10.537656941545976,21.185007191416783,61.23524085518039
ablation_vs_reference,GEMM,wout-comm,wout-comm,10,10,"40,41,42,43,44,45,46,47,48,49",4.029597426263151,0.12668749397475734,0.07852172227574189,3.939489183062599,4.354635560447085,-1.9704025737368496,0.12668749397475734,0.07852172227574189,-2.060510816937402,-1.6453644395529157,-32.84004289561416,2.111458232912621,1.308695371262364,-34.3418469489567,-27.42274065921526
ablation_vs_reference,GEMM,wout-thermal,wout-thermal,10,10,"40,41,42,43,44,45,46,47,48,49",3.925001287807973,0.175434675212169,0.1087355382314981,3.747563007620672,4.33993589705318,-2.074998712192028,0.175434675212169,0.1087355382314981,-2.252436992379329,-1.660064102946821,-34.58331186986713,2.923911253536148,1.8122589705249674,-37.54061653965547,-27.667735049113684
ablation_vs_reference,HNN,comm-only,comm-only,10,10,"40,41,42,43,44,45,46,47,48,49",6.016945427722705,0.3516489165492717,0.2179542565531306,5.598482857497673,6.617329352542236,0.01694542772270431,0.3516489165492717,0.2179542565531306,-0.4015171425023283,0.6173293525422352,0.28242379537840473,5.860815275821192,3.632570942552175,-6.691952375038801,10.288822542370578
ablation_vs_reference,HNN,thermal-only,thermal-only,10,10,"40,41,42,43,44,45,46,47,48,49",9.95218937674901,1.0922707455078453,0.6769964219654843,8.795747140814411,11.848388896192716,3.9521893767490086,1.0922707455078453,0.6769964219654843,2.7957471408144103,5.8483888961927155,65.86982294581681,18.204512425130755,11.283273699424738,46.59578568024016,97.47314826987858
ablation_vs_reference,HNN,wout-comm,wout-comm,10,10,"40,41,42,43,44,45,46,47,48,49",5.366801851768263,0.21157879567464055,0.1311378961897402,5.018618423859829,5.796309939639882,-0.6331981482317384,0.21157879567464055,0.1311378961897402,-0.9813815761401719,-0.2036900603601186,-10.553302470528973,3.5263132612440082,2.185631603162336,-16.35635960233619,-3.3948343393353064
ablation_vs_reference,HNN,wout-thermal,wout-thermal,10,10,"40,41,42,43,44,45,46,47,48,49",5.236994201485656,0.1337593322481189,0.08290489304862418,5.095942056320546,5.480205687882954,-0.7630057985143444,0.1337593322481189,0.08290489304862418,-0.9040579436794545,-0.519794312117047,-12.716763308572402,2.2293222041353125,1.381748217477068,-15.06763239465757,-8.663238535284112
ablation_vs_reference,MPEG4,comm-only,comm-only,10,10,"40,41,42,43,44,45,46,47,48,49",5.923052211554325,0.8724923541711176,0.5407763637315564,4.68710517371262,7.151852991394072,-0.07694778844567587,0.8724923541711176,0.5407763637315564,-1.3128948262873807,1.1518529913940707,-1.2824631407612608,14.541539236185294,9.012939395525938,-21.881580438123006,19.197549856567854
ablation_vs_reference,MPEG4,thermal-only,thermal-only,10,10,"40,41,42,43,44,45,46,47,48,49",6.221949344576427,1.0794922810463732,0.6690762476367216,4.901863087806651,8.669609238395736,0.22194934457642618,1.0794922810463732,0.6690762476367216,-1.0981369121933495,2.6696092383957355,3.6991557429404383,17.991538017439552,11.15127079394536,-18.302281869889157,44.49348730659559
