workload,method,display_label,seed_type,n,reference_score,score_mean,score_ci95,score_min,score_max,relative_change_pct_vs_reference,display_as
GEMM,ReferenceMapping,Reference (anchor),reference,1,6.000000000000001,6.000000000000001,0.0,6.000000000000001,6.000000000000001,0.0,single/reference
GEMM,Thermal-SA-TAS,Thermal-SA-TAS,tas_seed,10,6.000000000000001,5.025544895051056,0.32193885970376396,4.175246227443791,5.673327095517712,-16.240918415815738,mean +/- 95% CI
GEMM,Full-GA,Full-GA,ga_seed,10,6.000000000000001,3.7795559502616976,0.022684852381634972,3.725978498963967,3.844634655649292,-37.00740082897171,mean +/- 95% CI
MPEG4,ReferenceMapping,Reference (anchor),reference,1,6.000000000000001,6.000000000000001,0.0,6.000000000000001,6.000000000000001,0.0,single/reference
MPEG4,Thermal-SA-TAS,Thermal-SA-TAS,tas_seed,10,6.000000000000001,4.919120942636015,0.18893183554604115,4.484225016396434,5.526586765851798,-18.01465095606643,mean +/- 95% CI
MPEG4,Full-GA,Full-GA,ga_seed,10,6.000000000000001,4.13261867463684,0.0462086645557273,4.016261600531964,4.242777663082553,-31.123022089386016,mean +/- 95% CI
VOPD,ReferenceMapping,Reference (anchor),reference,1,5.0,5.0,0.0,5.0,5.0,0.0,single/reference
VOPD,Thermal-SA-TAS,Thermal-SA-TAS,tas_seed,10,5.0,4.501892335386793,0.04410658309407273,4.416684123903808,4.6597510505827575,-9.962153292264144,mean +/- 95% CI
VOPD,Full-GA,Full-GA,ga_seed,10,5.0,4.405927038056357,0.05328413602370256,4.2209760937638094,4.535907040207907,-11.881459238872853,mean +/- 95% CI
HNN,ReferenceMapping,Reference (anchor),reference,1,6.000000000000001,6.000000000000001,0.0,6.000000000000001,6.000000000000001,0.0,single/reference
HNN,Thermal-SA-TAS,Thermal-SA-TAS,tas_seed,10,6.000000000000001,5.690326270478526,0.1196313266688582,5.41786078278354,6.011385173675362,-5.161228825357921,mean +/- 95% CI
HNN,Full-GA,Full-GA,ga_seed,10,6.000000000000001,5.135715738551729,0.11918398806432744,4.878621881488557,5.462613147873699,-14.404737690804522,mean +/- 95% CI
