workload,method,display_label,metric_group,term,term_label,n,term_mean,term_ci95,term_min,term_max,display_as
GEMM,ReferenceMapping,Reference (anchor),thermal_safety,f_thermal,Tmax,10,1.0,0.0,1.0,1.0,single/reference
GEMM,ReferenceMapping,Reference (anchor),thermal_safety,f_sigma,sigmaT,10,1.0,0.0,1.0,1.0,single/reference
GEMM,ReferenceMapping,Reference (anchor),thermal_safety,f_hot,Nhot,10,1.0,0.0,1.0,1.0,single/reference
GEMM,ReferenceMapping,Reference (anchor),performance,f_makespan,makespan,10,1.0,0.0,1.0,1.0,single/reference
GEMM,ReferenceMapping,Reference (anchor),performance,f_dvfs,DVFS,10,1.0,0.0,1.0,1.0,single/reference
GEMM,ReferenceMapping,Reference (anchor),communication_pressure,f_comm,comm,10,1.0,0.0,1.0,1.0,single/reference
GEMM,ReferenceMapping,Reference (anchor),communication_pressure,f_congestion,congestion,10,1.0,0.0,1.0,1.0,single/reference
GEMM,ReferenceMapping,Reference (anchor),mapping_balance,f_load,load,10,1.0,0.0,1.0,1.0,single/reference
GEMM,ReferenceMapping,Reference (anchor),energy,f_energy,energy,10,1.0,0.0,1.0,1.0,single/reference
GEMM,Thermal-SA-TAS,Thermal-SA-TAS,thermal_safety,f_thermal,Tmax,10,0.8697404248285231,0.03925238662676381,0.7813227101673925,0.9425545848583664,mean only; CI not drawn
GEMM,Thermal-SA-TAS,Thermal-SA-TAS,thermal_safety,f_sigma,sigmaT,10,0.64373799646425,0.031182714142760873,0.5743485406044001,0.7081886970313332,mean only; CI not drawn
GEMM,Thermal-SA-TAS,Thermal-SA-TAS,thermal_safety,f_hot,Nhot,10,0.06666666666666664,0.053344443287278075,0.0,0.1666666666666666,mean only; CI not drawn
GEMM,Thermal-SA-TAS,Thermal-SA-TAS,performance,f_makespan,makespan,10,1.3095733565881815,0.11179640945505087,0.9705493957892114,1.4639001702587102,mean only; CI not drawn
GEMM,Thermal-SA-TAS,Thermal-SA-TAS,performance,f_dvfs,DVFS,10,0.018839751753641838,0.016372875413752527,0.0,0.065754106832219,mean only; CI not drawn
GEMM,Thermal-SA-TAS,Thermal-SA-TAS,communication_pressure,f_comm,comm,10,0.969607843137255,0.10928191277762195,0.696078431372549,1.2352941176470589,mean only; CI not drawn
GEMM,Thermal-SA-TAS,Thermal-SA-TAS,communication_pressure,f_congestion,congestion,10,0.7681818181818182,0.11687936533982629,0.4545454545454545,1.0909090909090908,mean only; CI not drawn
GEMM,Thermal-SA-TAS,Thermal-SA-TAS,mapping_balance,f_load,load,10,2.0733347704246605,0.4770961186661214,0.8758353093339082,3.2073722785082994,mean only; CI not drawn
GEMM,Thermal-SA-TAS,Thermal-SA-TAS,energy,f_energy,energy,10,1.1056103621678033,0.04619639157585939,0.9654303273989157,1.168601899838465,mean only; CI not drawn
GEMM,CommAware-Heuristic,CommAware-Heuristic,thermal_safety,f_thermal,Tmax,1,0.8312452228967383,0.0,0.8312452228967383,0.8312452228967383,single/reference
GEMM,CommAware-Heuristic,CommAware-Heuristic,thermal_safety,f_sigma,sigmaT,1,0.4418482041587528,0.0,0.4418482041587528,0.4418482041587528,single/reference
GEMM,CommAware-Heuristic,CommAware-Heuristic,thermal_safety,f_hot,Nhot,1,0.0,0.0,0.0,0.0,single/reference
GEMM,CommAware-Heuristic,CommAware-Heuristic,performance,f_makespan,makespan,1,2.7050371662306385,0.0,2.7050371662306385,2.7050371662306385,single/reference
GEMM,CommAware-Heuristic,CommAware-Heuristic,performance,f_dvfs,DVFS,1,0.0,0.0,0.0,0.0,single/reference
GEMM,CommAware-Heuristic,CommAware-Heuristic,communication_pressure,f_comm,comm,1,0.0588235294117647,0.0,0.0588235294117647,0.0588235294117647,single/reference
GEMM,CommAware-Heuristic,CommAware-Heuristic,communication_pressure,f_congestion,congestion,1,0.0909090909090909,0.0,0.0909090909090909,0.0909090909090909,single/reference
GEMM,CommAware-Heuristic,CommAware-Heuristic,mapping_balance,f_load,load,1,13.60961414097866,0.0,13.60961414097866,13.60961414097866,single/reference
GEMM,CommAware-Heuristic,CommAware-Heuristic,energy,f_energy,energy,1,1.6756215571631548,0.0,1.6756215571631548,1.6756215571631548,single/reference
GEMM,Full-GA,Full-GA,thermal_safety,f_thermal,Tmax,10,0.814086603722191,0.010985709517023509,0.7780030604668743,0.8369929491055624,mean only; CI not drawn
GEMM,Full-GA,Full-GA,thermal_safety,f_sigma,sigmaT,10,0.6373864687591713,0.010339599918155744,0.6111428640204207,0.6573433855491582,mean only; CI not drawn
GEMM,Full-GA,Full-GA,thermal_safety,f_hot,Nhot,10,0.0,0.0,0.0,0.0,mean only; CI not drawn
GEMM,Full-GA,Full-GA,performance,f_makespan,makespan,10,0.9695372285204102,0.00027100622818483486,0.968537020887837,0.9700153648104316,mean only; CI not drawn
GEMM,Full-GA,Full-GA,performance,f_dvfs,DVFS,10,0.0,0.0,0.0,0.0,mean only; CI not drawn
GEMM,Full-GA,Full-GA,communication_pressure,f_comm,comm,10,0.5941176470588234,0.041033477203885046,0.4901960784313725,0.6764705882352942,mean only; CI not drawn
GEMM,Full-GA,Full-GA,communication_pressure,f_congestion,congestion,10,0.37272727272727274,0.017818181818181813,0.3636363636363636,0.4545454545454545,mean only; CI not drawn
GEMM,Full-GA,Full-GA,mapping_balance,f_load,load,10,0.9172235395559388,0.054080620823453336,0.8758353093339082,1.0827764604440613,mean only; CI not drawn
GEMM,Full-GA,Full-GA,energy,f_energy,energy,10,0.9652746918240702,0.00018315454232101708,0.9646507890101284,0.9655526513646644,mean only; CI not drawn
MPEG4,ReferenceMapping,Reference (anchor),thermal_safety,f_thermal,Tmax,10,1.0,0.0,1.0,1.0,single/reference
MPEG4,ReferenceMapping,Reference (anchor),thermal_safety,f_sigma,sigmaT,10,1.0,0.0,1.0,1.0,single/reference
