workload,method,n_source_rows,display_as,relative_change_pct_mean,relative_change_pct_ci95,score_mean,score_ci95
GEMM,CommAware-Heuristic,1,single mapping,36.10062347851057,0.0,8.166037408710636,0.0
GEMM,Full-GA,10,mean +/- 95% CI,-37.00740082897171,0.37808087302724946,3.7795559502616976,0.022684852381634972
GEMM,Thermal-SA-TAS,10,mean +/- 95% CI,-16.240918415815734,5.365647661729399,5.025544895051056,0.32193885970376396
GEMM,comm-only,10,mean +/- 95% CI,23.48305123562981,7.551911452173183,7.408983074137789,0.4531146871303912
GEMM,thermal-only,10,mean +/- 95% CI,41.62002767921834,10.537656941545977,8.4972016607531,0.6322594164927585
GEMM,wout-comm,10,mean +/- 95% CI,-32.84004289561416,1.3086953712623641,4.029597426263151,0.07852172227574186
GEMM,wout-thermal,10,mean +/- 95% CI,-34.58331186986713,1.812258970524967,3.925001287807973,0.1087355382314981
MPEG4,CommAware-Heuristic,1,single mapping,22.360436268299978,0.0,7.341626176097999,0.0
MPEG4,Full-GA,10,mean +/- 95% CI,-31.12302208938602,0.7701444092621214,4.13261867463684,0.0462086645557273
MPEG4,Thermal-SA-TAS,10,mean +/- 95% CI,-18.01465095606642,3.14886392576735,4.919120942636015,0.18893183554604115
MPEG4,comm-only,10,mean +/- 95% CI,-1.2824631407612608,9.012939395525938,5.923052211554325,0.5407763637315564
MPEG4,thermal-only,10,mean +/- 95% CI,3.6991557429404383,11.151270793945358,6.221949344576428,0.6690762476367216
MPEG4,wout-comm,10,mean +/- 95% CI,-26.66879894710167,1.0894946179933052,4.399872063173901,0.06536967707959838
MPEG4,wout-thermal,10,mean +/- 95% CI,-28.722689286438918,1.4785253785067687,4.276638642813666,0.08871152271040617
VOPD,CommAware-Heuristic,1,single mapping,77.9291106568989,0.0,8.896455532844945,0.0
VOPD,Full-GA,10,mean +/- 95% CI,-11.881459238872852,1.0656827204740507,4.405927038056357,0.05328413602370256
VOPD,Thermal-SA-TAS,10,mean +/- 95% CI,-9.962153292264139,0.8821316618814569,4.501892335386793,0.04410658309407273
VOPD,comm-only,10,mean +/- 95% CI,29.542640133307582,6.932966729757709,6.47713200666538,0.34664833648788557
VOPD,thermal-only,10,mean +/- 95% CI,36.86732979871133,10.692919471373603,6.843366489935567,0.5346459735686803
VOPD,wout-comm,10,mean +/- 95% CI,-5.350338166033773,1.9905666287075137,4.732483091698311,0.09952833143537566
VOPD,wout-thermal,10,mean +/- 95% CI,-10.17896102286981,1.7788467897855114,4.49105194885651,0.0889423394892755
HNN,CommAware-Heuristic,1,single mapping,17.827102553956763,0.0,7.069626153237407,0.0
HNN,Full-GA,10,mean +/- 95% CI,-14.404737690804527,1.9863998010721229,5.135715738551729,0.11918398806432744
HNN,Thermal-SA-TAS,10,mean +/- 95% CI,-5.161228825357922,1.9938554444809713,5.690326270478526,0.1196313266688582
HNN,comm-only,10,mean +/- 95% CI,0.28242379537840495,3.632570942552175,6.016945427722705,0.21795425655313058
HNN,thermal-only,10,mean +/- 95% CI,65.86982294581681,11.283273699424736,9.952189376749008,0.6769964219654846
HNN,wout-comm,10,mean +/- 95% CI,-10.553302470528973,2.185631603162336,5.366801851768263,0.1311378961897402
HNN,wout-thermal,10,mean +/- 95% CI,-12.716763308572402,1.3817482174770679,5.236994201485658,0.08290489304862418
