figure,workload,method,seed,seed_type,role,full_objective_comparable_score,reference_full_objective_comparable_score,delta_vs_reference,relative_change_pct_vs_reference,valid,validity_notes,metrics_path
figure2,GEMM,ReferenceMapping,40,ga_seed,reference_mapping,6.000000000000001,6.000000000000001,0.0,0.0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\gemm\metrics.json
figure2,GEMM,Full-GA,40,ga_seed,proposed_method,3.7756299369185338,6.000000000000001,-2.224370063081467,-37.07283438469111,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\gemm\metrics.json
figure2,MPEG4,ReferenceMapping,40,ga_seed,reference_mapping,6.000000000000001,6.000000000000001,0.0,0.0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\mpeg4\metrics.json
figure2,MPEG4,Full-GA,40,ga_seed,proposed_method,4.242777663082553,6.000000000000001,-1.7572223369174482,-29.287038948624133,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\mpeg4\metrics.json
figure2,VOPD,ReferenceMapping,40,ga_seed,reference_mapping,5.0,5.0,0.0,0.0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\vopd\metrics.json
figure2,VOPD,Full-GA,40,ga_seed,proposed_method,4.535907040207907,5.0,-0.46409295979209286,-9.281859195841857,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\vopd\metrics.json
figure2,HNN,ReferenceMapping,40,ga_seed,reference_mapping,6.000000000000001,6.000000000000001,0.0,0.0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\hnn\metrics.json
figure2,HNN,Full-GA,40,ga_seed,proposed_method,5.04699018190069,6.000000000000001,-0.9530098180993107,-15.883496968321841,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\hnn\metrics.json
figure2,GEMM,ReferenceMapping,41,ga_seed,reference_mapping,6.000000000000001,6.000000000000001,0.0,0.0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\gemm\metrics.json
figure2,GEMM,Full-GA,41,ga_seed,proposed_method,3.795969112228902,6.000000000000001,-2.204030887771099,-36.73384812951831,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\gemm\metrics.json
figure2,MPEG4,ReferenceMapping,41,ga_seed,reference_mapping,6.000000000000001,6.000000000000001,0.0,0.0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\mpeg4\metrics.json
figure2,MPEG4,Full-GA,41,ga_seed,proposed_method,4.097180119498511,6.000000000000001,-1.9028198805014895,-31.713664675024823,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\mpeg4\metrics.json
figure2,VOPD,ReferenceMapping,41,ga_seed,reference_mapping,5.0,5.0,0.0,0.0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\vopd\metrics.json
figure2,VOPD,Full-GA,41,ga_seed,proposed_method,4.4290574560875555,5.0,-0.5709425439124445,-11.418850878248888,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\vopd\metrics.json
figure2,HNN,ReferenceMapping,41,ga_seed,reference_mapping,6.000000000000001,6.000000000000001,0.0,0.0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\hnn\metrics.json
figure2,HNN,Full-GA,41,ga_seed,proposed_method,5.17401394028756,6.000000000000001,-0.8259860597124407,-13.766434328540678,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\hnn\metrics.json
figure2,GEMM,ReferenceMapping,42,ga_seed,reference_mapping,6.000000000000001,6.000000000000001,0.0,0.0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\gemm\metrics.json
figure2,GEMM,Full-GA,42,ga_seed,proposed_method,3.799907180912859,6.000000000000001,-2.200092819087142,-36.66821365145236,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\gemm\metrics.json
figure2,MPEG4,ReferenceMapping,42,ga_seed,reference_mapping,6.000000000000001,6.000000000000001,0.0,0.0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\mpeg4\metrics.json
figure2,MPEG4,Full-GA,42,ga_seed,proposed_method,4.216755651138596,6.000000000000001,-1.7832443488614045,-29.720739147690068,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\mpeg4\metrics.json
figure2,VOPD,ReferenceMapping,42,ga_seed,reference_mapping,5.0,5.0,0.0,0.0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\vopd\metrics.json
figure2,VOPD,Full-GA,42,ga_seed,proposed_method,4.44974612228009,5.0,-0.5502538777199097,-11.005077554398191,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\vopd\metrics.json
figure2,HNN,ReferenceMapping,42,ga_seed,reference_mapping,6.000000000000001,6.000000000000001,0.0,0.0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\hnn\metrics.json
figure2,HNN,Full-GA,42,ga_seed,proposed_method,4.986974793468414,6.000000000000001,-1.0130252065315872,-16.883753442193118,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\hnn\metrics.json
figure2,GEMM,ReferenceMapping,43,ga_seed,reference_mapping,6.000000000000001,6.000000000000001,0.0,0.0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_43\gen_60\gemm\metrics.json
figure2,GEMM,Full-GA,43,ga_seed,proposed_method,3.7673396106539467,6.000000000000001,-2.232660389346054,-37.211006489100896,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_43\gen_60\gemm\metrics.json
figure2,MPEG4,ReferenceMapping,43,ga_seed,reference_mapping,6.000000000000001,6.000000000000001,0.0,0.0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_43\gen_60\mpeg4\metrics.json
figure2,MPEG4,Full-GA,43,ga_seed,proposed_method,4.11216503036325,6.000000000000001,-1.8878349696367511,-31.463916160612516,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_43\gen_60\mpeg4\metrics.json
figure2,VOPD,ReferenceMapping,43,ga_seed,reference_mapping,5.0,5.0,0.0,0.0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_43\gen_60\vopd\metrics.json
figure2,VOPD,Full-GA,43,ga_seed,proposed_method,4.349570016586447,5.0,-0.6504299834135532,-13.00859966827106,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_43\gen_60\vopd\metrics.json
figure2,HNN,ReferenceMapping,43,ga_seed,reference_mapping,6.000000000000001,6.000000000000001,0.0,0.0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_43\gen_60\hnn\metrics.json
figure2,HNN,Full-GA,43,ga_seed,proposed_method,5.462613147873699,6.000000000000001,-0.5373868521263017,-8.956447535438361,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_43\gen_60\hnn\metrics.json
figure2,GEMM,ReferenceMapping,44,ga_seed,reference_mapping,6.000000000000001,6.000000000000001,0.0,0.0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_44\gen_60\gemm\metrics.json
figure2,GEMM,Full-GA,44,ga_seed,proposed_method,3.844634655649292,6.000000000000001,-2.155365344350709,-35.92275573917848,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_44\gen_60\gemm\metrics.json
figure2,MPEG4,ReferenceMapping,44,ga_seed,reference_mapping,6.000000000000001,6.000000000000001,0.0,0.0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_44\gen_60\mpeg4\metrics.json
figure2,MPEG4,Full-GA,44,ga_seed,proposed_method,4.131037306053756,6.000000000000001,-1.8689626939462451,-31.14937823243742,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_44\gen_60\mpeg4\metrics.json
figure2,VOPD,ReferenceMapping,44,ga_seed,reference_mapping,5.0,5.0,0.0,0.0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_44\gen_60\vopd\metrics.json
figure2,VOPD,Full-GA,44,ga_seed,proposed_method,4.407643664781135,5.0,-0.5923563352188648,-11.847126704377297,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_44\gen_60\vopd\metrics.json
figure2,HNN,ReferenceMapping,44,ga_seed,reference_mapping,6.000000000000001,6.000000000000001,0.0,0.0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_44\gen_60\hnn\metrics.json
figure2,HNN,Full-GA,44,ga_seed,proposed_method,5.085554701009119,6.000000000000001,-0.9144452989908816,-15.24075498318136,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_44\gen_60\hnn\metrics.json
figure2,GEMM,ReferenceMapping,45,ga_seed,reference_mapping,6.000000000000001,6.000000000000001,0.0,0.0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_45\gen_60\gemm\metrics.json
figure2,GEMM,Full-GA,45,ga_seed,proposed_method,3.7465646208919887,6.000000000000001,-2.253435379108012,-37.557256318466855,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_45\gen_60\gemm\metrics.json
figure2,MPEG4,ReferenceMapping,45,ga_seed,reference_mapping,6.000000000000001,6.000000000000001,0.0,0.0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_45\gen_60\mpeg4\metrics.json
figure2,MPEG4,Full-GA,45,ga_seed,proposed_method,4.049490827462077,6.000000000000001,-1.9505091725379238,-32.508486208965394,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_45\gen_60\mpeg4\metrics.json
figure2,VOPD,ReferenceMapping,45,ga_seed,reference_mapping,5.0,5.0,0.0,0.0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_45\gen_60\vopd\metrics.json
figure2,VOPD,Full-GA,45,ga_seed,proposed_method,4.398872014789851,5.0,-0.601127985210149,-12.022559704202983,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_45\gen_60\vopd\metrics.json
figure2,HNN,ReferenceMapping,45,ga_seed,reference_mapping,6.000000000000001,6.000000000000001,0.0,0.0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_45\gen_60\hnn\metrics.json
figure2,HNN,Full-GA,45,ga_seed,proposed_method,5.373174744913506,6.000000000000001,-0.6268252550864952,-10.447087584774916,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_45\gen_60\hnn\metrics.json
figure2,GEMM,ReferenceMapping,46,ga_seed,reference_mapping,6.000000000000001,6.000000000000001,0.0,0.0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_46\gen_60\gemm\metrics.json
figure2,GEMM,Full-GA,46,ga_seed,proposed_method,3.741650923084499,6.000000000000001,-2.258349076915502,-37.639151281925024,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_46\gen_60\gemm\metrics.json
