figure,workload,method,method_family,source_root,ablation,seed,seed_type,selection_policy,source_objective_name,stored_TR2_composite_cost,full_objective_comparable_score,reference_full_objective_comparable_score,delta_vs_reference,relative_change_pct_vs_reference,valid,validity_notes,metrics_path
figure4,GEMM,Full-GA,proposed,B-2-v4,,40,ga_seed,,baseline_normalized_v2,3.7756299369185338,3.7756299369185338,6.000000000000001,-2.224370063081467,-37.07283438469111,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\gemm\metrics.json
figure4,MPEG4,Full-GA,proposed,B-2-v4,,40,ga_seed,,baseline_normalized_v2,4.242777663082553,4.242777663082553,6.000000000000001,-1.7572223369174482,-29.287038948624133,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\mpeg4\metrics.json
figure4,VOPD,Full-GA,proposed,B-2-v4,,40,ga_seed,,baseline_normalized_v2,4.535907040207907,4.535907040207907,5.0,-0.46409295979209286,-9.281859195841857,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\vopd\metrics.json
figure4,HNN,Full-GA,proposed,B-2-v4,,40,ga_seed,,baseline_normalized_v2,5.04699018190069,5.04699018190069,6.000000000000001,-0.9530098180993107,-15.883496968321841,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\hnn\metrics.json
figure4,GEMM,Full-GA,proposed,B-2-v4,,41,ga_seed,,baseline_normalized_v2,3.795969112228902,3.795969112228902,6.000000000000001,-2.204030887771099,-36.73384812951831,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\gemm\metrics.json
figure4,MPEG4,Full-GA,proposed,B-2-v4,,41,ga_seed,,baseline_normalized_v2,4.097180119498511,4.097180119498511,6.000000000000001,-1.9028198805014895,-31.713664675024823,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\mpeg4\metrics.json
figure4,VOPD,Full-GA,proposed,B-2-v4,,41,ga_seed,,baseline_normalized_v2,4.4290574560875555,4.4290574560875555,5.0,-0.5709425439124445,-11.418850878248888,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\vopd\metrics.json
figure4,HNN,Full-GA,proposed,B-2-v4,,41,ga_seed,,baseline_normalized_v2,5.17401394028756,5.17401394028756,6.000000000000001,-0.8259860597124407,-13.766434328540678,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\hnn\metrics.json
figure4,GEMM,Full-GA,proposed,B-2-v4,,42,ga_seed,,baseline_normalized_v2,3.799907180912859,3.799907180912859,6.000000000000001,-2.200092819087142,-36.66821365145236,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\gemm\metrics.json
figure4,MPEG4,Full-GA,proposed,B-2-v4,,42,ga_seed,,baseline_normalized_v2,4.216755651138596,4.216755651138596,6.000000000000001,-1.7832443488614045,-29.720739147690068,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\mpeg4\metrics.json
