Time(ns),ComponentType,ComponentID,EventType,Value
34.00,PE,0,RECV_FLIT,0.53
42.00,PE,0,RECV_FLIT,0.53
50.00,PE,0,RECV_FLIT,0.53
58.00,PE,0,RECV_FLIT,0.53
66.00,PE,0,RECV_FLIT,0.53
74.00,PE,0,RECV_FLIT,0.53
82.00,PE,0,RECV_FLIT,0.53
90.00,PE,0,RECV_FLIT,0.53
98.00,PE,0,RECV_FLIT,0.53
106.00,PE,0,RECV_FLIT,0.53
114.00,PE,0,RECV_FLIT,0.53
122.00,PE,0,RECV_FLIT,0.53
130.00,PE,0,RECV_FLIT,0.53
130.00,PE,0,COMPUTE_START,2.00
1000.00,PE,0,COMPUTE_START,2.04
2000.00,PE,0,COMPUTE_START,2.09
3000.00,PE,0,COMPUTE_START,2.13
4000.00,PE,0,COMPUTE_START,2.17
5000.00,PE,0,COMPUTE_START,2.20
6000.00,PE,0,COMPUTE_START,2.22
7000.00,PE,0,COMPUTE_START,2.24
8000.00,PE,0,COMPUTE_START,2.26
9000.00,PE,0,COMPUTE_START,2.27
10000.00,PE,0,COMPUTE_START,2.29
11000.00,PE,0,COMPUTE_START,2.30
12000.00,PE,0,COMPUTE_START,2.30
13000.00,PE,0,COMPUTE_START,2.31
14000.00,PE,0,COMPUTE_START,2.32
15000.00,PE,0,COMPUTE_START,2.32
16000.00,PE,0,COMPUTE_START,2.33
17000.00,PE,0,COMPUTE_START,2.33
18000.00,PE,0,COMPUTE_START,2.33
19000.00,PE,0,COMPUTE_START,2.34
20000.00,PE,0,COMPUTE_START,2.34
20130.00,PE,0,COMPUTE_END,0.50
21000.00,PE,0,IDLE,0.80
22000.00,PE,0,IDLE,0.75
23000.00,PE,0,IDLE,0.72
24000.00,PE,0,IDLE,0.70
25000.00,PE,0,IDLE,0.69
26000.00,PE,0,IDLE,0.69
27000.00,PE,0,IDLE,0.68
28000.00,PE,0,IDLE,0.68
29000.00,PE,0,IDLE,0.68
30000.00,PE,0,IDLE,0.68
31000.00,PE,0,IDLE,0.68
32000.00,PE,0,IDLE,0.68
33000.00,PE,0,IDLE,0.68
34000.00,PE,0,IDLE,0.68
35000.00,PE,0,IDLE,0.68
36000.00,PE,0,IDLE,0.68
37000.00,PE,0,IDLE,0.68
38000.00,PE,0,IDLE,0.68
39000.00,PE,0,IDLE,0.68
40000.00,PE,0,IDLE,0.68
41000.00,PE,0,IDLE,0.68
42000.00,PE,0,IDLE,0.68
43000.00,PE,0,IDLE,0.68
44000.00,PE,0,IDLE,0.68
45000.00,PE,0,IDLE,0.68
46000.00,PE,0,IDLE,0.68
47000.00,PE,0,IDLE,0.68
48000.00,PE,0,IDLE,0.68
49000.00,PE,0,IDLE,0.68
50000.00,PE,0,IDLE,0.68
51000.00,PE,0,IDLE,0.68
52000.00,PE,0,IDLE,0.68
53000.00,PE,0,IDLE,0.68
54000.00,PE,0,IDLE,0.68
55000.00,PE,0,IDLE,0.68
56000.00,PE,0,IDLE,0.69
57000.00,PE,0,IDLE,0.69
58000.00,PE,0,IDLE,0.69
59000.00,PE,0,IDLE,0.69
60000.00,PE,0,IDLE,0.69
61000.00,PE,0,IDLE,0.69
62000.00,PE,0,IDLE,0.69
63000.00,PE,0,IDLE,0.69
64000.00,PE,0,IDLE,0.69
65000.00,PE,0,IDLE,0.69
66000.00,PE,0,IDLE,0.69
67000.00,PE,0,IDLE,0.69
68000.00,PE,0,IDLE,0.69
69000.00,PE,0,IDLE,0.69
70000.00,PE,0,IDLE,0.69
71000.00,PE,0,IDLE,0.69
72000.00,PE,0,IDLE,0.69
73000.00,PE,0,IDLE,0.69
74000.00,PE,0,IDLE,0.69
75000.00,PE,0,IDLE,0.69
76000.00,PE,0,IDLE,0.69
77000.00,PE,0,IDLE,0.69
78000.00,PE,0,IDLE,0.69
79000.00,PE,0,IDLE,0.69
80000.00,PE,0,IDLE,0.69
81000.00,PE,0,IDLE,0.69
82000.00,PE,0,IDLE,0.69
83000.00,PE,0,IDLE,0.69
84000.00,PE,0,IDLE,0.69
85000.00,PE,0,IDLE,0.69
86000.00,PE,0,IDLE,0.69
87000.00,PE,0,IDLE,0.68
88000.00,PE,0,IDLE,0.68
89000.00,PE,0,IDLE,0.67
90000.00,PE,0,IDLE,0.67
91000.00,PE,0,IDLE,0.66
92000.00,PE,0,IDLE,0.65
93000.00,PE,0,IDLE,0.65
94000.00,PE,0,IDLE,0.64
95000.00,PE,0,IDLE,0.64
96000.00,PE,0,IDLE,0.64
97000.00,PE,0,IDLE,0.63
98000.00,PE,0,IDLE,0.63
99000.00,PE,0,IDLE,0.63
100000.00,PE,0,IDLE,0.63
101000.00,PE,0,IDLE,0.63
102000.00,PE,0,IDLE,0.63
103000.00,PE,0,IDLE,0.63
104000.00,PE,0,IDLE,0.63
105000.00,PE,0,IDLE,0.62
106000.00,PE,0,IDLE,0.62
107000.00,PE,0,IDLE,0.62
108000.00,PE,0,IDLE,0.62
109000.00,PE,0,IDLE,0.62
110000.00,PE,0,IDLE,0.62
111000.00,PE,0,IDLE,0.62
112000.00,PE,0,IDLE,0.62
113000.00,PE,0,IDLE,0.62
114000.00,PE,0,IDLE,0.62
115000.00,PE,0,IDLE,0.62
116000.00,PE,0,IDLE,0.62
117000.00,PE,0,IDLE,0.62
118000.00,PE,0,IDLE,0.62
119000.00,PE,0,IDLE,0.62
120000.00,PE,0,IDLE,0.62
121000.00,PE,0,IDLE,0.62
122000.00,PE,0,IDLE,0.62
123000.00,PE,0,IDLE,0.62
124000.00,PE,0,IDLE,0.62
125000.00,PE,0,IDLE,0.62
126000.00,PE,0,IDLE,0.62
127000.00,PE,0,IDLE,0.62
128000.00,PE,0,IDLE,0.62
129000.00,PE,0,IDLE,0.62
130000.00,PE,0,IDLE,0.62
131000.00,PE,0,IDLE,0.62
132000.00,PE,0,IDLE,0.62
133000.00,PE,0,IDLE,0.62
134000.00,PE,0,IDLE,0.62
135000.00,PE,0,IDLE,0.62
136000.00,PE,0,IDLE,0.62
137000.00,PE,0,IDLE,0.62
138000.00,PE,0,IDLE,0.62
139000.00,PE,0,IDLE,0.62
140000.00,PE,0,IDLE,0.62
141000.00,PE,0,IDLE,0.62
142000.00,PE,0,IDLE,0.62
143000.00,PE,0,IDLE,0.62
144000.00,PE,0,IDLE,0.62
145000.00,PE,0,IDLE,0.62
146000.00,PE,0,IDLE,0.62
147000.00,PE,0,IDLE,0.62
148000.00,PE,0,IDLE,0.62
149000.00,PE,0,IDLE,0.62
150000.00,PE,0,IDLE,0.62
151000.00,PE,0,IDLE,0.62
152000.00,PE,0,IDLE,0.62
153000.00,PE,0,IDLE,0.62
