# Direction B SA-optimized mapping
# input: examples/task_driven/tasks_mpeg4.csv
# algorithm: sa
# w_T=1.0 w_H=0.5
# total_cost=1112.2500 thermal=0.0000 comm=706.0000
# Optimized static mapping — 12 mappable tasks
0, -1, 0, 0
9, 0, 20000, 200, 1:0
1, 0, 20000, 160, 2:1, 8:1, 12:4
2, 1, 25000, 120, 3:2, 4:2
8, 1, 25000, 50, -1:-1
12, 4, 20000, 100, -1:-1
3, 2, 35000, 100, 5:3
4, 2, 30000, 32, 6:3
5, 3, 30000, 80, 6:3
6, 3, 35000, 140, 7:7, 10:7, 11:6
7, 7, 20000, 50, -1:-1
10, 7, 15000, 500, -1:-1
11, 6, 15000, 300, -1:-1
