benchmark,seed,run_type,configured_generations,actual_generations,converged,elapsed_min,cost_baseline,cost_b2,cost_delta_pct,tmax_baseline_C,tmax_b2_C,tmax_delta_C,sigma_baseline_K,sigma_b2_K,sigma_delta_pct,hot_baseline,hot_b2,makespan_baseline_us,makespan_b2_us,makespan_delta_pct,comm_baseline,comm_b2,comm_delta_pct,pe_optical_energy_baseline_mJ,pe_optical_energy_b2_mJ,pe_optical_energy_delta_pct
GEMM,40,base,60,60,False,1.392460725006337,6.000000000000001,3.7756299369185338,-37.07283438469111,54.93421735578005,53.20354868684001,-1.7306686689400408,2.1434761400252804,1.3099701471744862,-38.885713597957924,6,0,120.405,116.7588,-3.028279556496827,104448.0,68608.0,-34.31372549019608,1.5708734939939561,1.5161495975444554,-3.483660311204617
GEMM,41,base,60,29,True,0.6742437033293148,6.000000000000001,3.795969112228902,-36.73384812951831,54.93421735578005,53.314869881670006,-1.619347474110043,2.1434761400252804,1.378840605050179,-35.672687029120986,6,0,120.405,116.7927,-3.000124579544039,104448.0,62464.0,-40.19607843137255,1.5708734939939561,1.5167610670843386,-3.4447348635335606
GEMM,44,base,60,33,True,0.7681715633254498,6.000000000000001,3.844634655649292,-35.92275573917848,54.93421735578005,53.08084279260004,-1.8533745631800116,2.1434761400252804,1.3300696112541894,-37.948009477796084,6,0,120.405,116.61670000000001,-3.1462979112163003,104448.0,60416.0,-42.15686274509803,1.5708734939939561,1.515344355416367,-3.534921098987154
MPEG4,40,base,60,28,True,0.6665131983347237,6.000000000000001,4.242777663082553,-29.287038948624133,54.44663874680003,52.05575244872,-2.3908862980800336,1.3003837749577485,1.0802911596729816,-16.92520466059475,2,0,122.06989999999999,122.34759999999999,0.22749260874301847,420000.0,400000.0,-4.761904761904767,1.1328804365769536,1.1320264694293614,-0.07538016546322357
MPEG4,41,base,60,57,True,1.359473391653349,6.000000000000001,4.097180119498511,-31.713664675024823,54.44663874680003,51.89690268668005,-2.549736060119983,1.3003837749577485,1.0422940592580014,-19.847195933226157,2,0,122.06989999999999,121.5296,-0.44261525568546345,420000.0,300000.0,-28.57142857142857,1.1328804365769536,1.1269164285558106,-0.5264463776215811
MPEG4,44,base,60,39,True,0.9381604066584259,6.000000000000001,4.131037306053756,-31.14937823243742,54.44663874680003,52.025992957400035,-2.420645789399998,1.3003837749577485,1.0637550628258994,-18.196836709958,2,0,122.06989999999999,121.6256,-0.36397178993345936,420000.0,336000.0,-19.999999999999996,1.1328804365769536,1.1275443470363125,-0.4710196564753466
VOPD,40,base,60,24,True,6.453055601660163,5.0,4.535907040207907,-9.281859195841857,52.22271921261,52.37165727272003,0.14893806011002653,0.9870939912641029,0.9088410564189721,-7.927607252974733,0,0,89.3329,88.51270000000001,-0.9181387820164644,1396000.0,1138000.0,-18.481375358166186,0.7507385223064373,0.7449911268570046,-0.7655655436163644
VOPD,41,base,60,40,True,13.049605595010023,5.0,4.4290574560875555,-11.418850878248888,52.22271921261,52.35080305214001,0.12808383953000657,0.9870939912641029,0.9605899974885381,-2.6850526910434325,0,0,89.3329,87.5467,-1.9994873109459022,1396000.0,1154000.0,-17.335243553008596,0.7507385223064373,0.7396582987192672,-1.475909821855037
VOPD,44,base,60,30,True,10.26345746666193,5.0,4.407643664781135,-11.847126704377297,52.22271921261,51.447940923130034,-0.7747782894799684,0.9870939912641029,0.862188439055063,-12.653866127690838,0,0,89.3329,88.7368,-0.6672793562058188,1396000.0,1230000.0,-11.891117478510028,0.7507385223064373,0.7462697670444793,-0.5952478964618702
HNN,40,base,60,56,True,2.1270829383283854,6.000000000000001,5.04699018190069,-15.883496968321841,55.66757624162,55.52869560405003,-0.1388806375699687,2.454372247071413,1.7455646610546751,-28.87938399981892,16,5,203.177525,246.09259999999998,21.121959724629956,2195456.0,1736704.0,-20.895522388059707,4.651317011228462,4.500817049650222,-3.2356418884141203
HNN,41,base,60,39,True,1.486524806668361,6.000000000000001,5.17401394028756,-13.766434328540678,55.66757624162,56.17274395863001,0.5051677170100106,2.454372247071413,1.8383141988009524,-25.100432463150145,16,11,203.177525,197.7868,-2.6532093055075867,2195456.0,1613824.0,-26.49253731343284,4.651317011228462,4.482683210938695,-3.6255064938097936
HNN,44,base,60,30,True,1.143274790002033,6.000000000000001,5.085554701009119,-15.24075498318136,55.66757624162,55.48081585205,-0.1867603895699972,2.454372247071413,1.6481488649975016,-32.84845577258735,16,7,203.177525,238.3187,17.29579834186876,2195456.0,1548288.0,-29.47761194029851,4.651317011228462,4.5385945057119335,-2.4234535131536394
