benchmark,seed,run_type,configured_generations,actual_generations,converged,elapsed_min,cost_baseline,cost_b2,cost_delta_pct,tmax_baseline_C,tmax_b2_C,tmax_delta_C,sigma_baseline_K,sigma_b2_K,sigma_delta_pct,hot_baseline,hot_b2,makespan_baseline_us,makespan_b2_us,makespan_delta_pct,comm_baseline,comm_b2,comm_delta_pct,pe_optical_energy_baseline_mJ,pe_optical_energy_b2_mJ,pe_optical_energy_delta_pct
GEMM,40,base,60,57,True,1.5973940733199319,1.1,0.10285204991087343,-90.64981364446605,54.93421735578005,52.596902449380025,-2.3373149064000245,2.1434761400252804,0.9990364161323386,-53.3917640846445,6,0,120.405,295.9466,145.79261658568993,104448.0,10240.0,-90.19607843137256,1.5708734939939561,2.4729756439633332,57.426785378864366
GEMM,41,base,60,50,True,1.3249933166739842,1.1,0.11461675579322637,-89.58029492788852,54.93421735578005,52.00436030194004,-2.92985705384001,2.1434761400252804,0.962309555356945,-55.105189304995235,6,0,120.405,295.8947,145.74951206345253,104448.0,13312.0,-87.25490196078431,1.5708734939939561,2.4722331786075205,57.379520888206685
GEMM,42,base,60,33,True,0.9539351166691631,1.1,0.10285204991087343,-90.64981364446605,54.93421735578005,52.59690214121002,-2.337315214570026,2.1434761400252804,0.999028245689237,-53.392145261880344,6,0,120.405,295.9466,145.79261658568993,104448.0,10240.0,-90.19607843137256,1.5708734939939561,2.4729775237018536,57.426905040856724
GEMM,43,base,60,48,True,1.3108578566617022,1.1,0.10285204991087343,-90.64981364446605,54.93421735578005,52.596902411140036,-2.3373149446400134,2.1434761400252804,0.9991392000047308,-53.38696888909868,6,0,120.405,295.7966,145.66803704165113,104448.0,10240.0,-90.19607843137256,1.5708734939939561,2.4720267326518246,57.36637877609611
GEMM,44,base,60,36,True,1.0393173466747005,1.1,0.10285204991087343,-90.64981364446605,54.93421735578005,54.14167089704,-0.7925464587400484,2.1434761400252804,1.2565952819867385,-41.375821334222174,6,1,120.405,295.84659999999997,145.70956355633066,104448.0,10240.0,-90.19607843137256,1.5708734939939561,2.475826036046763,57.60823806072117
GEMM,45,base,60,50,True,1.3713180233258755,1.1,0.11461675579322637,-89.58029492788852,54.93421735578005,52.00435975384005,-2.9298576019400002,2.1434761400252804,0.9778585434961214,-54.379779404281656,6,0,120.405,295.9466,145.79261658568993,104448.0,13312.0,-87.25490196078431,1.5708734939939561,2.4727374907171153,57.41162481710504
GEMM,46,base,60,40,True,1.052031251663963,1.1,0.11898395721925133,-89.1832766164317,54.93421735578005,52.59690180604002,-2.337315549740026,2.1434761400252804,0.9883482241283512,-53.89040233885252,6,0,120.405,295.7,145.58780781529003,104448.0,6144.0,-94.11764705882352,1.5708734939939561,2.471359549314132,57.32390665213176
GEMM,47,base,60,43,True,1.2470597816631197,1.1,0.10285204991087343,-90.64981364446605,54.93421735578005,52.596902449380025,-2.3373149064000245,2.1434761400252804,0.985120570472429,-54.040982678687044,6,0,120.405,295.89660000000003,145.75109007101034,104448.0,10240.0,-90.19607843137256,1.5708734939939561,2.4725138652388563,57.3973890763459
GEMM,48,base,60,51,True,1.4977649983484298,1.1,0.0,-100.0,54.93421735578005,51.42766166734003,-3.5065556884400166,2.1434761400252804,1.105548899301815,-48.42261695113732,6,0,120.405,355.75,195.4611519455172,104448.0,0.0,-100.0,1.5708734939939561,2.7951340212378026,77.93501716876999
GEMM,49,base,60,33,True,0.9976372900108497,1.1,0.0,-100.0,54.93421735578005,50.62486247799001,-4.309354877790042,2.1434761400252804,0.8722720114528478,-59.30572796380369,6,0,120.405,355.70000000000005,195.4196254308376,104448.0,0.0,-100.0,1.5708734939939561,2.7922283031017083,77.75004249402984
MPEG4,40,base,60,50,True,1.0996812099901339,1.1,0.23393939393939395,-78.73278236914601,54.44663874680003,52.72974015748002,-1.7168985893200102,1.3003837749577485,1.1174079759557989,-14.070907567875091,2,0,122.06989999999999,140.7022,15.26363173886438,420000.0,112000.0,-73.33333333333334,1.1328804365769536,1.2305623832690626,8.622440951249821
MPEG4,41,base,60,23,True,0.5040833866689354,1.1,0.3813852813852814,-65.32861078315624,54.44663874680003,52.51743044457004,-1.9292083022299948,1.3003837749577485,1.119607358476017,-13.901774227197293,2,0,122.06989999999999,142.0702,16.38430112583038,420000.0,200000.0,-52.38095238095239,1.1328804365769536,1.238289914928443,9.304554562702894
MPEG4,42,base,60,44,True,0.9750011283283432,1.1,0.1806060606060606,-83.58126721763087,54.44663874680003,53.13372061520005,-1.3129181315999858,1.3003837749577485,1.1670455846080297,-10.253756846055017,2,0,122.06989999999999,140.3787,14.998619643335509,420000.0,56000.0,-86.66666666666667,1.1328804365769536,1.2295390162869184,8.532107766113683
MPEG4,43,base,60,44,True,0.9735239900027712,1.1,0.17298701298701297,-84.27390791027155,54.44663874680003,53.148810014160006,-1.2978287326400277,1.3003837749577485,1.188266722958639,-8.621843347957213,2,0,122.06989999999999,140.11260000000001,14.780629786704203,420000.0,48000.0,-88.57142857142857,1.1328804365769536,1.228225878018173,8.41619630482009
MPEG4,44,base,60,43,True,0.9556077466656764,1.1,0.21870129870129867,-80.1180637544274,54.44663874680003,54.622198234790005,0.17555948798997179,1.3003837749577485,1.2889206591842453,-0.881517902195883,2,2,122.06989999999999,141.4484,15.874920844532525,420000.0,96000.0,-77.14285714285715,1.1328804365769536,1.239536198931696,9.414564759985389
MPEG4,45,base,60,40,True,0.876397266658023,1.1,0.2263203463203463,-79.4254230617867,54.44663874680003,52.800476545950005,-1.6461622008500285,1.3003837749577485,1.1236464262009722,-13.591168404305776,2,0,122.06989999999999,140.5482,15.137474512553894,420000.0,104000.0,-75.23809523809524,1.1328804365769536,1.2294886670785439,8.527663412874897
