benchmark,seed,run_type,configured_generations,actual_generations,converged,elapsed_min,cost_baseline,cost_b2,cost_delta_pct,tmax_baseline_C,tmax_b2_C,tmax_delta_C,sigma_baseline_K,sigma_b2_K,sigma_delta_pct,hot_baseline,hot_b2,makespan_baseline_us,makespan_b2_us,makespan_delta_pct,comm_baseline,comm_b2,comm_delta_pct,pe_optical_energy_baseline_mJ,pe_optical_energy_b2_mJ,pe_optical_energy_delta_pct
GEMM,40,base,60,37,True,1.155135553330183,2.6,1.0253542108776807,-60.563299581627675,54.93421735578005,51.08467120250003,-3.8495461532800164,2.1434761400252804,0.8849511181502574,-58.71420718777769,6,0,120.405,326.2487,170.959428595158,104448.0,75776.0,-27.450980392156865,1.5708734939939561,2.6347759914470887,67.72680941659748
GEMM,41,base,60,33,True,1.0255096283430853,2.6,0.9699836211485028,-62.6929376481345,54.93421735578005,50.63023519576001,-4.303982160020041,2.1434761400252804,0.8643178678434529,-59.67681413830624,6,0,120.405,356.2487,195.87533740293173,104448.0,73728.0,-29.411764705882348,1.5708734939939561,2.7956629451652577,77.96868785768778
GEMM,42,base,60,36,True,1.0174694533459843,2.6,1.166108540420086,-55.14967152230439,54.93421735578005,51.58286431618001,-3.351353039600042,2.1434761400252804,1.079161038399556,-49.65369484416896,6,0,120.405,266.5047,121.34022673477017,104448.0,104448.0,0.0,1.5708734939939561,2.3160692619399867,47.43830555389699
GEMM,43,base,60,46,True,1.2949159333327165,2.6,1.1612762196403508,-55.33553001383267,54.93421735578005,51.547167319910045,-3.387050035870004,2.1434761400252804,1.0765053074120874,-49.77759316698571,6,0,120.405,266.50460000000004,121.34014368174081,104448.0,136192.0,30.3921568627451,1.5708734939939561,2.316189531224173,47.44596175820919
GEMM,44,base,60,46,True,1.414776598336175,2.6,0.9699831250617358,-62.692956728394776,54.93421735578005,50.63022283769004,-4.303994518090008,2.1434761400252804,0.8643194709568176,-59.676739347953564,6,0,120.405,356.2487,195.87533740293173,104448.0,73728.0,-29.411764705882348,1.5708734939939561,2.7956584289778372,77.96840036239057
GEMM,45,base,60,35,True,1.0400148583420863,2.6,1.1488032440919005,-55.81525984261921,54.93421735578005,51.437285746659995,-3.496931609120054,2.1434761400252804,1.0734785978380412,-49.91879882435358,6,0,120.405,356.2948,195.9136248494664,104448.0,110592.0,5.882352941176472,1.5708734939939561,2.7984511095497915,78.1461791957996
GEMM,46,base,60,60,False,1.7619154983200134,2.6,0.9709550333700012,-62.65557563961535,54.93421735578005,50.63335536014,-4.300861995640048,2.1434761400252804,0.8657268382973574,-59.61108117176677,6,0,120.405,356.1507,195.7939454341597,104448.0,40960.0,-60.7843137254902,1.5708734939939561,2.794978002819327,77.92508521568323
GEMM,47,base,60,30,True,0.9215704183249424,2.6,0.9709516406357334,-62.65570612939487,54.93421735578005,50.63366950586004,-4.300547849920008,2.1434761400252804,0.8656517837771353,-59.614582704572314,6,0,120.405,356.2007,195.8354719488393,104448.0,40960.0,-60.7843137254902,1.5708734939939561,2.7952901349884725,77.94495519059457
GEMM,48,base,60,56,True,1.6436288900052507,2.6,1.160495769029584,-55.365547345016,54.93421735578005,51.54772823116002,-3.3864891246200273,2.1434761400252804,1.074711404019456,-49.86128448312092,6,0,120.405,266.5527,121.38009218886259,104448.0,140288.0,34.31372549019607,1.5708734939939561,2.3165282017131354,47.46752113203891
GEMM,49,base,60,39,True,1.149544708337635,2.6,1.1612819813754007,-55.335308408638426,54.93421735578005,51.54719205852001,-3.3870252972600383,2.1434761400252804,1.076512319778375,-49.777266017727705,6,0,120.405,266.50460000000004,121.34014368174081,104448.0,136192.0,30.3921568627451,1.5708734939939561,2.316166387762843,47.444488472077715
MPEG4,40,base,60,37,True,0.8699733966651062,2.6,1.302589309598189,-49.90041116930042,54.44663874680003,51.068687050580024,-3.377951696220009,1.3003837749577485,0.8584765717543096,-33.98282966255843,2,0,122.06989999999999,174.5317,42.976851787377576,420000.0,372000.0,-11.428571428571432,1.1328804365769536,1.411800161901989,24.6204026761909
MPEG4,41,base,60,53,True,1.2439350033334147,2.6,1.2582094360103753,-51.607329384216335,54.44663874680003,50.72936757721004,-3.717271169589992,1.3003837749577485,0.8474749676302403,-34.82885714582403,2,0,122.06989999999999,194.0116,58.934839792610624,420000.0,236000.0,-43.80952380952381,1.1328804365769536,1.5159717846165792,33.81569101829955
MPEG4,42,base,60,39,True,0.923457493338113,2.6,1.415922588345453,-45.54143890979028,54.44663874680003,51.548593185150025,-2.898045561650008,1.3003837749577485,0.9397915083458096,-27.729680541704315,2,0,122.06989999999999,174.5777,43.01453511471707,420000.0,520000.0,23.809523809523814,1.1328804365769536,1.4128774386984313,24.71549451127433
MPEG4,43,base,60,47,True,1.1029712816700339,2.6,1.3025656634660914,-49.90132063591957,54.44663874680003,51.068687050580024,-3.377951696220009,1.3003837749577485,0.8584458227077891,-33.985194275768215,2,0,122.06989999999999,174.5317,42.976851787377576,420000.0,368000.0,-12.380952380952381,1.1328804365769536,1.4117954601599103,24.619987650745422
MPEG4,44,base,60,44,True,1.03015830667379,2.6,1.394912400555177,-46.34952305557012,54.44663874680003,51.78320315096005,-2.663435595839985,1.3003837749577485,0.8801747993408651,-32.31422782328522,2,0,122.06989999999999,162.2037,32.877720060391646,420000.0,372000.0,-11.428571428571432,1.1328804365769536,1.3460967559423376,18.820725690137795
MPEG4,45,base,60,60,False,1.3932796683317672,2.6,1.3027244663454698,-49.895212832866555,54.44663874680003,51.06869297871003,-3.377945768090001,1.3003837749577485,0.8586515113545972,-33.96937674168565,2,0,122.06989999999999,174.48170000000002,42.9358916489651,420000.0,368000.0,-12.380952380952381,1.1328804365769536,1.4112839776143944,24.574838795755795
MPEG4,46,base,60,36,True,0.8154819566601267,2.6,1.3963465314582084,-46.29436417468429,54.44663874680003,51.799262090900015,-2.6473766559000182,1.3003837749577485,0.8798291151000888,-32.34081107104895,2,0,122.06989999999999,162.3157,32.969470770435635,420000.0,392000.0,-6.666666666666665,1.1328804365769536,1.3468726805609532,18.88921699721342
MPEG4,47,base,60,52,True,1.150557411679377,2.6,1.4169731565169426,-45.50103244165605,54.44663874680003,51.784553614260005,-2.662085132540028,1.3003837749577485,0.9086763494708686,-30.122447928851393,2,0,122.06989999999999,142.5776,16.79996461044042,420000.0,328000.0,-21.904761904761905,1.1328804365769536,1.2407316443431233,9.520087405873712
MPEG4,48,base,60,46,True,1.0408071483330181,2.6,1.4072406307707404,-45.87536035497153,54.44663874680003,51.79654323310001,-2.6500955137000233,1.3003837749577485,0.8943698913929423,-31.22261992064598,2,0,122.06989999999999,152.12560000000002,24.621712641691396,420000.0,320000.0,-23.809523809523814,1.1328804365769536,1.2918757389324913,14.034605702606084
MPEG4,49,base,60,31,True,0.6951227733244498,2.6,1.4238870126745138,-45.23511489713409,54.44663874680003,51.78321920745003,-2.663419539350002,1.3003837749577485,0.9178507045589972,-29.416936581754904,2,0,122.06989999999999,142.0607,16.376518699532006,420000.0,392000.0,-6.666666666666665,1.1328804365769536,1.2371439580422832,9.203400297066322
VOPD,40,base,60,48,True,21.117459139988448,2.0,1.6078291591964233,-19.608542040178833,52.22271921261,50.85208787838002,-1.3706313342299836,0.9870939912641029,0.7873020451145799,-20.24041762159481,0,0,89.3329,102.60069999999999,14.85208696907858,1396000.0,944000.0,-32.37822349570201,0.7507385223064373,0.8201401545012453,9.244447984577974
VOPD,41,base,60,60,False,26.107884443333994,2.0,1.6075746714532753,-19.621266427336238,52.22271921261,50.852553876390004,-1.3701653362199977,0.9870939912641029,0.7869871561053939,-20.272318232070884,0,0,89.3329,102.6507,14.908057389830631,1396000.0,952000.0,-31.805157593123212,0.7507385223064373,0.8207827775346102,9.330046766879786
VOPD,42,base,60,60,False,23.79135667334,2.0,1.6134505185152117,-19.327474074239415,52.22271921261,50.85650177370002,-1.3662174389099846,0.9870939912641029,0.7922476294630498,-19.739392958063384,0,0,89.3329,102.5547,14.800594181986714,1396000.0,816000.0,-41.54727793696274,0.7507385223064373,0.8200789150043422,9.23629075072312
VOPD,43,base,60,60,False,19.865512086668364,2.0,1.6527665168027232,-17.36167415986384,52.22271921261,51.191843223190006,-1.0308759894199966,0.9870939912641029,0.7852267262565681,-20.45066293525072,0,0,89.3329,102.60260000000001,14.854213845067177,1396000.0,834000.0,-40.257879656160455,0.7507385223064373,0.8203910401223837,9.277866493643906
