benchmark,seed,run_type,configured_generations,actual_generations,converged,elapsed_min,cost_baseline,cost_b2,cost_delta_pct,tmax_baseline_C,tmax_b2_C,tmax_delta_C,sigma_baseline_K,sigma_b2_K,sigma_delta_pct,hot_baseline,hot_b2,makespan_baseline_us,makespan_b2_us,makespan_delta_pct,comm_baseline,comm_b2,comm_delta_pct,pe_optical_energy_baseline_mJ,pe_optical_energy_b2_mJ,pe_optical_energy_delta_pct
GEMM,40,base,60,60,True,1.2982288166725386,4.9,3.0855447983897424,-37.029697992046074,54.93421735578005,52.17421471764004,-2.7600026381400085,2.1434761400252804,1.1622035591533397,-45.77949633068309,6,0,120.405,116.7588,-3.028279556496827,104448.0,90112.0,-13.725490196078427,1.5708734939939561,1.5153900651180872,-3.53201127194539
GEMM,41,base,60,46,True,0.9836791233314822,4.9,3.1495100399657328,-35.72428489865852,54.93421735578005,52.48724610718,-2.4469712486000503,2.1434761400252804,1.2278296182205568,-42.71783131646729,6,0,120.405,116.9047,-2.907105186661685,104448.0,84992.0,-18.627450980392158,1.5708734939939561,1.516596735200087,-3.455196042290465
GEMM,42,base,60,49,True,1.0554927799850702,4.9,3.165059970395768,-35.40693937967821,54.93421735578005,52.57148385381004,-2.3627335019700126,2.1434761400252804,1.2482964772492582,-41.76298704987984,6,0,120.405,116.6947,-3.081516548316099,104448.0,69632.0,-33.333333333333336,1.5708734939939561,1.515386750045775,-3.532222305636201
GEMM,43,base,60,53,True,1.1394106233337273,4.9,3.0860806977070236,-37.018761271285236,54.93421735578005,52.17706874538004,-2.7571486104000087,2.1434761400252804,1.1622155962625649,-45.77893476113722,6,0,120.405,116.7748,-3.0149910717993444,104448.0,98304.0,-5.882352941176472,1.5708734939939561,1.5156524925557944,-3.51530544307308
GEMM,44,base,60,32,True,0.6927248583330462,4.9,3.155055558645739,-35.611111048046155,54.93421735578005,52.48701802234001,-2.4471993334400395,2.1434761400252804,1.242205531499018,-42.04714910032228,6,0,120.405,116.8067,-2.9884971554337447,104448.0,84992.0,-18.627450980392158,1.5708734939939561,1.516088902153778,-3.4875241099706855
GEMM,45,base,60,59,True,1.2616985433424512,4.9,3.086192002464016,-37.01648974563233,54.93421735578005,52.174160767779995,-2.7600565880000545,2.1434761400252804,1.1618116066162136,-45.79778216693791,6,0,120.405,116.82480000000001,-2.9734645571197094,104448.0,98304.0,-5.882352941176472,1.5708734939939561,1.515948394887382,-3.496468640955086
GEMM,46,base,60,32,True,0.6831706299912185,4.9,3.1447606590780857,-35.821211039222746,54.93421735578005,52.44916649376,-2.4850508620200458,2.1434761400252804,1.229061429105756,-42.66036340897826,6,0,120.405,116.7746,-3.0151571778580633,104448.0,117760.0,12.745098039215685,1.5708734939939561,1.5159864223383925,-3.4940478571583
GEMM,47,base,60,56,True,1.1983868466690182,4.9,3.1370432969320476,-35.97870822587659,54.93421735578005,52.44916445412002,-2.4850529016600262,2.1434761400252804,1.2139796188793839,-43.36397796967938,6,0,120.405,116.72670000000001,-3.054939578921134,104448.0,76800.0,-26.470588235294112,1.5708734939939561,1.5153466922398782,-3.5347723394899666
GEMM,48,base,60,60,False,1.2865080083409945,4.9,3.120410961516604,-36.318143642518294,54.93421735578005,52.26891256638004,-2.665304789400011,2.1434761400252804,1.2166477560486009,-43.239500858906155,6,0,120.405,116.7426,-3.041734147253028,104448.0,122880.0,17.647058823529417,1.5708734939939561,1.5156890694842255,-3.5129769978754832
GEMM,49,base,60,57,True,1.2286563233317187,4.9,3.0853002347560032,-37.03468908661218,54.93421735578005,52.177068754940024,-2.7571486008400257,2.1434761400252804,1.1630572984782483,-45.73966666759672,6,0,120.405,116.6786,-3.094888086042935,104448.0,90112.0,-13.725490196078427,1.5708734939939561,1.5149789627069365,-3.5581815786392412
MPEG4,40,base,60,32,True,0.6944940216528873,4.9,3.4055459160242516,-30.499062938280584,54.44663874680003,51.787391200800016,-2.6592475460000173,1.3003837749577485,1.0335409484766385,-20.52031343514572,2,0,122.06989999999999,121.5296,-0.44261525568546345,420000.0,412000.0,-1.904761904761909,1.1328804365769536,1.1273574565915347,-0.4875165822535332
MPEG4,41,base,60,43,True,0.9317278999990474,4.9,3.353497333447004,-31.561278909244816,54.44663874680003,51.79635698051004,-2.650281766289993,1.3003837749577485,0.9662953684851536,-25.691523756780942,2,0,122.06989999999999,121.4336,-0.5212587214374675,420000.0,416000.0,-0.952380952380949,1.1328804365769536,1.126582894653931,-0.5558876047017769
