benchmark,seed,run_type,configured_generations,actual_generations,converged,elapsed_min,cost_baseline,cost_b2,cost_delta_pct,tmax_baseline_C,tmax_b2_C,tmax_delta_C,sigma_baseline_K,sigma_b2_K,sigma_delta_pct,hot_baseline,hot_b2,makespan_baseline_us,makespan_b2_us,makespan_delta_pct,comm_baseline,comm_b2,comm_delta_pct,pe_optical_energy_baseline_mJ,pe_optical_energy_b2_mJ,pe_optical_energy_delta_pct
GEMM,40,base,60,27,True,0.5962740866622577,3.4,2.2810611188147587,-32.90996709368357,54.93421735578005,53.74700751183002,-1.1872098439500292,2.1434761400252804,1.6555891654800325,-22.761483808235617,6,0,120.405,116.6186,-3.1447199036584883,104448.0,43008.0,-58.82352941176471,1.5708734939939561,1.517435923728417,-3.4017742657095673
GEMM,41,base,60,58,True,1.2878596616598468,3.4,2.4803488898158466,-27.0485620642398,54.93421735578005,54.700732400330025,-0.2334849554500238,2.1434761400252804,1.6785349714683813,-21.690988757701568,6,1,120.405,118.7507,-1.373946264690007,104448.0,54272.0,-48.0392156862745,1.5708734939939561,1.5354162821669894,-2.2571653263316893
GEMM,42,base,60,34,True,0.7260217849941303,3.4,2.2941218642588566,-32.525827521798334,54.93421735578005,53.964454048710024,-0.9697633070700249,2.1434761400252804,1.7047720636344015,-20.4669447071944,6,0,120.405,116.71069999999999,-3.0682280636186277,104448.0,46080.0,-55.88235294117647,1.5708734939939561,1.5186239360212332,-3.326146769456151
GEMM,43,base,60,33,True,0.7123816366773099,3.4,2.2796576604315435,-32.95124528142519,54.93421735578005,53.96445404179002,-0.969763313990029,2.1434761400252804,1.8025322137384827,-15.906121832677666,6,0,120.405,116.4686,-3.2692994476973603,104448.0,43008.0,-58.82352941176471,1.5708734939939561,1.517723381467173,-3.3834750366593003
GEMM,44,base,60,44,True,0.9454047683315973,3.4,2.264221443248095,-33.40525166917367,54.93421735578005,53.13120010280005,-1.8030172529799984,2.1434761400252804,1.4616732736997564,-31.808278785761658,6,0,120.405,116.7428,-3.041568041194298,104448.0,49152.0,-52.94117647058824,1.5708734939939561,1.5167488881970572,-3.445510157491216
GEMM,45,base,60,60,False,1.2859297766660651,3.4,2.2642043933930958,-33.405753135497186,54.93421735578005,53.131186419150026,-1.803030936630023,2.1434761400252804,1.425102208060203,-33.51443566601142,6,0,120.405,116.7447,-3.039990033636486,104448.0,49152.0,-52.94117647058824,1.5708734939939561,1.516635829460564,-3.4527073466299685
GEMM,46,base,60,39,True,0.8459732933280368,3.4,2.276052653728904,-33.05727489032636,54.93421735578005,53.381647491319995,-1.5525698644600539,2.1434761400252804,1.4685226753603444,-31.488732347493055,6,0,120.405,116.7447,-3.039990033636486,104448.0,52224.0,-50.0,1.5708734939939561,1.51689833641304,-3.4359964559389167
GEMM,47,base,60,39,True,0.8403008616684625,3.4,2.2761074488241038,-33.0556632698793,54.93421735578005,53.96445413829002,-0.9697632174900264,2.1434761400252804,1.6922057837240936,-21.05320175366471,6,0,120.405,116.5167,-3.2293509405755594,104448.0,41984.0,-59.80392156862745,1.5708734939939561,1.5173839940431666,-3.4050800497493983
GEMM,48,base,60,37,True,0.8074471716613819,3.4,2.2885690703993617,-32.68914498825406,54.93421735578005,53.74700719102003,-1.1872101647600175,2.1434761400252804,1.5038867441320527,-29.838885721661658,6,0,120.405,116.6147,-3.1479589718034995,104448.0,45056.0,-56.86274509803921,1.5708734939939561,1.5165049711494023,-3.461037636221198
GEMM,49,base,60,37,True,0.8075643316687395,3.4,2.2771737652958706,-33.02430102070969,54.93421735578005,53.381807491190045,-1.552409864590004,2.1434761400252804,1.4676485953886915,-31.529510966640295,6,0,120.405,116.84089999999999,-2.9600930193928954,104448.0,52224.0,-50.0,1.5708734939939561,1.5174083908555691,-3.403526976730098
MPEG4,40,base,60,53,True,1.1396319183210533,3.4,2.3308207973135873,-31.446447137835666,54.44663874680003,53.08929269014004,-1.357346056659992,1.3003837749577485,1.2066652092067076,-7.206992855173533,2,0,122.06989999999999,121.2096,-0.7047601415254623,420000.0,264000.0,-37.142857142857146,1.1328804365769536,1.1259477898675312,-0.6119486651539052
MPEG4,41,base,60,22,True,0.47651553167961536,3.4,2.570226693329119,-24.405097255025908,54.44663874680003,53.81729818981,-0.6293405569900301,1.3003837749577485,1.1805451394877744,-9.215636012827666,2,0,122.06989999999999,121.1156,-0.7817652017409582,420000.0,316000.0,-24.761904761904763,1.1328804365769536,1.1257145440717542,-0.6325374041104892
MPEG4,42,base,60,34,True,0.7370902783237397,3.4,2.422519807610618,-28.749417423217118,54.44663874680003,53.781265046700014,-0.6653737001000195,1.3003837749577485,1.2491187136992685,-3.9423024376127436,2,0,122.06989999999999,121.55069999999999,-0.42533007727539873,420000.0,268000.0,-36.1904761904762,1.1328804365769536,1.12822625246201,-0.4108274769936471
MPEG4,43,base,60,18,True,0.39225828332516055,3.4,2.5820908568032164,-24.05615127049363,54.44663874680003,53.761641945250005,-0.6849968015500281,1.3003837749577485,1.1929954552899165,-8.258202058182496,2,0,122.06989999999999,121.7796,-0.23781456362296227,420000.0,320000.0,-23.809523809523814,1.1328804365769536,1.1291748865978002,-0.32709100267896973
MPEG4,44,base,60,55,True,1.1921500283293427,3.4,2.357452878966292,-30.66315061863847,54.44663874680003,52.574876437520004,-1.8717623092800295,1.3003837749577485,1.1350822275586243,-12.711750990933046,2,0,122.06989999999999,121.1636,-0.7424434688649617,420000.0,244000.0,-41.9047619047619,1.1328804365769536,1.1253268472188152,-0.6667596256637598
MPEG4,45,base,60,35,True,0.7550517983268946,3.4,2.4491106959666653,-27.96733247156866,54.44663874680003,53.41404150575005,-1.0325972410499844,1.3003837749577485,1.1697767413611977,-10.043729867422746,2,0,122.06989999999999,121.2096,-0.7047601415254623,420000.0,288000.0,-31.428571428571427,1.1328804365769536,1.1258984197116126,-0.6163065968759596
MPEG4,46,base,60,60,True,1.3010422283317893,3.4,2.3974002813923803,-29.48822701787117,54.44663874680003,53.63644433143003,-0.810194415370006,1.3003837749577485,1.2117585169161367,-6.8153155820858675,2,0,122.06989999999999,121.1636,-0.7424434688649617,420000.0,220000.0,-47.61904761904761,1.1328804365769536,1.1254380050947406,-0.6569476567801491
MPEG4,47,base,60,43,True,0.9346869983244688,3.4,2.4217358783784815,-28.772474165338778,54.44663874680003,53.89431027430004,-0.552328472499994,1.3003837749577485,1.292604446677718,-0.5982332623523545,2,0,122.06989999999999,120.70230000000001,-1.120341705858674,420000.0,244000.0,-41.9047619047619,1.1328804365769536,1.1235342794237555,-0.824990603724951
MPEG4,48,base,60,16,True,0.3524568983198454,3.4,2.6018687236464633,-23.474449304515787,54.44663874680003,53.94167797788003,-0.5049607689200002,1.3003837749577485,1.1897918581840987,-8.504559877121132,2,0,122.06989999999999,122.0427,-0.022282315296395794,420000.0,252000.0,-40.0,1.1328804365769536,1.1300796331428842,-0.24722851093909037
MPEG4,49,base,60,33,True,0.7186294500095148,3.4,2.384714036354217,-29.861351871934783,54.44663874680003,53.048795219490046,-1.3978435273099876,1.3003837749577485,1.2064643360841139,-7.22244007363797,2,0,122.06989999999999,121.1596,-0.745720279937967,420000.0,240000.0,-42.85714285714286,1.1328804365769536,1.1257181425575404,-0.6322197637249616
VOPD,40,base,60,60,False,21.06224174333426,3.0,2.2888995797970932,-23.70334734009689,52.22271921261,52.990015294510044,0.7672960819000423,0.9870939912641029,1.0067449908461097,1.990793152011916,0,0,89.3329,87.3526,-2.2167644843053336,1396000.0,782000.0,-43.98280802292264,0.7507385223064373,0.7378738455177449,-1.7136028599104347
VOPD,41,base,60,45,True,11.433092851672942,3.0,2.4266472935097307,-19.11175688300898,52.22271921261,53.01871864604004,0.7959994334300404,0.9870939912641029,1.0002884316800806,1.3366954446840884,0,0,89.3329,87.4026,-2.160794063553284,1396000.0,756000.0,-45.84527220630372,0.7507385223064373,0.7379961872977866,-1.6973066693718342
VOPD,42,base,60,56,True,15.454164776671679,3.0,2.3096167162447374,-23.012776125175417,52.22271921261,52.55132582227003,0.32860660966002797,0.9870939912641029,1.0085504815994137,2.1737028616528153,0,0,89.3329,87.6906,-1.8384044400215238,1396000.0,834000.0,-40.257879656160455,0.7507385223064373,0.7397913855288225,-1.4581823700724361
VOPD,43,base,60,57,True,15.475255714993303,3.0,2.3629894111573746,-21.233686294754182,52.22271921261,53.78460527568001,1.5618860630700055,0.9870939912641029,1.0488998527470497,6.261395776890133,0,0,89.3329,87.2546,-2.32646650897933,1396000.0,620000.0,-55.587392550143264,0.7507385223064373,0.7367015369561646,-1.869756903794939
VOPD,44,base,60,59,True,17.790514406654985,3.0,2.3450566839424902,-21.831443868583655,52.22271921261,52.53627235953002,0.31355314692001457,0.9870939912641029,1.033534916424622,4.704812872079733,0,0,89.3329,87.6007,-1.9390392565337033,1396000.0,962000.0,-31.088825214899718,0.7507385223064373,0.7397483948339679,-1.4639088239011944
VOPD,45,base,60,60,False,18.266897481664394,3.0,2.381729454032164,-20.609018198927874,52.22271921261,52.40184075566003,0.17912154305003014,0.9870939912641029,0.9813159198390038,-0.5853618273675809,0,0,89.3329,86.1266,-3.5891592011453755,1396000.0,646000.0,-53.72492836676217,0.7507385223064373,0.7303820564845845,-2.711525413577176
VOPD,46,base,60,60,False,18.056915061657005,3.0,2.42349328934918,-19.21689035502734,52.22271921261,52.399950061530035,0.1772308489200327,0.9870939912641029,0.9633983741507656,-2.400543142096534,0,0,89.3329,87.4506,-2.107062459631337,1396000.0,818000.0,-41.40401146131805,0.7507385223064373,0.7384094749686505,-1.6422558549292532
