benchmark,seed,configured_generations,actual_generations,converged,final_best_fitness,history_rows,avg_inf_generations,worst_inf_generations,best_inf_generations,avg_inf_generation_pct
GEMM,40,60,60,False,3.7756299369185338,60,0,0,0,0.0
MPEG4,40,60,28,True,4.242777663082553,28,0,0,0,0.0
VOPD,40,60,24,True,4.535907040207907,24,14,14,0,58.333333333333336
HNN,40,60,56,True,5.04699018190069,56,0,0,0,0.0
GEMM,41,60,29,True,3.795969112228902,29,0,0,0,0.0
MPEG4,41,60,57,True,4.097180119498511,57,0,0,0,0.0
VOPD,41,60,40,True,4.4290574560875555,40,27,27,0,67.5
HNN,41,60,39,True,5.17401394028756,39,0,0,0,0.0
GEMM,42,60,45,True,3.799907180912859,45,0,0,0,0.0
MPEG4,42,60,21,True,4.216755651138596,21,0,0,0,0.0
VOPD,42,60,38,True,4.44974612228009,38,21,21,0,55.26315789473685
HNN,42,60,54,True,4.986974793468414,54,0,0,0,0.0
GEMM,43,60,20,True,3.7673396106539467,20,0,0,0,0.0
MPEG4,43,60,32,True,4.11216503036325,32,0,0,0,0.0
VOPD,43,60,29,True,4.349570016586447,29,19,19,0,65.51724137931035
HNN,43,60,17,True,5.462613147873699,17,0,0,0,0.0
GEMM,44,60,33,True,3.844634655649292,33,0,0,0,0.0
MPEG4,44,60,39,True,4.131037306053756,39,0,0,0,0.0
VOPD,44,60,30,True,4.407643664781135,30,23,23,0,76.66666666666667
HNN,44,60,30,True,5.085554701009119,30,0,0,0,0.0
GEMM,45,60,53,True,3.7465646208919887,53,0,0,0,0.0
MPEG4,45,60,46,True,4.049490827462077,46,0,0,0,0.0
VOPD,45,60,39,True,4.398872014789851,39,30,30,0,76.92307692307693
HNN,45,60,27,True,5.373174744913506,27,0,0,0,0.0
GEMM,46,60,51,True,3.741650923084499,51,0,0,0,0.0
MPEG4,46,60,35,True,4.016261600531964,35,0,0,0,0.0
VOPD,46,60,27,True,4.446714704298548,27,21,21,0,77.77777777777777
HNN,46,60,60,False,4.982882635915508,60,0,0,0,0.0
GEMM,47,60,55,True,3.8192535762656448,55,0,0,0,0.0
MPEG4,47,60,58,True,4.083388623951365,58,0,0,0,0.0
VOPD,47,60,50,True,4.473743433386786,50,41,41,0,82.0
HNN,47,60,28,True,5.038941886660901,28,0,0,0,0.0
GEMM,48,60,60,False,3.7259784989639666,60,0,0,0,0.0
MPEG4,48,60,26,True,4.188175475521553,26,0,0,0,0.0
VOPD,48,60,48,True,4.3470398343814445,48,27,27,0,56.25
HNN,48,60,46,True,4.878621881488557,46,0,0,0,0.0
GEMM,49,60,60,False,3.7786313870473434,60,0,0,0,0.0
MPEG4,49,60,31,True,4.188954448764773,31,0,0,0,0.0
VOPD,49,60,48,True,4.2209760937638094,48,23,23,0,47.91666666666667
HNN,49,60,28,True,5.327389471999339,28,0,0,0,0.0
