benchmark,seed,run_type,configured_generations,actual_generations,history_rows,converged,elapsed_min,cost_baseline,cost_b2,cost_delta_pct,tmax_baseline_C,tmax_b2_C,tmax_delta_C,sigma_baseline_K,sigma_b2_K,sigma_delta_pct,hot_baseline,hot_b2,hot_delta,dvfs_baseline_pct,dvfs_b2_pct,dvfs_delta_pctpt,makespan_baseline_us,makespan_b2_us,makespan_delta_pct,comm_baseline,comm_b2,comm_delta_pct,congestion_baseline,congestion_b2,congestion_delta_pct,load_baseline,load_b2,load_delta_pct,pe_optical_energy_baseline_mJ,pe_optical_energy_b2_mJ,pe_optical_energy_delta_pct,optical_margin_baseline_dB,optical_margin_b2_dB,optical_margin_delta_dB,optical_ber_baseline,optical_ber_b2,optical_tuning_baseline_mW,optical_tuning_b2_mW,optical_tuning_delta_pct,history_avg_inf_gens,history_worst_inf_gens,history_best_inf_gens,valid,validity_notes
GEMM,40,base,60,60,60,False,1.392460725006337,6.000000000000001,3.7756299369185338,-37.07283438469111,54.93421735578005,53.20354868684001,-1.7306686689400408,2.1434761400252804,1.3099701471744862,-38.885713597957924,6,0,-6,1.8350526805555563,0.0,-1.8350526805555563,120.405,116.7588,-3.028279556496827,104448.0,68608.0,-34.31372549019608,22528.0,8192.0,-63.63636363636363,0.9202539178734378,0.8059908748264233,-12.416469066609181,1.5708734939939561,1.5161495975444554,-3.4836603112046283,-6.7540627757353,-2.2642611437894,4.4898016319459,0.11245067850978,0.066056026900216,51.554489738666,20.884457583731,-59.490516365119596,0,0,0,True,
MPEG4,40,base,60,28,28,True,0.6665131983347237,6.000000000000001,4.242777663082553,-29.287038948624133,54.44663874680003,52.05575244872,-2.3908862980800336,1.3003837749577485,1.0802911596729816,-16.92520466059475,2,0,-2,0.07168423611111063,0.0,-0.07168423611111063,122.06989999999999,122.34759999999999,0.22749260874301847,420000.0,400000.0,-4.761904761904767,88000.0,48000.0,-45.45454545454546,0.5670623064060744,0.5670623064060744,0.0,1.1328804365769536,1.1320264694293614,-0.07538016546322357,-6.7540105634287,-6.7539987122284,1.1851200300228015e-05,0.073143223754916,0.067503987698138,24.890988958734,16.482893563824,-33.779675885315456,0,0,0,True,
VOPD,40,base,60,24,24,True,6.453055601660163,5.0,4.535907040207907,-9.281859195841857,52.22271921261,52.37165727272003,0.14893806011002653,0.9870939912641029,0.9088410564189721,-7.927607252974733,0,0,0,0.0,0.0,0.0,89.3329,88.51270000000001,-0.9181387820164755,1396000.0,1138000.0,-18.481375358166186,252000.0,138000.0,-45.238095238095234,0.35802469135802467,0.35802469135802467,0.0,0.7507385223064373,0.7449911268570046,-0.7655655436163644,-6.7540341665474,-6.7539857151539,4.845139349995975e-05,0.06538049161693,0.064809077675648,16.127688148597,12.190088957458,-24.415149616354302,14,14,0,True,
HNN,40,base,60,56,56,True,2.1270829383283854,6.000000000000001,5.04699018190069,-15.883496968321841,55.66757624162,55.52869560405003,-0.1388806375699687,2.454372247071413,1.7455646610546751,-28.87938399981892,16,5,-11,11.14198573637825,0.5917053333333313,-10.550280403044919,203.177525,246.09259999999998,21.121959724629956,2195456.0,1736704.0,-20.895522388059707,163840.0,147456.0,-9.999999999999998,0.3028095733610822,0.3881373569198751,28.17869415807559,4.651317011228462,4.500817049650222,-3.2356418884141203,-6.7542238179251,-2.3368360143365,4.4173878035886,0.083163844976119,0.13299692167175,57.610724317951,39.151580535111,-32.04115900533521,0,0,0,True,
GEMM,41,base,60,29,29,True,0.6742437033293148,6.000000000000001,3.795969112228902,-36.73384812951831,54.93421735578005,53.314869881670006,-1.619347474110043,2.1434761400252804,1.378840605050179,-35.672687029120986,6,0,-6,1.8350526805555563,0.0,-1.8350526805555563,120.405,116.7927,-3.000124579544039,104448.0,62464.0,-40.19607843137255,22528.0,8192.0,-63.63636363636363,0.9202539178734378,0.8059908748264233,-12.416469066609181,1.5708734939939561,1.5167610670843386,-3.4447348635335717,-6.7540627757353,-2.1662379404579,4.5878248352774005,0.11245067850978,0.0666946573509,51.554489738666,36.536391506071,-29.130534137226437,0,0,0,True,
MPEG4,41,base,60,57,57,True,1.359473391653349,6.000000000000001,4.097180119498511,-31.713664675024823,54.44663874680003,51.89690268668005,-2.549736060119983,1.3003837749577485,1.0422940592580014,-19.847195933226157,2,0,-2,0.07168423611111063,0.0,-0.07168423611111063,122.06989999999999,121.5296,-0.44261525568547455,420000.0,300000.0,-28.57142857142857,88000.0,40000.0,-54.54545454545454,0.5670623064060744,0.7644253172884515,34.804466573210235,1.1328804365769536,1.1269164285558106,-0.5264463776215922,-6.7540105634287,-6.7540258483857,-1.528495699965049e-05,0.073143223754916,0.065668129138997,24.890988958734,14.078172279837,-43.44068729781381,0,0,0,True,
VOPD,41,base,60,40,40,True,13.049605595010023,5.0,4.4290574560875555,-11.418850878248888,52.22271921261,52.35080305214001,0.12808383953000657,0.9870939912641029,0.9605899974885381,-2.6850526910434325,0,0,0,0.0,0.0,0.0,89.3329,87.5467,-1.9994873109459133,1396000.0,1154000.0,-17.335243553008596,252000.0,86000.0,-65.87301587301587,0.35802469135802467,0.35802469135802467,0.0,0.7507385223064373,0.7396582987192672,-1.4759098218550482,-6.7540341665474,-6.7539805089187,5.3657628699355087e-05,0.06538049161693,0.064821516094094,16.127688148597,15.102639402412,-6.355831888243513,27,27,0,True,
HNN,41,base,60,39,39,True,1.486524806668361,6.000000000000001,5.17401394028756,-13.766434328540678,55.66757624162,56.17274395863001,0.5051677170100106,2.454372247071413,1.8383141988009524,-25.100432463150145,16,11,-5,11.14198573637825,6.241983128860769,-4.900002607517482,203.177525,197.7868,-2.6532093055075867,2195456.0,1613824.0,-26.49253731343284,163840.0,147456.0,-9.999999999999998,0.3028095733610822,0.25286160249739853,-16.49484536082475,4.651317011228462,4.482683210938695,-3.6255064938097936,-6.7542238179251,-6.7541042393124,0.00011957861269973336,0.083163844976119,0.075697254837167,57.610724317951,55.114875835185,-4.3322636754079324,0,0,0,True,
GEMM,42,base,60,45,45,True,1.0681253849994392,6.000000000000001,3.799907180912859,-36.66821365145236,54.93421735578005,53.23828532851002,-1.6959320272700324,2.1434761400252804,1.4089998627280593,-34.265661445084184,6,0,-6,1.8350526805555563,0.0,-1.8350526805555563,120.405,116.7308,-3.0515344047174042,104448.0,51200.0,-50.98039215686274,22528.0,8192.0,-63.63636363636363,0.9202539178734378,0.9964292799047808,8.27764604440613,1.5708734939939561,1.5165817477558798,-3.4561501257519556,-6.7540627757353,-2.2449642359289,4.5090985398064,0.11245067850978,0.065527513321739,51.554489738666,23.218691390716,-54.962814085808084,0,0,0,True,
MPEG4,42,base,60,21,21,True,0.5063180800061673,6.000000000000001,4.216755651138596,-29.720739147690068,54.44663874680003,51.816508380320045,-2.630130366479989,1.3003837749577485,1.0198443512080955,-21.57358690197193,2,0,-2,0.07168423611111063,0.0,-0.07168423611111063,122.06989999999999,121.3516,-0.5884333484339699,420000.0,388000.0,-7.619047619047614,88000.0,48000.0,-45.45454545454546,0.5670623064060744,0.7644253172884515,34.804466573210235,1.1328804365769536,1.1261318681507333,-0.5956999704762711,-6.7540105634287,-6.7540201082651,-9.544836399477674e-06,0.073143223754916,0.074139946664448,24.890988958734,14.036786260033,-43.60695638367702,0,0,0,True,
VOPD,42,base,60,38,38,True,9.73551420167399,5.0,4.44974612228009,-11.005077554398191,52.22271921261,51.86541027742004,-0.35730893518996254,0.9870939912641029,0.9079904142012913,-8.01378366831198,0,0,0,0.0,0.0,0.0,89.3329,87.6888,-1.8404193751686004,1396000.0,1154000.0,-17.335243553008596,252000.0,136000.0,-46.03174603174603,0.35802469135802467,0.35802469135802467,0.0,0.7507385223064373,0.7402316792300394,-1.3995342937936028,-6.7540341665474,-6.7539896035518,4.456299559940646e-05,0.06538049161693,0.067480085653545,16.127688148597,16.017630973614,-0.6824113534993681,21,21,0,True,
HNN,42,base,60,54,54,True,2.1123762083239854,6.000000000000001,4.986974793468414,-16.883753442193118,55.66757624162,54.72792989865002,-0.9396463429699793,2.454372247071413,1.7196509289544641,-29.935203145880873,16,5,-11,11.14198573637825,0.49297539654034994,-10.6490103398379,203.177525,234.93869999999998,15.63222851543249,2195456.0,1638400.0,-25.373134328358205,163840.0,155648.0,-5.000000000000004,0.3028095733610822,0.5171696149843913,70.79037800687284,4.651317011228462,4.433061037732707,-4.69234784403808,-6.7542238179251,-6.7536998265593,0.0005239913657995032,0.083163844976119,0.097701360964762,57.610724317951,53.352655523957,-7.391104424401796,0,0,0,True,
GEMM,43,base,60,20,20,True,0.4825910733236621,6.000000000000001,3.7673396106539467,-37.211006489100896,54.93421735578005,53.00672326804005,-1.9274940877400013,2.1434761400252804,1.4014433814768217,-34.61819540196548,6,0,-6,1.8350526805555563,0.0,-1.8350526805555563,120.405,116.7629,-3.024874382293097,104448.0,60416.0,-42.15686274509803,22528.0,8192.0,-63.63636363636363,0.9202539178734378,0.8059908748264233,-12.416469066609181,1.5708734939939561,1.5167121428106511,-3.4478493265297505,-6.7540627757353,-3.0574999038074,3.6965628719279002,0.11245067850978,0.085360249141417,51.554489738666,35.023357270732,-32.065359489991444,0,0,0,True,
MPEG4,43,base,60,32,32,True,0.7724612816702574,6.000000000000001,4.11216503036325,-31.463916160612516,54.44663874680003,52.81853737770001,-1.6281013691000226,1.3003837749577485,1.1319204135137755,-12.954895676812539,2,0,-2,0.07168423611111063,0.0,-0.07168423611111063,122.06989999999999,121.1636,-0.7424434688649617,420000.0,352000.0,-16.19047619047619,88000.0,24000.0,-72.72727272727273,0.5670623064060744,0.5670623064060744,0.0,1.1328804365769536,1.125682756899805,-0.6353432758444133,-6.7540105634287,-6.7540750089839,-6.444555519991013e-05,0.073143223754916,0.065859468449494,24.890988958734,22.152179389136,-11.003217164808465,0,0,0,True,
