benchmark,seed,baseline_run_ok,b2_run_ok,baseline_valid_for_cost,b2_valid_for_cost,baseline_temperature_source,b2_temperature_source,baseline_parsed_pe_count,b2_parsed_pe_count,baseline_temp_timepoints,b2_temp_timepoints,history_rows,history_all_best_fitness_infinite,valid,notes
GEMM,40,True,True,True,True,vec,vec,16,16,1205,1168,60,False,True,
MPEG4,40,True,True,True,True,vec,vec,16,16,1221,1224,28,False,True,
VOPD,40,True,True,True,True,vec,vec,16,16,894,886,24,False,True,
HNN,40,True,True,True,True,vec,vec,16,16,2032,2461,56,False,True,
GEMM,41,True,True,True,True,vec,vec,16,16,1205,1168,29,False,True,
MPEG4,41,True,True,True,True,vec,vec,16,16,1221,1216,57,False,True,
VOPD,41,True,True,True,True,vec,vec,16,16,894,876,40,False,True,
HNN,41,True,True,True,True,vec,vec,16,16,2032,1978,39,False,True,
GEMM,42,True,True,True,True,vec,vec,16,16,1205,1168,45,False,True,
MPEG4,42,True,True,True,True,vec,vec,16,16,1221,1214,21,False,True,
VOPD,42,True,True,True,True,vec,vec,16,16,894,877,38,False,True,
HNN,42,True,True,True,True,vec,vec,16,16,2032,2350,54,False,True,
GEMM,43,True,True,True,True,vec,vec,16,16,1205,1168,20,False,True,
MPEG4,43,True,True,True,True,vec,vec,16,16,1221,1212,32,False,True,
VOPD,43,True,True,True,True,vec,vec,16,16,894,894,29,False,True,
HNN,43,True,True,True,True,vec,vec,16,16,2032,2394,17,False,True,
GEMM,44,True,True,True,True,vec,vec,16,16,1205,1167,33,False,True,
MPEG4,44,True,True,True,True,vec,vec,16,16,1221,1217,39,False,True,
VOPD,44,True,True,True,True,vec,vec,16,16,894,888,30,False,True,
HNN,44,True,True,True,True,vec,vec,16,16,2032,2384,30,False,True,
GEMM,45,True,True,True,True,vec,vec,16,16,1205,1168,53,False,True,
MPEG4,45,True,True,True,True,vec,vec,16,16,1221,1217,46,False,True,
VOPD,45,True,True,True,True,vec,vec,16,16,894,874,39,False,True,
HNN,45,True,True,True,True,vec,vec,16,16,2032,1982,27,False,True,
GEMM,46,True,True,True,True,vec,vec,16,16,1205,1168,51,False,True,
MPEG4,46,True,True,True,True,vec,vec,16,16,1221,1216,35,False,True,
VOPD,46,True,True,True,True,vec,vec,16,16,894,878,27,False,True,
HNN,46,True,True,True,True,vec,vec,16,16,2032,2202,60,False,True,
GEMM,47,True,True,True,True,vec,vec,16,16,1205,1168,55,False,True,
MPEG4,47,True,True,True,True,vec,vec,16,16,1221,1218,58,False,True,
VOPD,47,True,True,True,True,vec,vec,16,16,894,874,50,False,True,
HNN,47,True,True,True,True,vec,vec,16,16,2032,2382,28,False,True,
GEMM,48,True,True,True,True,vec,vec,16,16,1205,1167,60,False,True,
MPEG4,48,True,True,True,True,vec,vec,16,16,1221,1214,26,False,True,
VOPD,48,True,True,True,True,vec,vec,16,16,894,874,48,False,True,
HNN,48,True,True,True,True,vec,vec,16,16,2032,2328,46,False,True,
GEMM,49,True,True,True,True,vec,vec,16,16,1205,1168,60,False,True,
MPEG4,49,True,True,True,True,vec,vec,16,16,1221,1216,31,False,True,
VOPD,49,True,True,True,True,vec,vec,16,16,894,894,48,False,True,
HNN,49,True,True,True,True,vec,vec,16,16,2032,2224,28,False,True,
