comparison_type,workload,method,method_family,source_root,ablation,seed,seed_type,selection_policy,metrics_path,reference_metrics_path,source_objective_name,source_objective_weights,stored_TR2_composite_cost,reference_full_objective_comparable_score,method_full_objective_comparable_score,full_score_delta_vs_reference,full_score_relative_change_pct_vs_reference,run_ok,valid_for_cost,valid,validity_notes,reference_T_max_K,method_T_max_K,T_max_K_delta_vs_reference,T_max_K_relative_change_pct,reference_sigma_T_K,method_sigma_T_K,sigma_T_K_delta_vs_reference,sigma_T_K_relative_change_pct,reference_N_hot,method_N_hot,N_hot_delta_vs_reference,N_hot_relative_change_pct,reference_makespan_s,method_makespan_s,makespan_s_delta_vs_reference,makespan_s_relative_change_pct,reference_eta_dvfs_pct,method_eta_dvfs_pct,eta_dvfs_pct_delta_vs_reference,eta_dvfs_pct_relative_change_pct,reference_raw_comm_cost,method_raw_comm_cost,raw_comm_cost_delta_vs_reference,raw_comm_cost_relative_change_pct,reference_raw_congestion_cost,method_raw_congestion_cost,raw_congestion_cost_delta_vs_reference,raw_congestion_cost_relative_change_pct,reference_raw_load_imbalance,method_raw_load_imbalance,raw_load_imbalance_delta_vs_reference,raw_load_imbalance_relative_change_pct,reference_pe_optical_comm_energy_J,method_pe_optical_comm_energy_J,pe_optical_comm_energy_J_delta_vs_reference,pe_optical_comm_energy_J_relative_change_pct,reference_T_max_C,method_T_max_C,T_max_C_delta_vs_reference,T_max_C_relative_change_pct,reference_makespan_us,method_makespan_us,makespan_us_delta_vs_reference,makespan_us_relative_change_pct,reference_DVFS_penalty_pct,method_DVFS_penalty_pct,DVFS_penalty_pct_delta_vs_reference,DVFS_penalty_pct_relative_change_pct,reference_comm_cost,method_comm_cost,comm_cost_delta_vs_reference,comm_cost_relative_change_pct,reference_congestion_proxy,method_congestion_proxy,congestion_proxy_delta_vs_reference,congestion_proxy_relative_change_pct,reference_load_imbalance,method_load_imbalance,load_imbalance_delta_vs_reference,load_imbalance_relative_change_pct,reference_total_PE_optical_energy_mJ,method_total_PE_optical_energy_mJ,total_PE_optical_energy_mJ_delta_vs_reference,total_PE_optical_energy_mJ_relative_change_pct,reference_f_thermal,method_f_thermal,f_thermal_delta_vs_reference,reference_f_sigma,method_f_sigma,f_sigma_delta_vs_reference,reference_f_hot,method_f_hot,f_hot_delta_vs_reference,reference_f_makespan,method_f_makespan,f_makespan_delta_vs_reference,reference_f_comm,method_f_comm,f_comm_delta_vs_reference,reference_f_congestion,method_f_congestion,f_congestion_delta_vs_reference,reference_f_dvfs,method_f_dvfs,f_dvfs_delta_vs_reference,reference_f_load,method_f_load,f_load_delta_vs_reference,reference_f_energy,method_f_energy,f_energy_delta_vs_reference
ablation_vs_reference,GEMM,thermal-only,ablation,B-2-v4-ablation,thermal-only,40,ga_seed,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_40\gen_60\gemm\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\gemm\metrics.json,baseline_normalized_v2,w_T=1.0;w_sigma=1.0;w_hot=0.6;w_makespan=0.0;w_H=0.0;w_congestion=0.0;w_D=0.0;w_L=0.0;w_E=0.0,1.0253542108776807,6.000000000000001,8.643624932550848,2.643624932550847,44.06041554251412,True,True,True,,328.08421735578,324.2346712025,-3.8495461532800164,-1.1733408526340416,2.1434761400252804,0.8849511181502574,-1.258525021875023,-58.71420718777769,6.0,0.0,-6.0,-100.0,0.000120405,0.0003262487,0.00020584369999999998,170.959428595158,1.8350526805555563,0.0,-1.8350526805555563,-100.0,104448.0,75776.0,-28672.0,-27.450980392156865,22528.0,32768.0,10240.0,45.45454545454546,0.9202539178734378,10.213648085697283,9.293394167823845,1009.872817417547,0.0015708734939939562,0.0026347759914470887,0.0010639024974531325,67.72680941659748,54.93421735578005,51.08467120250003,-3.8495461532800164,-7.0075561982589685,120.405,326.2487,205.84369999999998,170.959428595158,1.8350526805555563,0.0,-1.8350526805555563,-100.0,104448.0,75776.0,-28672.0,-27.450980392156865,22528.0,32768.0,10240.0,45.45454545454546,0.9202539178734378,10.213648085697283,9.293394167823845,1009.872817417547,1.5708734939939561,2.6347759914470887,1.0639024974531326,67.72680941659748,1.0,0.6124962827554578,-0.38750371724454225,1.0,0.4128579281222231,-0.5871420718777769,1.0,0.0,-1.0,1.0,2.70959428595158,1.7095942859515798,1.0,0.7254901960784313,-0.27450980392156865,1.0,1.4545454545454546,0.4545454545454546,1.0,0.0,-1.0,1.0,11.09872817417547,10.09872817417547,1.0,1.6772680941659748,0.6772680941659748
ablation_vs_reference,MPEG4,thermal-only,ablation,B-2-v4-ablation,thermal-only,40,ga_seed,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_40\gen_60\mpeg4\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\mpeg4\metrics.json,baseline_normalized_v2,w_T=1.0;w_sigma=1.0;w_hot=0.6;w_makespan=0.0;w_H=0.0;w_congestion=0.0;w_D=0.0;w_L=0.0;w_E=0.0,1.302589309598189,6.000000000000001,6.595115888392986,0.5951158883929848,9.918598139883073,True,True,True,,327.5966387468,324.21868705058,-3.377951696220009,-1.031131366042748,1.3003837749577485,0.8584765717543096,-0.4419072032034389,-33.98282966255843,2.0,0.0,-2.0,-100.0,0.0001220699,0.0001745317,5.246180000000001e-05,42.976851787377576,0.07168423611111063,0.0,-0.07168423611111063,-100.0,420000.0,372000.0,-48000.0,-11.428571428571432,88000.0,164000.0,76000.0,86.36363636363636,0.5670623064060744,3.6713631753515528,3.1043008689454785,547.4355875670711,0.0011328804365769536,0.0014118001619019892,0.0002789197253250356,24.62040267619092,54.44663874680003,51.068687050580024,-3.377951696220009,-6.204151025610449,122.06989999999999,174.5317,52.46180000000001,42.976851787377576,0.07168423611111063,0.0,-0.07168423611111063,-100.0,420000.0,372000.0,-48000.0,-11.428571428571432,88000.0,164000.0,76000.0,86.36363636363636,0.5670623064060744,3.6713631753515528,3.1043008689454785,547.4355875670711,1.1328804365769536,1.411800161901989,0.2789197253250355,24.6204026761909,1.0,0.6424176062237734,-0.3575823937762266,1.0,0.6601717033744157,-0.33982829662558434,1.0,0.0,-1.0,1.0,1.4297685178737758,0.4297685178737758,1.0,0.8857142857142857,-0.11428571428571432,1.0,1.8636363636363635,0.8636363636363635,1.0,0.0,-1.0,1.0,6.474355875670711,5.474355875670711,1.0,1.2462040267619092,0.24620402676190922
ablation_vs_reference,VOPD,thermal-only,ablation,B-2-v4-ablation,thermal-only,40,ga_seed,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_40\gen_60\vopd\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\vopd\metrics.json,baseline_normalized_v2,w_T=1.0;w_sigma=1.0;w_hot=0.6;w_makespan=0.0;w_H=0.0;w_congestion=0.0;w_D=0.0;w_L=0.0;w_E=0.0,1.6078291591964233,5.0,6.713874659876559,1.7138746598765593,34.27749319753119,True,True,True,,325.37271921261,324.00208787838,-1.3706313342299836,-0.4212496172226299,0.9870939912641029,0.7873020451145799,-0.199791946149523,-20.24041762159481,0.0,0.0,0.0,,8.93329e-05,0.0001026007,1.3267799999999995e-05,14.85208696907858,0.0,0.0,0.0,,1396000.0,944000.0,-452000.0,-32.37822349570201,252000.0,400000.0,148000.0,58.73015873015872,0.35802469135802467,3.2222222222222223,2.864197530864198,800.0,0.0007507385223064374,0.0008201401545012454,6.940163219480797e-05,9.244447984577974,52.22271921261,50.85208787838002,-1.3706313342299836,-2.624588215427559,89.3329,102.60069999999999,13.267799999999994,14.85208696907858,0.0,0.0,0.0,,1396000.0,944000.0,-452000.0,-32.37822349570201,252000.0,400000.0,148000.0,58.73015873015872,0.35802469135802467,3.2222222222222223,2.864197530864198,800.0,0.7507385223064373,0.8201401545012453,0.069401632194808,9.244447984577974,1.0,0.8102333354123713,-0.1897666645876287,1.0,0.7975958237840519,-0.20240417621594808,0.0,0.0,0.0,1.0,1.1485208696907858,0.14852086969078582,1.0,0.6762177650429799,-0.3237822349570201,1.0,1.5873015873015872,0.5873015873015872,0.0,0.0,0.0,1.0,9.0,8.0,1.0,1.0924444798457797,0.09244447984577975
ablation_vs_reference,HNN,thermal-only,ablation,B-2-v4-ablation,thermal-only,40,ga_seed,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_40\gen_60\hnn\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\hnn\metrics.json,baseline_normalized_v2,w_T=1.0;w_sigma=1.0;w_hot=0.6;w_makespan=0.0;w_H=0.0;w_congestion=0.0;w_D=0.0;w_L=0.0;w_E=0.0,1.3116528765522193,6.000000000000001,8.879667728227618,2.8796677282276173,47.994462137126945,True,True,True,,328.81757624162,326.25340209301,-2.564174148609993,-0.7798166320421407,2.454372247071413,1.3548716635511497,-1.0995005835202631,-44.79762940736478,16.0,0.0,-16.0,-100.0,0.000203177525,0.0005828309,0.000379653375,186.85795832979065,11.14198573637825,0.0,-11.14198573637825,-100.0,2195456.0,2039808.0,-155648.0,-7.0895522388059735,163840.0,278528.0,114688.0,70.0,0.3028095733610822,2.8647242455775235,2.5619146722164414,846.0481099656357,0.004651317011228462,0.006251196482841485,0.0015998794716130232,34.39626814837284,55.66757624162,53.103402093010004,-2.564174148609993,-4.606225601561009,203.177525,582.8308999999999,379.6533749999999,186.85795832979065,11.14198573637825,0.0,-11.14198573637825,-100.0,2195456.0,2039808.0,-155648.0,-7.0895522388059735,163840.0,278528.0,114688.0,70.0,0.3028095733610822,2.8647242455775235,2.5619146722164414,846.0481099656357,4.651317011228462,6.251196482841485,1.599879471613023,34.39626814837284,1.0,0.7596291706258672,-0.2403708293741328,1.0,0.5520237059263522,-0.4479762940736478,1.0,0.0,-1.0,1.0,2.8685795832979064,1.8685795832979064,1.0,0.9291044776119403,-0.07089552238805974,1.0,1.7,0.7,1.0,0.0,-1.0,1.0,9.460481099656358,8.460481099656358,1.0,1.3439626814837284,0.34396268148372844
ablation_vs_reference,GEMM,thermal-only,ablation,B-2-v4-ablation,thermal-only,41,ga_seed,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_41\gen_60\gemm\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\gemm\metrics.json,baseline_normalized_v2,w_T=1.0;w_sigma=1.0;w_hot=0.6;w_makespan=0.0;w_H=0.0;w_congestion=0.0;w_D=0.0;w_L=0.0;w_E=0.0,0.9699836211485028,6.000000000000001,9.352771451730218,3.3527714517302174,55.87952419550361,True,True,True,,328.08421735578,323.78023519576,-4.303982160020041,-1.3118528512917504,2.1434761400252804,0.8643178678434529,-1.2791582721818275,-59.67681413830624,6.0,0.0,-6.0,-100.0,0.000120405,0.0003562487,0.0002358437,195.8753374029318,1.8350526805555563,0.0,-1.8350526805555563,-100.0,104448.0,73728.0,-30720.0,-29.411764705882348,22528.0,32768.0,10240.0,45.45454545454546,0.9202539178734378,12.156119817496528,11.23586589962309,1220.952791549903,0.0015708734939939562,0.0027956629451652577,0.0012247894511713015,77.96868785768778,54.93421735578005,50.63023519576001,-4.303982160020041,-7.83479289810467,120.405,356.2487,235.84369999999998,195.87533740293173,1.8350526805555563,0.0,-1.8350526805555563,-100.0,104448.0,73728.0,-30720.0,-29.411764705882348,22528.0,32768.0,10240.0,45.45454545454546,0.9202539178734378,12.156119817496528,11.23586589962309,1220.952791549903,1.5708734939939561,2.7956629451652577,1.2247894511713016,77.96868785768778,1.0,0.5667517625315652,-0.43324823746843477,1.0,0.40323185861693756,-0.5967681413830624,1.0,0.0,-1.0,1.0,2.958753374029318,1.958753374029318,1.0,0.7058823529411765,-0.2941176470588235,1.0,1.4545454545454546,0.4545454545454546,1.0,0.0,-1.0,1.0,13.209527915499029,12.209527915499029,1.0,1.7796868785768778,0.7796868785768778
ablation_vs_reference,MPEG4,thermal-only,ablation,B-2-v4-ablation,thermal-only,41,ga_seed,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_41\gen_60\mpeg4\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\mpeg4\metrics.json,baseline_normalized_v2,w_T=1.0;w_sigma=1.0;w_hot=0.6;w_makespan=0.0;w_H=0.0;w_congestion=0.0;w_D=0.0;w_L=0.0;w_E=0.0,1.2582094360103753,6.000000000000001,8.669609238395736,2.6696092383957355,44.49348730659559,True,True,True,,327.5966387468,323.87936757721,-3.717271169589992,-1.1347098016054713,1.3003837749577485,0.8474749676302403,-0.45290880732750816,-34.82885714582403,2.0,0.0,-2.0,-100.0,0.0001220699,0.0001940116,7.19417e-05,58.934839792610624,0.07168423611111063,0.0,-0.07168423611111063,-100.0,420000.0,236000.0,-184000.0,-43.80952380952381,88000.0,164000.0,76000.0,86.36363636363636,0.5670623064060744,9.372961267509114,8.80589896110304,1552.8979552375886,0.0011328804365769536,0.0015159717846165792,0.00038309134803962567,33.81569101829955,54.44663874680003,50.72936757721004,-3.717271169589992,-6.827365756914549,122.06989999999999,194.0116,71.9417,58.934839792610624,0.07168423611111063,0.0,-0.07168423611111063,-100.0,420000.0,236000.0,-184000.0,-43.80952380952381,88000.0,164000.0,76000.0,86.36363636363636,0.5670623064060744,9.372961267509114,8.80589896110304,1552.8979552375886,1.1328804365769536,1.5159717846165792,0.38309134803962563,33.81569101829955,1.0,0.6064980074686157,-0.3935019925313843,1.0,0.6517114285417597,-0.3482885714582403,1.0,0.0,-1.0,1.0,1.5893483979261063,0.5893483979261063,1.0,0.5619047619047619,-0.4380952380952381,1.0,1.8636363636363635,0.8636363636363635,1.0,0.0,-1.0,1.0,16.528979552375887,15.528979552375887,1.0,1.3381569101829955,0.33815691018299554
ablation_vs_reference,VOPD,thermal-only,ablation,B-2-v4-ablation,thermal-only,41,ga_seed,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_41\gen_60\vopd\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\vopd\metrics.json,baseline_normalized_v2,w_T=1.0;w_sigma=1.0;w_hot=0.6;w_makespan=0.0;w_H=0.0;w_congestion=0.0;w_D=0.0;w_L=0.0;w_E=0.0,1.6075746714532753,5.0,6.967395216466712,1.967395216466712,39.34790432933424,True,True,True,,325.37271921261,324.00255387639,-1.3701653362199977,-0.4211063974680296,0.9870939912641029,0.7869871561053939,-0.20010683515870897,-20.272318232070884,0.0,0.0,0.0,,8.93329e-05,0.0001026507,1.3317799999999996e-05,14.90805738983061,0.0,0.0,0.0,,1396000.0,952000.0,-444000.0,-31.805157593123212,252000.0,414000.0,162000.0,64.28571428571428,0.35802469135802467,3.60082304526749,3.2427983539094654,905.7471264367817,0.0007507385223064374,0.0008207827775346102,7.00442552281728e-05,9.330046766879786,52.22271921261,50.852553876390004,-1.3701653362199977,-2.6236958873048333,89.3329,102.6507,13.317800000000005,14.908057389830631,0.0,0.0,0.0,,1396000.0,952000.0,-444000.0,-31.805157593123212,252000.0,414000.0,162000.0,64.28571428571428,0.35802469135802467,3.60082304526749,3.2427983539094654,905.7471264367817,0.7507385223064373,0.8207827775346102,0.07004425522817281,9.330046766879786,1.0,0.810297853773984,-0.189702146226016,1.0,0.7972768176792911,-0.20272318232070885,0.0,0.0,0.0,1.0,1.149080573898306,0.1490805738983061,1.0,0.6819484240687679,-0.3180515759312321,1.0,1.6428571428571428,0.6428571428571428,0.0,0.0,0.0,1.0,10.057471264367818,9.057471264367818,1.0,1.0933004676687978,0.09330046766879785
ablation_vs_reference,HNN,thermal-only,ablation,B-2-v4-ablation,thermal-only,41,ga_seed,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_41\gen_60\hnn\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\hnn\metrics.json,baseline_normalized_v2,w_T=1.0;w_sigma=1.0;w_hot=0.6;w_makespan=0.0;w_H=0.0;w_congestion=0.0;w_D=0.0;w_L=0.0;w_E=0.0,1.309534712268094,6.000000000000001,9.533833089154777,3.5338330891547765,58.8972181525796,True,True,True,,328.81757624162,326.46259767195,-2.3549785696699814,-0.7161960733934492,2.454372247071413,1.301541645775846,-1.152830601295567,-46.97048716514532,16.0,0.0,-16.0,-100.0,0.000203177525,0.0006220428,0.000418865275,206.1572878200972,11.14198573637825,0.0,-11.14198573637825,-100.0,2195456.0,1744896.0,-450560.0,-20.52238805970149,163840.0,344064.0,180224.0,110.00000000000001,0.3028095733610822,3.13111342351717,2.8283038501560878,934.020618556701,0.004651317011228462,0.0064603001362183304,0.0018089831249898684,38.891847634184295,55.66757624162,53.312597671950016,-2.3549785696699814,-4.230431300706206,203.177525,622.0428,418.86527500000005,206.15728782009722,11.14198573637825,0.0,-11.14198573637825,-100.0,2195456.0,1744896.0,-450560.0,-20.52238805970149,163840.0,344064.0,180224.0,110.00000000000001,0.3028095733610822,3.13111342351717,2.8283038501560878,934.020618556701,4.651317011228462,6.46030013621833,1.8089831249898678,38.89184763418427,1.0,0.7792395839195474,-0.2207604160804526,1.0,0.5302951283485468,-0.46970487165145325,1.0,0.0,-1.0,1.0,3.061572878200972,2.061572878200972,1.0,0.7947761194029851,-0.2052238805970149,1.0,2.1,1.1,1.0,0.0,-1.0,1.0,10.34020618556701,9.34020618556701,1.0,1.388918476341843,0.38891847634184296
ablation_vs_reference,GEMM,thermal-only,ablation,B-2-v4-ablation,thermal-only,42,ga_seed,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_42\gen_60\gemm\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\gemm\metrics.json,baseline_normalized_v2,w_T=1.0;w_sigma=1.0;w_hot=0.6;w_makespan=0.0;w_H=0.0;w_congestion=0.0;w_D=0.0;w_L=0.0;w_E=0.0,1.166108540420086,6.000000000000001,7.316525786126099,1.316525786126098,21.942096435434966,True,True,True,,328.08421735578,324.73286431618,-3.351353039600042,-1.021491697043686,2.1434761400252804,1.079161038399556,-1.0643151016257244,-49.65369484416896,6.0,0.0,-6.0,-100.0,0.000120405,0.0002665047,0.0001460997,121.34022673477017,1.8350526805555563,0.0,-1.8350526805555563,-100.0,104448.0,104448.0,0.0,0.0,22528.0,41984.0,19456.0,86.36363636363636,0.9202539178734378,4.843285062487602,3.9230311446141637,426.29877128691527,0.0015708734939939562,0.0023160692619399867,0.0007451957679460305,47.43830555389699,54.93421735578005,51.58286431618001,-3.351353039600042,-6.100665852568888,120.405,266.5047,146.0997,121.34022673477017,1.8350526805555563,0.0,-1.8350526805555563,-100.0,104448.0,104448.0,0.0,0.0,22528.0,41984.0,19456.0,86.36363636363636,0.9202539178734378,4.843285062487602,3.9230311446141637,426.29877128691527,1.5708734939939561,2.3160692619399867,0.7451957679460306,47.43830555389699,1.0,0.6626454888617757,-0.33735451113822434,1.0,0.5034630515583104,-0.4965369484416896,1.0,0.0,-1.0,1.0,2.2134022673477016,1.2134022673477016,1.0,1.0,0.0,1.0,1.8636363636363635,0.8636363636363635,1.0,0.0,-1.0,1.0,5.262987712869153,4.262987712869153,1.0,1.4743830555389699,0.47438305553896987
ablation_vs_reference,MPEG4,thermal-only,ablation,B-2-v4-ablation,thermal-only,42,ga_seed,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_42\gen_60\mpeg4\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\mpeg4\metrics.json,baseline_normalized_v2,w_T=1.0;w_sigma=1.0;w_hot=0.6;w_makespan=0.0;w_H=0.0;w_congestion=0.0;w_D=0.0;w_L=0.0;w_E=0.0,1.415922588345453,6.000000000000001,6.535477323931708,0.5354773239317074,8.924622065528464,True,True,True,,327.5966387468,324.69859318515,-2.898045561650008,-0.8846383689210868,1.3003837749577485,0.9397915083458096,-0.3605922666119389,-27.729680541704315,2.0,0.0,-2.0,-100.0,0.0001220699,0.0001745777,5.2507800000000006e-05,43.01453511471707,0.07168423611111063,0.0,-0.07168423611111063,-100.0,420000.0,520000.0,100000.0,23.809523809523814,88000.0,104000.0,16000.0,18.181818181818187,0.5670623064060744,4.1318768674104325,3.5648145610043582,628.6460095712283,0.0011328804365769536,0.0014128774386984312,0.0002799970021214776,24.71549451127433,54.44663874680003,51.548593185150025,-2.898045561650008,-5.322726302953518,122.06989999999999,174.5777,52.5078,43.01453511471707,0.07168423611111063,0.0,-0.07168423611111063,-100.0,420000.0,520000.0,100000.0,23.809523809523814,88000.0,104000.0,16000.0,18.181818181818187,0.5670623064060744,4.1318768674104325,3.5648145610043582,628.6460095712283,1.1328804365769536,1.4128774386984313,0.2799970021214777,24.71549451127433,1.0,0.6932193937624961,-0.3067806062375039,1.0,0.7227031945829568,-0.27729680541704316,1.0,0.0,-1.0,1.0,1.4301453511471707,0.4301453511471707,1.0,1.2380952380952381,0.23809523809523814,1.0,1.1818181818181819,0.18181818181818188,1.0,0.0,-1.0,1.0,7.286460095712283,6.286460095712283,1.0,1.2471549451127433,0.24715494511274327
