figure,workload,method,seed,metric_group,metric_name,metric_label,unit,reference_method,reference_metric,method_metric,delta_vs_reference,relative_change_pct_vs_reference,full_objective_comparable_score,valid,validity_notes,metrics_path
figure3,GEMM,Full-GA,40,thermal_safety,T_max_C,T_max,C,ReferenceMapping,54.93421735578005,53.20354868684001,-1.7306686689400408,-3.1504383829324634,3.7756299369185338,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\gemm\metrics.json
figure3,GEMM,Full-GA,40,thermal_safety,sigma_T_K,sigma_T,K,ReferenceMapping,2.1434761400252804,1.3099701471744862,-0.8335059928507942,-38.885713597957924,3.7756299369185338,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\gemm\metrics.json
figure3,GEMM,Full-GA,40,thermal_safety,N_hot,N_hot,count,ReferenceMapping,6.0,0.0,-6.0,-100.0,3.7756299369185338,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\gemm\metrics.json
figure3,GEMM,Full-GA,40,performance,makespan_us,makespan,us,ReferenceMapping,120.405,116.7588,-3.6462000000000074,-3.028279556496827,3.7756299369185338,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\gemm\metrics.json
figure3,GEMM,Full-GA,40,performance,DVFS_penalty_pct,DVFS,%,ReferenceMapping,1.8350526805555563,0.0,-1.8350526805555563,-100.0,3.7756299369185338,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\gemm\metrics.json
figure3,GEMM,Full-GA,40,communication_pressure,comm_cost,comm,byte-hop,ReferenceMapping,104448.0,68608.0,-35840.0,-34.31372549019608,3.7756299369185338,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\gemm\metrics.json
figure3,GEMM,Full-GA,40,communication_pressure,congestion_proxy,congestion proxy,byte,ReferenceMapping,22528.0,8192.0,-14336.0,-63.63636363636363,3.7756299369185338,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\gemm\metrics.json
figure3,GEMM,Full-GA,40,mapping_balance,load_imbalance,load imbalance,ratio,ReferenceMapping,0.9202539178734378,0.8059908748264233,-0.11426304304701451,-12.416469066609181,3.7756299369185338,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\gemm\metrics.json
figure3,GEMM,Full-GA,40,energy,total_PE_optical_energy_mJ,total energy,mJ,ReferenceMapping,1.5708734939939561,1.5161495975444554,-0.05472389644950071,-3.483660311204617,3.7756299369185338,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\gemm\metrics.json
figure3,MPEG4,Full-GA,40,thermal_safety,T_max_C,T_max,C,ReferenceMapping,54.44663874680003,52.05575244872,-2.3908862980800336,-4.391246830127882,4.242777663082553,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\mpeg4\metrics.json
figure3,MPEG4,Full-GA,40,thermal_safety,sigma_T_K,sigma_T,K,ReferenceMapping,1.3003837749577485,1.0802911596729816,-0.22009261528476687,-16.92520466059475,4.242777663082553,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\mpeg4\metrics.json
figure3,MPEG4,Full-GA,40,thermal_safety,N_hot,N_hot,count,ReferenceMapping,2.0,0.0,-2.0,-100.0,4.242777663082553,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\mpeg4\metrics.json
figure3,MPEG4,Full-GA,40,performance,makespan_us,makespan,us,ReferenceMapping,122.06989999999999,122.34759999999999,0.27769999999999584,0.22749260874301847,4.242777663082553,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\mpeg4\metrics.json
figure3,MPEG4,Full-GA,40,performance,DVFS_penalty_pct,DVFS,%,ReferenceMapping,0.07168423611111063,0.0,-0.07168423611111063,-100.0,4.242777663082553,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\mpeg4\metrics.json
figure3,MPEG4,Full-GA,40,communication_pressure,comm_cost,comm,byte-hop,ReferenceMapping,420000.0,400000.0,-20000.0,-4.761904761904767,4.242777663082553,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\mpeg4\metrics.json
figure3,MPEG4,Full-GA,40,communication_pressure,congestion_proxy,congestion proxy,byte,ReferenceMapping,88000.0,48000.0,-40000.0,-45.45454545454546,4.242777663082553,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\mpeg4\metrics.json
figure3,MPEG4,Full-GA,40,mapping_balance,load_imbalance,load imbalance,ratio,ReferenceMapping,0.5670623064060744,0.5670623064060744,0.0,0.0,4.242777663082553,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\mpeg4\metrics.json
figure3,MPEG4,Full-GA,40,energy,total_PE_optical_energy_mJ,total energy,mJ,ReferenceMapping,1.1328804365769536,1.1320264694293614,-0.0008539671475922272,-0.07538016546322357,4.242777663082553,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\mpeg4\metrics.json
figure3,VOPD,Full-GA,40,thermal_safety,T_max_C,T_max,C,ReferenceMapping,52.22271921261,52.37165727272003,0.14893806011002653,0.2851978264549304,4.535907040207907,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\vopd\metrics.json
figure3,VOPD,Full-GA,40,thermal_safety,sigma_T_K,sigma_T,K,ReferenceMapping,0.9870939912641029,0.9088410564189721,-0.07825293484513085,-7.927607252974733,4.535907040207907,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\vopd\metrics.json
figure3,VOPD,Full-GA,40,thermal_safety,N_hot,N_hot,count,ReferenceMapping,0.0,0.0,0.0,,4.535907040207907,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\vopd\metrics.json
figure3,VOPD,Full-GA,40,performance,makespan_us,makespan,us,ReferenceMapping,89.3329,88.51270000000001,-0.8201999999999856,-0.9181387820164644,4.535907040207907,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\vopd\metrics.json
figure3,VOPD,Full-GA,40,performance,DVFS_penalty_pct,DVFS,%,ReferenceMapping,0.0,0.0,0.0,,4.535907040207907,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\vopd\metrics.json
figure3,VOPD,Full-GA,40,communication_pressure,comm_cost,comm,byte-hop,ReferenceMapping,1396000.0,1138000.0,-258000.0,-18.481375358166186,4.535907040207907,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\vopd\metrics.json
figure3,VOPD,Full-GA,40,communication_pressure,congestion_proxy,congestion proxy,byte,ReferenceMapping,252000.0,138000.0,-114000.0,-45.238095238095234,4.535907040207907,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\vopd\metrics.json
figure3,VOPD,Full-GA,40,mapping_balance,load_imbalance,load imbalance,ratio,ReferenceMapping,0.35802469135802467,0.35802469135802467,0.0,0.0,4.535907040207907,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\vopd\metrics.json
figure3,VOPD,Full-GA,40,energy,total_PE_optical_energy_mJ,total energy,mJ,ReferenceMapping,0.7507385223064373,0.7449911268570046,-0.005747395449432702,-0.7655655436163644,4.535907040207907,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\vopd\metrics.json
figure3,HNN,Full-GA,40,thermal_safety,T_max_C,T_max,C,ReferenceMapping,55.66757624162,55.52869560405003,-0.1388806375699687,-0.24948209882027506,5.04699018190069,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\hnn\metrics.json
figure3,HNN,Full-GA,40,thermal_safety,sigma_T_K,sigma_T,K,ReferenceMapping,2.454372247071413,1.7455646610546751,-0.7088075860167378,-28.87938399981892,5.04699018190069,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\hnn\metrics.json
figure3,HNN,Full-GA,40,thermal_safety,N_hot,N_hot,count,ReferenceMapping,16.0,5.0,-11.0,-68.75,5.04699018190069,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\hnn\metrics.json
figure3,HNN,Full-GA,40,performance,makespan_us,makespan,us,ReferenceMapping,203.177525,246.09259999999998,42.91507499999997,21.121959724629956,5.04699018190069,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\hnn\metrics.json
figure3,HNN,Full-GA,40,performance,DVFS_penalty_pct,DVFS,%,ReferenceMapping,11.14198573637825,0.5917053333333313,-10.550280403044919,-94.68940862667387,5.04699018190069,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\hnn\metrics.json
figure3,HNN,Full-GA,40,communication_pressure,comm_cost,comm,byte-hop,ReferenceMapping,2195456.0,1736704.0,-458752.0,-20.895522388059707,5.04699018190069,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\hnn\metrics.json
figure3,HNN,Full-GA,40,communication_pressure,congestion_proxy,congestion proxy,byte,ReferenceMapping,163840.0,147456.0,-16384.0,-9.999999999999998,5.04699018190069,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\hnn\metrics.json
figure3,HNN,Full-GA,40,mapping_balance,load_imbalance,load imbalance,ratio,ReferenceMapping,0.3028095733610822,0.3881373569198751,0.08532778355879289,28.17869415807559,5.04699018190069,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\hnn\metrics.json
figure3,HNN,Full-GA,40,energy,total_PE_optical_energy_mJ,total energy,mJ,ReferenceMapping,4.651317011228462,4.500817049650222,-0.15049996157824008,-3.2356418884141203,5.04699018190069,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\hnn\metrics.json
figure3,GEMM,Full-GA,41,thermal_safety,T_max_C,T_max,C,ReferenceMapping,54.93421735578005,53.314869881670006,-1.619347474110043,-2.947793837895929,3.795969112228902,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\gemm\metrics.json
