workload,method,method_family,source_root,ablation,seed,selection_policy,run_ok,valid_for_cost,T_max_valid,makespan_valid,energy_valid,history_rows,history_schema,history_all_best_fitness_infinite,history_best_inf_gens,history_avg_inf_gens,history_worst_inf_gens,valid,validity_notes,metrics_path,history_path
GEMM,ReferenceMapping,reference_mapping,B-2-v4,,40,,True,True,True,True,True,60,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\gemm\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\gemm\history.json
GEMM,Full-GA,proposed,B-2-v4,,40,,True,True,True,True,True,60,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\gemm\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\gemm\history.json
MPEG4,ReferenceMapping,reference_mapping,B-2-v4,,40,,True,True,True,True,True,28,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\mpeg4\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\mpeg4\history.json
MPEG4,Full-GA,proposed,B-2-v4,,40,,True,True,True,True,True,28,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\mpeg4\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\mpeg4\history.json
VOPD,ReferenceMapping,reference_mapping,B-2-v4,,40,,True,True,True,True,True,24,ga,False,0,14,14,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\vopd\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\vopd\history.json
VOPD,Full-GA,proposed,B-2-v4,,40,,True,True,True,True,True,24,ga,False,0,14,14,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\vopd\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\vopd\history.json
HNN,ReferenceMapping,reference_mapping,B-2-v4,,40,,True,True,True,True,True,56,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\hnn\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\hnn\history.json
HNN,Full-GA,proposed,B-2-v4,,40,,True,True,True,True,True,56,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\hnn\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\hnn\history.json
GEMM,ReferenceMapping,reference_mapping,B-2-v4,,41,,True,True,True,True,True,29,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\gemm\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\gemm\history.json
GEMM,Full-GA,proposed,B-2-v4,,41,,True,True,True,True,True,29,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\gemm\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_41\gen_60\gemm\history.json
