benchmark,mapping_kind,requested_samples,valid_samples,invalid_samples,TR2_composite_cost,T_max_C,sigma_T_K,N_hot,makespan_us,DVFS_penalty_pct,comm_cost,congestion_proxy,load_imbalance,total_PE_optical_energy_mJ,run_ok,valid_for_cost,temperature_source,parsed_pe_count
GEMM,Original,3000,3000,0,6.000000000000001,54.93421735578005,2.1434761400252804,6.0,120.405,1.8350526805555563,104448.0,22528.0,0.9202539178734378,1.5708734939939561,True,True,vec,16
GEMM,RandomBest,3000,3000,0,4.046569270796039,53.29219034604,1.497511641703908,0.0,116.781,0.0,75776.0,10240.0,1.1868676849831383,1.5175235562656193,True,True,vec,16
GEMM,RandomP10,3000,3000,0,4.660018161066887,54.05955481393005,1.6068145756239418,1.0,116.6827,0.015754,76800.0,18432.0,1.7581829002182108,1.5179161690936305,True,True,vec,16
GEMM,RandomMedian,3000,3000,0,5.226566314496941,53.51512016193004,1.383388023029444,0.0,146.7629,0.0,113664.0,24576.0,2.431065264828407,1.677854908522571,True,True,vec,16
GEMM,RandomP90,3000,3000,0,5.912984938610217,54.149461626920015,1.455576386351508,1.0,196.2928,0.03501770833333313,67584.0,20480.0,3.3832572902201945,1.94308860487382,True,True,vec,16
MPEG4,Original,3000,3000,0,6.000000000000001,54.44663874680003,1.3003837749577485,2.0,122.06989999999999,0.07168423611111063,420000.0,88000.0,0.5670623064060744,1.1328804365769536,True,True,vec,16
MPEG4,RandomBest,3000,3000,0,4.441197410955547,52.69221510529002,1.0518870368247166,0.0,122.41389999999998,0.0,472000.0,40000.0,0.9837175516022039,1.1328174466224452,True,True,vec,16
MPEG4,RandomP10,3000,3000,0,4.833898391410855,52.71627787872001,1.1018145666459451,0.0,122.44369999999999,0.0,452000.0,72000.0,1.3126559030728324,1.1327123618452615,True,True,vec,16
MPEG4,RandomMedian,3000,3000,0,5.256811453120918,54.129441577579996,1.253925193158634,1.0,122.4427,0.0175515,428000.0,60000.0,0.9617883281708286,1.133795307319929,True,True,vec,16
MPEG4,RandomP90,3000,3000,0,5.970499856273806,54.14872075625004,1.3317552575731293,1.0,132.8456,0.0221412790697675,300000.0,68000.0,2.5406924152298456,1.191157048747281,True,True,vec,16
VOPD,Original,3243,3000,243,5.0,52.22271921261,0.9870939912641029,0.0,89.3329,0.0,1396000.0,252000.0,0.35802469135802467,0.7507385223064373,True,True,vec,16
VOPD,RandomBest,3243,3000,243,4.731106373006268,52.648808457270036,0.9608939772948969,0.0,90.9347,0.0,1374000.0,136000.0,0.35802469135802467,0.7592446288201142,True,True,vec,16
VOPD,RandomP10,3243,3000,243,5.148815268613549,52.86146696030005,0.9830845294320941,0.0,87.5287,0.0,1144000.0,144000.0,1.1975308641975309,0.7386030884361375,True,True,vec,16
VOPD,RandomMedian,3243,3000,243,5.528208748808112,53.59297008691004,1.028961401580294,0.0,87.787,0.0,1838000.0,192000.0,1.0054869684499315,0.7435001168231495,True,True,vec,16
VOPD,RandomP90,3243,3000,243,6.029117071317573,53.60430481264001,0.9935932748171402,0.0,89.60499999999999,0.0,2418000.0,256000.0,1.2908093278463648,0.7546030688317557,True,True,vec,16
HNN,Original,3000,3000,0,6.000000000000001,55.66757624162,2.454372247071413,16.0,203.177525,11.14198573637825,2195456.0,163840.0,0.3028095733610822,4.651317011228462,True,True,vec,16
HNN,RandomBest,3000,3000,0,5.538187698300438,57.84248783849,1.9979217004321885,11.0,218.495,8.887288685678863,1638400.0,114688.0,0.30697190426638915,4.716450449501696,True,True,vec,16
HNN,RandomP10,3000,3000,0,6.127662755478515,57.14628784629002,2.0899186069495563,12.0,258.3568,5.579898827687906,2170880.0,163840.0,0.5275754422476587,4.812655618451782,True,True,vec,16
HNN,RandomMedian,3000,3000,0,6.510668384336667,56.81673028620003,1.8480333104410054,10.0,296.6229,3.707761482313142,2252800.0,229376.0,0.7127991675338189,4.918649572913598,True,True,vec,16
HNN,RandomP90,3000,3000,0,6.996664373254697,58.10597158856001,1.57241419207229,11.0,330.026414,10.858494645744694,1957888.0,229376.0,0.7065556711758585,5.326034647190504,True,True,vec,16
