sample_id,sample_seed,valid_for_cost,failure_reason,mapping_csv,TR2_composite_cost,T1_pe_peak_temp_K,T3_temp_std_K,T5_over_throttle_count,P1_makespan_s,P3_dvfs_penalty_pct,C1_total_comm_cost,raw_congestion_cost,raw_load_imbalance,E7_pe_optical_comm_energy_J,run_ok,temperature_source,parsed_pe_count,assignment
0,0,True,,hnn\random\mappings\sample_000_seed_0.csv,6.331795827592118,331.86945109264,1.9399230821962985,12,0.0002488888,10.820453715542257,2293760.0,180224.0,0.3485952133194589,0.00491854347283422,True,vec,16,"{""1"": 12, ""2"": 13, ""3"": 1, ""4"": 8, ""5"": 15, ""6"": 12, ""7"": 9, ""8"": 15, ""9"": 11, ""10"": 6, ""11"": 4, ""12"": 9, ""13"": 4, ""14"": 3, ""15"": 8, ""16"": 4, ""17"": 9, ""18"": 3, ""19"": 2, ""20"": 10, ""21"": 15, ""22"": 3, ""23"": 11, ""24"": 13, ""25"": 10, ""26"": 6, ""27"": 15, ""28"": 14, ""29"": 0, ""30"": 2, ""31"": 8, ""32"": 1}"
1,1,True,,hnn\random\mappings\sample_001_seed_1.csv,7.469801931252237,330.3890402221,1.7433372556976257,9,0.000382869,2.9847222257638326,2768896.0,262144.0,1.0707596253902185,0.005344895701426745,True,vec,16,"{""1"": 4, ""2"": 2, ""3"": 8, ""4"": 3, ""5"": 15, ""6"": 14, ""7"": 15, ""8"": 12, ""9"": 6, ""10"": 3, ""11"": 15, ""12"": 0, ""13"": 12, ""14"": 13, ""15"": 0, ""16"": 14, ""17"": 8, ""18"": 7, ""19"": 3, ""20"": 10, ""21"": 0, ""22"": 0, ""23"": 0, ""24"": 0, ""25"": 12, ""26"": 6, ""27"": 13, ""28"": 0, ""29"": 15, ""30"": 7, ""31"": 7, ""32"": 14}"
2,2,True,,hnn\random\mappings\sample_002_seed_2.csv,6.09979331742136,330.91480039488,1.7079322926658749,11,0.000268057876,7.5596261822916695,2080768.0,155648.0,0.5608740894901144,0.0048902481856633985,True,vec,16,"{""1"": 1, ""2"": 2, ""3"": 2, ""4"": 11, ""5"": 5, ""6"": 9, ""7"": 8, ""8"": 6, ""9"": 1, ""10"": 5, ""11"": 13, ""12"": 12, ""13"": 11, ""14"": 14, ""15"": 8, ""16"": 1, ""17"": 0, ""18"": 11, ""19"": 14, ""20"": 10, ""21"": 12, ""22"": 13, ""23"": 5, ""24"": 5, ""25"": 7, ""26"": 7, ""27"": 0, ""28"": 5, ""29"": 4, ""30"": 11, ""31"": 10, ""32"": 5}"
3,3,True,,hnn\random\mappings\sample_003_seed_3.csv,6.909653979923656,331.77270606054,2.064295770377311,12,0.0003013431,8.809257525040062,2547712.0,212992.0,0.48803329864724243,0.005107266915794193,True,vec,16,"{""1"": 7, ""2"": 4, ""3"": 11, ""4"": 15, ""5"": 2, ""6"": 0, ""7"": 15, ""8"": 8, ""9"": 7, ""10"": 6, ""11"": 15, ""12"": 15, ""13"": 12, ""14"": 4, ""15"": 7, ""16"": 4, ""17"": 12, ""18"": 0, ""19"": 2, ""20"": 5, ""21"": 1, ""22"": 9, ""23"": 0, ""24"": 8, ""25"": 15, ""26"": 12, ""27"": 13, ""28"": 12, ""29"": 11, ""30"": 3, ""31"": 14, ""32"": 4}"
4,4,True,,hnn\random\mappings\sample_004_seed_4.csv,6.394808205672784,331.21238068551,1.8888924218303575,13,0.0002874187,8.655141006056425,1703936.0,172032.0,0.48595213319458896,0.005009816766099918,True,vec,16,"{""1"": 7, ""2"": 9, ""3"": 3, ""4"": 12, ""5"": 15, ""6"": 4, ""7"": 2, ""8"": 2, ""9"": 0, ""10"": 12, ""11"": 9, ""12"": 1, ""13"": 7, ""14"": 11, ""15"": 8, ""16"": 5, ""17"": 3, ""18"": 8, ""19"": 6, ""20"": 0, ""21"": 8, ""22"": 8, ""23"": 6, ""24"": 5, ""25"": 9, ""26"": 9, ""27"": 11, ""28"": 2, ""29"": 7, ""30"": 5, ""31"": 10, ""32"": 12}"
5,5,True,,hnn\random\mappings\sample_005_seed_5.csv,6.743033697356389,331.16509396689,2.1456088857749847,13,0.0002570987,12.192591856290969,1982464.0,229376.0,0.49427679500520294,0.00499956248553148,True,vec,16,"{""1"": 8, ""2"": 11, ""3"": 0, ""4"": 14, ""5"": 7, ""6"": 1, ""7"": 5, ""8"": 3, ""9"": 11, ""10"": 15, ""11"": 7, ""12"": 12, ""13"": 3, ""14"": 7, ""15"": 0, ""16"": 6, ""17"": 13, ""18"": 8, ""19"": 5, ""20"": 12, ""21"": 5, ""22"": 2, ""23"": 4, ""24"": 14, ""25"": 4, ""26"": 4, ""27"": 0, ""28"": 0, ""29"": 5, ""30"": 5, ""31"": 6, ""32"": 6}"
6,6,True,,hnn\random\mappings\sample_006_seed_6.csv,6.31914224099243,331.34564374673,1.9741344623211672,13,0.0002435248,8.5396575097854,2113536.0,188416.0,0.5150884495317378,0.004792420269435792,True,vec,16,"{""1"": 2, ""2"": 15, ""3"": 8, ""4"": 1, ""5"": 0, ""6"": 4, ""7"": 15, ""8"": 11, ""9"": 10, ""10"": 0, ""11"": 8, ""12"": 15, ""13"": 6, ""14"": 13, ""15"": 3, ""16"": 6, ""17"": 8, ""18"": 2, ""19"": 13, ""20"": 10, ""21"": 2, ""22"": 11, ""23"": 13, ""24"": 8, ""25"": 14, ""26"": 3, ""27"": 6, ""28"": 9, ""29"": 6, ""30"": 11, ""31"": 3, ""32"": 1}"
7,7,True,,hnn\random\mappings\sample_007_seed_7.csv,6.4394927641280235,330.08678324306,1.8095223028810383,8,0.0003181207,2.9069416427443877,1695744.0,180224.0,1.0332986472424557,0.0050102797002572275,True,vec,16,"{""1"": 10, ""2"": 4, ""3"": 12, ""4"": 1, ""5"": 2, ""6"": 3, ""7"": 11, ""8"": 1, ""9"": 6, ""10"": 1, ""11"": 2, ""12"": 13, ""13"": 13, ""14"": 2, ""15"": 7, ""16"": 2, ""17"": 13, ""18"": 1, ""19"": 3, ""20"": 7, ""21"": 1, ""22"": 12, ""23"": 1, ""24"": 7, ""25"": 1, ""26"": 4, ""27"": 9, ""28"": 13, ""29"": 9, ""30"": 5, ""31"": 4, ""32"": 3}"
8,8,True,,hnn\random\mappings\sample_008_seed_8.csv,6.898688502206148,330.75214899939,1.9903871310156234,12,0.0002973729,8.399266713129963,2662400.0,212992.0,0.6919875130072841,0.005082899979771777,True,vec,16,"{""1"": 7, ""2"": 11, ""3"": 12, ""4"": 4, ""5"": 6, ""6"": 1, ""7"": 2, ""8"": 4, ""9"": 7, ""10"": 6, ""11"": 12, ""12"": 0, ""13"": 14, ""14"": 15, ""15"": 14, ""16"": 12, ""17"": 15, ""18"": 6, ""19"": 12, ""20"": 2, ""21"": 15, ""22"": 7, ""23"": 0, ""24"": 8, ""25"": 13, ""26"": 15, ""27"": 12, ""28"": 3, ""29"": 2, ""30"": 12, ""31"": 8, ""32"": 3}"
9,9,True,,hnn\random\mappings\sample_009_seed_9.csv,6.564568277511593,331.76583705752,1.9083564310239587,13,0.0002493647,13.753010641684677,2269184.0,212992.0,0.2924037460978148,0.005024105997450906,True,vec,16,"{""1"": 14, ""2"": 11, ""3"": 8, ""4"": 4, ""5"": 5, ""6"": 0, ""7"": 10, ""8"": 14, ""9"": 2, ""10"": 10, ""11"": 1, ""12"": 12, ""13"": 5, ""14"": 14, ""15"": 13, ""16"": 5, ""17"": 5, ""18"": 7, ""19"": 1, ""20"": 3, ""21"": 4, ""22"": 2, ""23"": 12, ""24"": 3, ""25"": 9, ""26"": 6, ""27"": 7, ""28"": 13, ""29"": 6, ""30"": 12, ""31"": 2, ""32"": 8}"
