sample_id,sample_seed,valid_for_cost,failure_reason,mapping_csv,TR2_composite_cost,T1_pe_peak_temp_K,T3_temp_std_K,T5_over_throttle_count,P1_makespan_s,P3_dvfs_penalty_pct,C1_total_comm_cost,raw_congestion_cost,raw_load_imbalance,E7_pe_optical_comm_energy_J,run_ok,temperature_source,parsed_pe_count,assignment
10,3010,False,timeout after 60.0s,vopd\random\mappings\sample_010_seed_3010.csv,,,,,,,,,,,False,,0,"{""1"": 11, ""2"": 11, ""3"": 4, ""4"": 13, ""5"": 13, ""6"": 12, ""7"": 12, ""8"": 5, ""9"": 7, ""10"": 7, ""11"": 1, ""12"": 13}"
14,3014,False,timeout after 60.0s,vopd\random\mappings\sample_014_seed_3014.csv,,,,,,,,,,,False,,0,"{""1"": 3, ""2"": 7, ""3"": 10, ""4"": 12, ""5"": 0, ""6"": 11, ""7"": 13, ""8"": 4, ""9"": 9, ""10"": 4, ""11"": 3, ""12"": 15}"
49,3049,False,timeout after 60.0s,vopd\random\mappings\sample_049_seed_3049.csv,,,,,,,,,,,False,,0,"{""1"": 14, ""2"": 10, ""3"": 11, ""4"": 6, ""5"": 6, ""6"": 12, ""7"": 3, ""8"": 13, ""9"": 13, ""10"": 1, ""11"": 7, ""12"": 5}"
59,3059,False,timeout after 60.0s,vopd\random\mappings\sample_059_seed_3059.csv,,,,,,,,,,,False,,0,"{""1"": 1, ""2"": 9, ""3"": 10, ""4"": 1, ""5"": 6, ""6"": 8, ""7"": 13, ""8"": 0, ""9"": 5, ""10"": 0, ""11"": 8, ""12"": 6}"
62,3062,False,timeout after 60.0s,vopd\random\mappings\sample_062_seed_3062.csv,,,,,,,,,,,False,,0,"{""1"": 12, ""2"": 8, ""3"": 0, ""4"": 2, ""5"": 12, ""6"": 12, ""7"": 13, ""8"": 12, ""9"": 6, ""10"": 6, ""11"": 7, ""12"": 3}"
71,3071,False,timeout after 60.0s,vopd\random\mappings\sample_071_seed_3071.csv,,,,,,,,,,,False,,0,"{""1"": 0, ""2"": 14, ""3"": 7, ""4"": 13, ""5"": 3, ""6"": 0, ""7"": 3, ""8"": 8, ""9"": 8, ""10"": 6, ""11"": 6, ""12"": 6}"
91,3091,False,timeout after 60.0s,vopd\random\mappings\sample_091_seed_3091.csv,,,,,,,,,,,False,,0,"{""1"": 4, ""2"": 0, ""3"": 9, ""4"": 13, ""5"": 2, ""6"": 0, ""7"": 7, ""8"": 13, ""9"": 9, ""10"": 13, ""11"": 13, ""12"": 15}"
100,3100,False,timeout after 60.0s,vopd\random\mappings\sample_100_seed_3100.csv,,,,,,,,,,,False,,0,"{""1"": 15, ""2"": 7, ""3"": 15, ""4"": 4, ""5"": 1, ""6"": 12, ""7"": 6, ""8"": 14, ""9"": 10, ""10"": 14, ""11"": 5, ""12"": 9}"
102,3102,False,timeout after 60.0s,vopd\random\mappings\sample_102_seed_3102.csv,,,,,,,,,,,False,,0,"{""1"": 14, ""2"": 10, ""3"": 0, ""4"": 3, ""5"": 1, ""6"": 5, ""7"": 15, ""8"": 5, ""9"": 6, ""10"": 5, ""11"": 5, ""12"": 11}"
107,3107,False,timeout after 60.0s,vopd\random\mappings\sample_107_seed_3107.csv,,,,,,,,,,,False,,0,"{""1"": 6, ""2"": 5, ""3"": 4, ""4"": 8, ""5"": 9, ""6"": 11, ""7"": 3, ""8"": 2, ""9"": 11, ""10"": 11, ""11"": 14, ""12"": 15}"
110,3110,False,timeout after 60.0s,vopd\random\mappings\sample_110_seed_3110.csv,,,,,,,,,,,False,,0,"{""1"": 15, ""2"": 2, ""3"": 6, ""4"": 8, ""5"": 15, ""6"": 4, ""7"": 14, ""8"": 4, ""9"": 4, ""10"": 12, ""11"": 15, ""12"": 6}"
114,3114,False,timeout after 60.0s,vopd\random\mappings\sample_114_seed_3114.csv,,,,,,,,,,,False,,0,"{""1"": 7, ""2"": 8, ""3"": 15, ""4"": 9, ""5"": 10, ""6"": 4, ""7"": 14, ""8"": 7, ""9"": 5, ""10"": 5, ""11"": 13, ""12"": 13}"
117,3117,False,timeout after 60.0s,vopd\random\mappings\sample_117_seed_3117.csv,,,,,,,,,,,False,,0,"{""1"": 14, ""2"": 3, ""3"": 13, ""4"": 11, ""5"": 13, ""6"": 8, ""7"": 9, ""8"": 7, ""9"": 11, ""10"": 7, ""11"": 15, ""12"": 3}"
169,3169,False,timeout after 60.0s,vopd\random\mappings\sample_169_seed_3169.csv,,,,,,,,,,,False,,0,"{""1"": 13, ""2"": 2, ""3"": 0, ""4"": 8, ""5"": 6, ""6"": 10, ""7"": 10, ""8"": 7, ""9"": 7, ""10"": 11, ""11"": 0, ""12"": 15}"
171,3171,False,timeout after 60.0s,vopd\random\mappings\sample_171_seed_3171.csv,,,,,,,,,,,False,,0,"{""1"": 13, ""2"": 1, ""3"": 9, ""4"": 12, ""5"": 11, ""6"": 5, ""7"": 10, ""8"": 1, ""9"": 6, ""10"": 1, ""11"": 10, ""12"": 15}"
