sample_id,sample_seed,valid_for_cost,failure_reason,mapping_csv,TR2_composite_cost,T1_pe_peak_temp_K,T3_temp_std_K,T5_over_throttle_count,P1_makespan_s,P3_dvfs_penalty_pct,C1_total_comm_cost,raw_congestion_cost,raw_load_imbalance,E7_pe_optical_comm_energy_J,run_ok,temperature_source,parsed_pe_count,assignment
3,3,False,timeout after 60.0s,vopd\random\mappings\sample_003_seed_3.csv,,,,,,,,,,,False,,0,"{""1"": 7, ""2"": 4, ""3"": 15, ""4"": 2, ""5"": 15, ""6"": 8, ""7"": 7, ""8"": 6, ""9"": 15, ""10"": 15, ""11"": 11, ""12"": 0}"
16,16,False,timeout after 60.0s,vopd\random\mappings\sample_016_seed_16.csv,,,,,,,,,,,False,,0,"{""1"": 11, ""2"": 15, ""3"": 9, ""4"": 13, ""5"": 14, ""6"": 0, ""7"": 13, ""8"": 8, ""9"": 7, ""10"": 7, ""11"": 15, ""12"": 7}"
21,21,False,timeout after 60.0s,vopd\random\mappings\sample_021_seed_21.csv,,,,,,,,,,,False,,0,"{""1"": 5, ""2"": 13, ""3"": 9, ""4"": 15, ""5"": 15, ""6"": 5, ""7"": 7, ""8"": 0, ""9"": 0, ""10"": 11, ""11"": 13, ""12"": 6}"
25,25,False,timeout after 60.0s,vopd\random\mappings\sample_025_seed_25.csv,,,,,,,,,,,False,,0,"{""1"": 12, ""2"": 0, ""3"": 9, ""4"": 15, ""5"": 8, ""6"": 1, ""7"": 9, ""8"": 13, ""9"": 3, ""10"": 3, ""11"": 6, ""12"": 1}"
32,32,False,timeout after 60.0s,vopd\random\mappings\sample_032_seed_32.csv,,,,,,,,,,,False,,0,"{""1"": 2, ""2"": 6, ""3"": 9, ""4"": 7, ""5"": 0, ""6"": 1, ""7"": 3, ""8"": 10, ""9"": 10, ""10"": 1, ""11"": 4, ""12"": 15}"
51,51,False,timeout after 60.0s,vopd\random\mappings\sample_051_seed_51.csv,,,,,,,,,,,False,,0,"{""1"": 7, ""2"": 5, ""3"": 7, ""4"": 8, ""5"": 14, ""6"": 10, ""7"": 11, ""8"": 12, ""9"": 8, ""10"": 12, ""11"": 7, ""12"": 12}"
55,55,False,timeout after 60.0s,vopd\random\mappings\sample_055_seed_55.csv,,,,,,,,,,,False,,0,"{""1"": 2, ""2"": 6, ""3"": 9, ""4"": 2, ""5"": 9, ""6"": 2, ""7"": 11, ""8"": 15, ""9"": 12, ""10"": 12, ""11"": 4, ""12"": 5}"
92,92,False,timeout after 60.0s,vopd\random\mappings\sample_092_seed_92.csv,,,,,,,,,,,False,,0,"{""1"": 13, ""2"": 8, ""3"": 15, ""4"": 5, ""5"": 10, ""6"": 1, ""7"": 1, ""8"": 0, ""9"": 5, ""10"": 5, ""11"": 3, ""12"": 2}"
104,104,False,timeout after 60.0s,vopd\random\mappings\sample_104_seed_104.csv,,,,,,,,,,,False,,0,"{""1"": 0, ""2"": 6, ""3"": 12, ""4"": 10, ""5"": 4, ""6"": 0, ""7"": 5, ""8"": 3, ""9"": 4, ""10"": 3, ""11"": 7, ""12"": 0}"
115,115,False,timeout after 60.0s,vopd\random\mappings\sample_115_seed_115.csv,,,,,,,,,,,False,,0,"{""1"": 9, ""2"": 6, ""3"": 3, ""4"": 10, ""5"": 9, ""6"": 10, ""7"": 15, ""8"": 1, ""9"": 4, ""10"": 4, ""11"": 3, ""12"": 9}"
135,135,False,timeout after 60.0s,vopd\random\mappings\sample_135_seed_135.csv,,,,,,,,,,,False,,0,"{""1"": 11, ""2"": 8, ""3"": 9, ""4"": 3, ""5"": 9, ""6"": 0, ""7"": 4, ""8"": 11, ""9"": 8, ""10"": 11, ""11"": 15, ""12"": 14}"
136,136,False,timeout after 60.0s,vopd\random\mappings\sample_136_seed_136.csv,,,,,,,,,,,False,,0,"{""1"": 13, ""2"": 1, ""3"": 15, ""4"": 6, ""5"": 4, ""6"": 5, ""7"": 15, ""8"": 1, ""9"": 5, ""10"": 1, ""11"": 13, ""12"": 13}"
143,143,False,timeout after 60.0s,vopd\random\mappings\sample_143_seed_143.csv,,,,,,,,,,,False,,0,"{""1"": 5, ""2"": 1, ""3"": 7, ""4"": 4, ""5"": 2, ""6"": 13, ""7"": 15, ""8"": 4, ""9"": 4, ""10"": 2, ""11"": 0, ""12"": 7}"
153,153,False,timeout after 60.0s,vopd\random\mappings\sample_153_seed_153.csv,,,,,,,,,,,False,,0,"{""1"": 15, ""2"": 2, ""3"": 8, ""4"": 13, ""5"": 13, ""6"": 7, ""7"": 10, ""8"": 6, ""9"": 7, ""10"": 7, ""11"": 1, ""12"": 10}"
177,177,False,timeout after 60.0s,vopd\random\mappings\sample_177_seed_177.csv,,,,,,,,,,,False,,0,"{""1"": 6, ""2"": 15, ""3"": 6, ""4"": 12, ""5"": 13, ""6"": 9, ""7"": 8, ""8"": 2, ""9"": 3, ""10"": 3, ""11"": 13, ""12"": 1}"
189,189,False,timeout after 60.0s,vopd\random\mappings\sample_189_seed_189.csv,,,,,,,,,,,False,,0,"{""1"": 15, ""2"": 8, ""3"": 3, ""4"": 12, ""5"": 0, ""6"": 1, ""7"": 4, ""8"": 6, ""9"": 9, ""10"": 9, ""11"": 4, ""12"": 0}"
193,193,False,timeout after 60.0s,vopd\random\mappings\sample_193_seed_193.csv,,,,,,,,,,,False,,0,"{""1"": 14, ""2"": 5, ""3"": 8, ""4"": 7, ""5"": 9, ""6"": 4, ""7"": 14, ""8"": 6, ""9"": 6, ""10"": 15, ""11"": 9, ""12"": 0}"
200,200,False,timeout after 60.0s,vopd\random\mappings\sample_200_seed_200.csv,,,,,,,,,,,False,,0,"{""1"": 1, ""2"": 6, ""3"": 4, ""4"": 8, ""5"": 14, ""6"": 5, ""7"": 0, ""8"": 14, ""9"": 8, ""10"": 14, ""11"": 0, ""12"": 0}"
233,233,False,timeout after 60.0s,vopd\random\mappings\sample_233_seed_233.csv,,,,,,,,,,,False,,0,"{""1"": 5, ""2"": 7, ""3"": 6, ""4"": 2, ""5"": 8, ""6"": 7, ""7"": 0, ""8"": 2, ""9"": 7, ""10"": 7, ""11"": 15, ""12"": 3}"
261,261,False,timeout after 60.0s,vopd\random\mappings\sample_261_seed_261.csv,,,,,,,,,,,False,,0,"{""1"": 13, ""2"": 0, ""3"": 1, ""4"": 8, ""5"": 8, ""6"": 12, ""7"": 14, ""8"": 13, ""9"": 7, ""10"": 7, ""11"": 5, ""12"": 5}"
277,277,False,timeout after 60.0s,vopd\random\mappings\sample_277_seed_277.csv,,,,,,,,,,,False,,0,"{""1"": 2, ""2"": 5, ""3"": 1, ""4"": 5, ""5"": 4, ""6"": 15, ""7"": 9, ""8"": 6, ""9"": 7, ""10"": 7, ""11"": 6, ""12"": 15}"
288,288,False,timeout after 60.0s,vopd\random\mappings\sample_288_seed_288.csv,,,,,,,,,,,False,,0,"{""1"": 9, ""2"": 15, ""3"": 15, ""4"": 1, ""5"": 0, ""6"": 14, ""7"": 14, ""8"": 5, ""9"": 15, ""10"": 5, ""11"": 15, ""12"": 13}"
294,294,False,timeout after 60.0s,vopd\random\mappings\sample_294_seed_294.csv,,,,,,,,,,,False,,0,"{""1"": 5, ""2"": 1, ""3"": 6, ""4"": 2, ""5"": 12, ""6"": 12, ""7"": 14, ""8"": 9, ""9"": 7, ""10"": 7, ""11"": 15, ""12"": 13}"
322,322,False,timeout after 60.0s,vopd\random\mappings\sample_322_seed_322.csv,,,,,,,,,,,False,,0,"{""1"": 13, ""2"": 4, ""3"": 7, ""4"": 9, ""5"": 4, ""6"": 9, ""7"": 5, ""8"": 7, ""9"": 7, ""10"": 6, ""11"": 2, ""12"": 10}"
324,324,False,timeout after 60.0s,vopd\random\mappings\sample_324_seed_324.csv,,,,,,,,,,,False,,0,"{""1"": 5, ""2"": 15, ""3"": 13, ""4"": 10, ""5"": 0, ""6"": 8, ""7"": 5, ""8"": 6, ""9"": 11, ""10"": 11, ""11"": 2, ""12"": 2}"
333,333,False,timeout after 60.0s,vopd\random\mappings\sample_333_seed_333.csv,,,,,,,,,,,False,,0,"{""1"": 11, ""2"": 11, ""3"": 12, ""4"": 2, ""5"": 10, ""6"": 13, ""7"": 8, ""8"": 7, ""9"": 10, ""10"": 7, ""11"": 6, ""12"": 9}"
343,343,False,timeout after 60.0s,vopd\random\mappings\sample_343_seed_343.csv,,,,,,,,,,,False,,0,"{""1"": 6, ""2"": 15, ""3"": 14, ""4"": 2, ""5"": 13, ""6"": 0, ""7"": 8, ""8"": 9, ""9"": 5, ""10"": 5, ""11"": 5, ""12"": 10}"
344,344,False,timeout after 60.0s,vopd\random\mappings\sample_344_seed_344.csv,,,,,,,,,,,False,,0,"{""1"": 12, ""2"": 12, ""3"": 9, ""4"": 10, ""5"": 12, ""6"": 13, ""7"": 8, ""8"": 10, ""9"": 13, ""10"": 13, ""11"": 3, ""12"": 9}"
