sample_id,sample_seed,valid_for_cost,failure_reason,mapping_csv,TR2_composite_cost,T1_pe_peak_temp_K,T3_temp_std_K,T5_over_throttle_count,P1_makespan_s,P3_dvfs_penalty_pct,C1_total_comm_cost,raw_congestion_cost,raw_load_imbalance,E7_pe_optical_comm_energy_J,run_ok,temperature_source,parsed_pe_count,assignment
0,0,True,,vopd\random\mappings\sample_000_seed_0.csv,5.6490001122572115,325.50933719626,1.0145394050218561,0,8.88309e-05,0.0,1530000.0,328000.0,1.0054869684499315,0.0007474830016227655,True,vec,16,"{""1"": 12, ""2"": 13, ""3"": 8, ""4"": 15, ""5"": 9, ""6"": 15, ""7"": 11, ""8"": 6, ""9"": 4, ""10"": 9, ""11"": 1, ""12"": 12}"
1,1,True,,vopd\random\mappings\sample_001_seed_1.csv,5.551891159182045,326.50344163545,1.1202504332283405,0,8.68028e-05,0.0,1576000.0,144000.0,1.345679012345679,0.000737419595226789,True,vec,16,"{""1"": 4, ""2"": 2, ""3"": 3, ""4"": 15, ""5"": 15, ""6"": 12, ""7"": 6, ""8"": 3, ""9"": 15, ""10"": 0, ""11"": 8, ""12"": 14}"
2,2,True,,vopd\random\mappings\sample_002_seed_2.csv,5.444517129873916,326.59543341366,0.967443193602114,0,8.86789e-05,0.0,1556000.0,208000.0,1.0438957475994513,0.0007464712068359841,True,vec,16,"{""1"": 1, ""2"": 2, ""3"": 11, ""4"": 5, ""5"": 8, ""6"": 6, ""7"": 1, ""8"": 5, ""9"": 13, ""10"": 12, ""11"": 2, ""12"": 9}"
3,3,False,timeout after 60.0s,vopd\random\mappings\sample_003_seed_3.csv,,,,,,,,,,,False,,0,"{""1"": 7, ""2"": 4, ""3"": 15, ""4"": 2, ""5"": 15, ""6"": 8, ""7"": 7, ""8"": 6, ""9"": 15, ""10"": 15, ""11"": 11, ""12"": 0}"
4,4,True,,vopd\random\mappings\sample_004_seed_4.csv,5.442224655514444,325.97255671645,1.0527406065706124,0,8.87248e-05,0.0,1384000.0,208000.0,1.1262002743484225,0.000746806768191444,True,vec,16,"{""1"": 7, ""2"": 9, ""3"": 12, ""4"": 15, ""5"": 2, ""6"": 2, ""7"": 0, ""8"": 12, ""9"": 9, ""10"": 1, ""11"": 3, ""12"": 4}"
5,5,True,,vopd\random\mappings\sample_005_seed_5.csv,5.220170432133851,325.93504188837,0.9911476393831761,0,8.79309e-05,0.0,1542000.0,196000.0,0.8518518518518519,0.0007430835135860454,True,vec,16,"{""1"": 8, ""2"": 11, ""3"": 14, ""4"": 7, ""5"": 5, ""6"": 3, ""7"": 11, ""8"": 15, ""9"": 7, ""10"": 12, ""11"": 0, ""12"": 1}"
6,6,True,,vopd\random\mappings\sample_006_seed_6.csv,5.886684408800381,326.63067254236,1.0469500824466171,0,8.97969e-05,0.0,1708000.0,222000.0,1.4993141289437586,0.0007537922857483758,True,vec,16,"{""1"": 2, ""2"": 15, ""3"": 1, ""4"": 0, ""5"": 15, ""6"": 11, ""7"": 10, ""8"": 0, ""9"": 8, ""10"": 15, ""11"": 8, ""12"": 4}"
7,7,True,,vopd\random\mappings\sample_007_seed_7.csv,5.590799212916907,326.36770202875,1.0026420309173656,0,8.86547e-05,0.0,1396000.0,204000.0,1.4005486968449932,0.0007467724645896728,True,vec,16,"{""1"": 10, ""2"": 4, ""3"": 1, ""4"": 2, ""5"": 11, ""6"": 1, ""7"": 6, ""8"": 1, ""9"": 2, ""10"": 13, ""11"": 12, ""12"": 3}"
8,8,True,,vopd\random\mappings\sample_008_seed_8.csv,5.8247291642617975,325.44231188812,0.95541266126251,0,8.7791e-05,0.0,1736000.0,346000.0,1.2798353909465021,0.0007423705214372437,True,vec,16,"{""1"": 7, ""2"": 11, ""3"": 4, ""4"": 6, ""5"": 2, ""6"": 4, ""7"": 7, ""8"": 6, ""9"": 12, ""10"": 0, ""11"": 12, ""12"": 1}"
9,9,True,,vopd\random\mappings\sample_009_seed_9.csv,5.074666114277135,325.7010619222,0.9345195452166676,0,8.86087e-05,0.0,1386000.0,188000.0,0.8518518518518519,0.0007462001501585166,True,vec,16,"{""1"": 14, ""2"": 11, ""3"": 4, ""4"": 5, ""5"": 10, ""6"": 14, ""7"": 2, ""8"": 10, ""9"": 1, ""10"": 12, ""11"": 8, ""12"": 0}"
10,10,True,,vopd\random\mappings\sample_010_seed_10.csv,5.357464648231919,325.72389786455,0.9671122395203305,0,8.81809e-05,0.0,1992000.0,158000.0,1.1426611796982167,0.0007456098725949004,True,vec,16,"{""1"": 1, ""2"": 13, ""3"": 0, ""4"": 6, ""5"": 15, ""6"": 8, ""7"": 5, ""8"": 1, ""9"": 15, ""10"": 10, ""11"": 15, ""12"": 14}"
11,11,True,,vopd\random\mappings\sample_011_seed_11.csv,5.644367801619794,325.44964496431,0.9646885253984433,0,8.62709e-05,0.0,1440000.0,196000.0,1.8834019204389574,0.0007333034567063919,True,vec,16,"{""1"": 14, ""2"": 14, ""3"": 6, ""4"": 5, ""5"": 5, ""6"": 3, ""7"": 14, ""8"": 9, ""9"": 4, ""10"": 2, ""11"": 14, ""12"": 15}"
12,12,True,,vopd\random\mappings\sample_012_seed_12.csv,5.451827639236547,325.55090826276,1.0273048631559718,0,9.00008e-05,0.0,1494000.0,208000.0,1.1975308641975309,0.0007546799431489841,True,vec,16,"{""1"": 15, ""2"": 8, ""3"": 4, ""4"": 12, ""5"": 11, ""6"": 15, ""7"": 8, ""8"": 14, ""9"": 7, ""10"": 0, ""11"": 11, ""12"": 0}"
13,13,True,,vopd\random\mappings\sample_013_seed_13.csv,5.400629208397806,325.55917432562,0.9440173542222834,0,8.77448e-05,0.0,1166000.0,260000.0,1.2359396433470509,0.0007402967510822287,True,vec,16,"{""1"": 8, ""2"": 9, ""3"": 7, ""4"": 4, ""5"": 5, ""6"": 4, ""7"": 2, ""8"": 6, ""9"": 9, ""10"": 0, ""11"": 5, ""12"": 7}"
14,14,True,,vopd\random\mappings\sample_014_seed_14.csv,5.6794763001064466,325.68364002208,0.9711963148854301,0,9.57427e-05,0.0,1620000.0,196000.0,1.4938271604938271,0.0007857551147862145,True,vec,16,"{""1"": 3, ""2"": 7, ""3"": 8, ""4"": 9, ""5"": 14, ""6"": 9, ""7"": 14, ""8"": 12, ""9"": 12, ""10"": 3, ""11"": 8, ""12"": 2}"
15,15,True,,vopd\random\mappings\sample_015_seed_15.csv,5.493583362974114,326.7529314438,1.0403602351963963,0,8.82287e-05,0.0,1318000.0,224000.0,1.0164609053497942,0.0007442392023180161,True,vec,16,"{""1"": 6, ""2"": 0, ""3"": 5, ""4"": 7, ""5"": 1, ""6"": 4, ""7"": 11, ""8"": 7, ""9"": 3, ""10"": 10, ""11"": 1, ""12"": 0}"
16,16,False,timeout after 60.0s,vopd\random\mappings\sample_016_seed_16.csv,,,,,,,,,,,False,,0,"{""1"": 11, ""2"": 15, ""3"": 9, ""4"": 13, ""5"": 14, ""6"": 0, ""7"": 13, ""8"": 8, ""9"": 7, ""10"": 7, ""11"": 15, ""12"": 7}"
17,17,True,,vopd\random\mappings\sample_017_seed_17.csv,5.799650150748557,327.52854272563,1.0410424490451153,1,8.8485317e-05,0.055198125,1656000.0,256000.0,0.9615912208504801,0.0007468474537260214,True,vec,16,"{""1"": 13, ""2"": 9, ""3"": 9, ""4"": 5, ""5"": 3, ""6"": 0, ""7"": 7, ""8"": 12, ""9"": 13, ""10"": 8, ""11"": 11, ""12"": 8}"
18,18,True,,vopd\random\mappings\sample_018_seed_18.csv,5.814038925499692,326.61234589238,1.037244198030406,0,8.97149e-05,0.0,1396000.0,222000.0,1.5541838134430728,0.0007531513087636381,True,vec,16,"{""1"": 5, ""2"": 3, ""3"": 10, ""4"": 7, ""5"": 15, ""6"": 15, ""7"": 5, ""8"": 15, ""9"": 9, ""10"": 14, ""11"": 14, ""12"": 6}"
19,19,True,,vopd\random\mappings\sample_019_seed_19.csv,5.7502413155363366,325.80623964112,1.004467125233595,0,9.0093e-05,0.0,2372000.0,278000.0,0.906721536351166,0.0007567701302671868,True,vec,16,"{""1"": 1, ""2"": 3, ""3"": 12, ""4"": 11, ""5"": 4, ""6"": 8, ""7"": 3, ""8"": 8, ""9"": 13, ""10"": 10, ""11"": 6, ""12"": 9}"
20,20,True,,vopd\random\mappings\sample_020_seed_20.csv,5.363377786500631,325.73678666886,0.9662641881109825,0,8.65668e-05,0.0,1398000.0,216000.0,1.2194787379972565,0.0007348704482693398,True,vec,16,"{""1"": 4, ""2"": 8, ""3"": 10, ""4"": 5, ""5"": 13, ""6"": 13, ""7"": 2, ""8"": 3, ""9"": 4, ""10"": 10, ""11"": 3, ""12"": 0}"
21,21,False,timeout after 60.0s,vopd\random\mappings\sample_021_seed_21.csv,,,,,,,,,,,False,,0,"{""1"": 5, ""2"": 13, ""3"": 9, ""4"": 15, ""5"": 15, ""6"": 5, ""7"": 7, ""8"": 0, ""9"": 0, ""10"": 11, ""11"": 13, ""12"": 6}"
