pe,P_proxy_W,T_proxy_K
0,5.25774647887324,332.05587669362865
1,5.25774647887324,331.6338912160662
2,3.2746478873239435,329.8289758324354
3,0.3,326.66808106282656
4,0.3,325.9125353920373
5,0.3,326.425357023776
6,1.787323943661972,327.77875336710247
7,5.25774647887324,331.97277831152866
8,3.2746478873239435,329.5877427482382
9,0.3,326.2312097788318
10,2.2830985915492956,328.56915950286924
11,3.2746478873239435,329.2971022696152
12,5.25774647887324,331.7411129065859
13,0.3,325.7689563191054
14,3.2746478873239435,329.53833535381233
15,0.3,326.7174884572524
