task_id,pe_id,start_time_proxy_ns,finish_time_proxy_ns,duration_proxy_ns,data_ready_time_proxy_ns,priority_bottom_level_ns
1,6,0.0,15000.0,15000.0,0.0,115450.56
5,12,15327.68,65327.68,50000.0,15327.68,100122.88
4,0,15245.76,65245.76,50000.0,15245.76,100112.64000000001
2,1,15163.84,65163.84,50000.0,15163.84,100081.92
3,7,15081.92,65081.92,50000.0,15081.92,100030.72
6,8,65225.28,95225.28,30000.0,65225.28,50020.479999999996
9,2,65430.08,95430.08,30000.0,65430.08,50020.479999999996
7,11,65102.4,95102.4,30000.0,65102.4,50010.240000000005
8,14,65348.16,95348.16,30000.0,65348.16,50010.240000000005
10,10,95450.56,115450.56,20000.0,95450.56,20000.0
