pe,P_proxy_W,T_proxy_K
0,3.1387096774193552,328.7170042825783
1,2.570967741935484,328.72236077845207
2,1.7193548387096778,328.6931648008068
3,2.570967741935484,328.69263968575916
4,2.2870967741935484,328.7005317976833
5,2.854838709677419,328.69345131119513
6,2.570967741935484,328.67916690764224
7,1.7193548387096778,328.71207757319644
8,3.1387096774193557,328.71760512243327
9,2.570967741935484,328.67313124586957
10,2.287096774193549,328.6739873260983
11,1.7193548387096778,328.64877720007763
12,2.570967741935484,328.7430305566499
13,2.570967741935484,328.69587776417166
14,3.1387096774193557,328.7367972877171
15,2.570967741935484,328.7288260420683
