task_id,pe_id,start_time_proxy_ns,finish_time_proxy_ns,duration_proxy_ns,data_ready_time_proxy_ns,priority_bottom_level_ns
1,4,0.0,20000.0,20000.0,0.0,132703.36
4,0,0.0,20000.0,20000.0,0.0,132293.76
2,10,0.0,20000.0,20000.0,0.0,131884.15999999997
3,4,20000.0,40000.0,20000.0,0.0,131720.32
6,15,20409.6,50409.6,30000.0,20409.6,112293.76
12,0,20000.0,50000.0,30000.0,20000.0,112293.76
11,13,20327.68,50327.68,30000.0,20327.68,111966.07999999999
7,9,20081.92,50081.92,30000.0,20081.92,111802.23999999999
5,1,20163.84,50163.84,30000.0,20163.84,111638.40000000001
9,5,40081.92,70081.92,30000.0,40081.92,111638.40000000001
8,5,70081.92,100081.92,30000.0,20163.84,111310.72
10,4,40000.0,70000.0,30000.0,40000.0,110655.36
16,2,51064.96,101064.95999999999,50000.0,51064.96,81638.4
17,8,50245.759999999995,100245.76,50000.0,50245.759999999995,81638.4
25,8,100245.76,150245.76,50000.0,50655.36,81638.4
28,7,50655.36,100655.36,50000.0,50655.36,81638.4
18,14,50409.6,100409.6,50000.0,50409.6,81310.72
14,12,50819.2,100819.2,50000.0,50819.2,80983.04000000001
19,13,100409.59999999999,150409.59999999998,50000.0,100409.59999999999,80983.04000000001
20,0,100409.59999999999,150409.59999999998,50000.0,100409.59999999999,80983.04000000001
22,15,70737.28,120737.28,50000.0,70737.28,80983.04000000001
27,11,50819.2,100819.2,50000.0,50819.2,80983.04000000001
15,14,100409.6,150409.6,50000.0,50573.439999999995,80655.36
13,1,50163.84,100163.84,50000.0,50163.84,80327.68
21,9,70245.76,120245.76,50000.0,70245.76,80327.68
26,10,50655.36,100655.36,50000.0,50655.36,80327.68
23,3,70655.36,120655.36,50000.0,70655.36,80000.0
24,6,70327.68,120327.68,50000.0,70327.68,80000.0
31,3,151884.16,181884.16,30000.0,151884.16,30000.0
32,6,151392.63999999998,181392.63999999998,30000.0,151392.63999999998,30000.0
29,5,120573.43999999999,150573.44,30000.0,120573.43999999999,30000.0
30,12,151064.96,181064.96,30000.0,151064.96,30000.0
