pe,P_proxy_W,T_proxy_K
0,3.6172774869109947,326.8487254245565
1,0.3,327.04494873486703
2,2.142931937172775,326.5961037194645
3,0.3,330.0447632696474
4,0.3,327.1370437975382
5,4.907329842931937,327.36686751776784
6,3.9858638743455495,326.49548891809013
7,0.3,324.6650091235604
8,3.064397905759162,325.7363554177401
9,4.907329842931937,327.06324211826006
10,6.381675392670157,329.00685449292143
11,0.3,326.6721882265442
12,2.142931937172775,328.00897751525855
13,3.064397905759162,325.78919502797925
14,0.3,326.4200773121669
15,3.9858638743455495,327.2455122657851
