pe,P_proxy_W,T_proxy_K
0,0.3,321.99939264046503
1,2.5814814814814815,323.8042516597334
2,2.5814814814814815,323.813903537731
3,0.3,322.1890979973033
4,3.559259259259259,325.065791918192
5,3.559259259259259,324.4410484571647
6,2.9074074074074074,323.62302470882975
7,2.9074074074074074,324.20940787849673
8,3.559259259259259,324.9687972958815
9,3.559259259259259,324.4265379297214
10,3.559259259259259,324.42854391780446
11,3.559259259259259,325.074473512595
12,0.3,321.78588257564985
13,3.559259259259259,324.99380637460195
14,2.9074074074074074,324.18342851618155
15,0.3,321.9122185624073
