task_id,pe_id,start_time_proxy_ns,finish_time_proxy_ns,duration_proxy_ns,data_ready_time_proxy_ns,priority_bottom_level_ns
1,11,0.0,15000.0,15000.0,0.0,119600.0
2,10,15240.0,33240.0,18000.0,15240.0,104360.0
3,5,33560.0,58560.0,25000.0,33560.0,86040.0
5,7,58880.0,78880.0,20000.0,58880.0,60720.0
4,15,33560.0,53560.0,20000.0,33560.0,60400.0
6,13,79360.0,104360.0,25000.0,79360.0,40240.0
8,6,15480.0,33480.0,18000.0,15480.0,18000.0
11,2,15720.0,30720.0,15000.0,15720.0,15000.0
7,9,104600.0,119600.0,15000.0,104600.0,15000.0
9,6,105080.0,115080.0,10000.0,105080.0,10000.0
10,9,119600.0,129600.0,10000.0,104600.0,10000.0
