task_id,pe_id,start_time_proxy_ns,finish_time_proxy_ns,duration_proxy_ns,data_ready_time_proxy_ns,priority_bottom_level_ns
1,6,0.0,8000.0,8000.0,0.0,91400.0
2,14,8280.0,18280.0,10000.0,8280.0,83120.0
3,8,20440.0,30440.0,10000.0,20440.0,70960.0
4,11,32600.0,42600.0,10000.0,32600.0,58800.0
5,13,44520.0,54520.0,10000.0,44520.0,46880.0
6,15,55800.0,65800.0,10000.0,55800.0,35600.0
7,2,68200.0,78200.0,10000.0,68200.0,23200.0
8,12,81400.0,91400.0,10000.0,81400.0,10000.0
9,4,80120.0,88120.0,8000.0,80120.0,8000.0
10,9,80120.0,88120.0,8000.0,80120.0,8000.0
11,7,8140.0,15140.0,7000.0,8140.0,7000.0
12,6,32600.0,39600.0,7000.0,32600.0,7000.0
