task_id,pe_id,start_time_proxy_ns,finish_time_proxy_ns,duration_proxy_ns,data_ready_time_proxy_ns,priority_bottom_level_ns
1,14,0.0,15000.0,15000.0,0.0,115348.15999999999
5,14,15000.0,65000.0,50000.0,15000.0,100133.12
2,2,15245.76,65245.76,50000.0,15245.76,100102.4
3,8,15245.76,65245.76,50000.0,15245.76,100081.92
4,14,65000.0,115000.0,50000.0,15000.0,100071.68
8,13,115020.48,145020.47999999998,30000.0,115020.48,50051.2
6,14,115000.0,145000.0,30000.0,65307.200000000004,50040.96
9,0,65102.4,95102.4,30000.0,65102.4,50030.72
7,11,65307.200000000004,95307.20000000001,30000.0,65307.200000000004,50020.479999999996
10,3,145071.68,165071.68,20000.0,145071.68,20000.0
