pe,source_pe,R_K_per_W
0,0,1.3431245924030115
0,1,0.04983559635203691
0,2,0.01454676412411391
0,3,0.08820179666189121
0,4,0.04983559635203691
0,5,0.01454676412411391
0,6,0.08820179666189121
0,7,0.06464245464383266
0,8,0.01454676412411391
0,9,0.08820179666189121
0,10,0.06464245464383266
0,11,0.26720582714573
0,12,0.08820179666189121
0,13,0.06464245464383266
0,14,0.26720582714573
0,15,0.0
1,0,0.04983559635203691
1,1,1.3431245924030115
1,2,0.04983559635203691
1,3,0.01454676412411391
1,4,0.01454676412411391
1,5,0.04983559635203691
1,6,0.01454676412411391
1,7,0.08820179666189121
1,8,0.08820179666189121
1,9,0.01454676412411391
1,10,0.08820179666189121
1,11,0.06464245464383266
1,12,0.06464245464383266
1,13,0.08820179666189121
1,14,0.06464245464383266
1,15,0.26720582714573
2,0,0.01454676412411391
2,1,0.04983559635203691
2,2,1.3431245924030115
2,3,0.04983559635203691
2,4,0.08820179666189121
2,5,0.01454676412411391
2,6,0.04983559635203691
2,7,0.01454676412411391
2,8,0.06464245464383266
2,9,0.08820179666189121
2,10,0.01454676412411391
2,11,0.08820179666189121
2,12,0.26720582714573
2,13,0.06464245464383266
2,14,0.08820179666189121
2,15,0.06464245464383266
3,0,0.08820179666189121
3,1,0.01454676412411391
3,2,0.04983559635203691
3,3,1.3431245924030115
3,4,0.06464245464383266
3,5,0.08820179666189121
3,6,0.01454676412411391
3,7,0.04983559635203691
3,8,0.26720582714573
3,9,0.06464245464383266
3,10,0.08820179666189121
3,11,0.01454676412411391
3,12,0.0
3,13,0.26720582714573
3,14,0.06464245464383266
3,15,0.08820179666189121
4,0,0.04983559635203691
4,1,0.01454676412411391
4,2,0.08820179666189121
4,3,0.06464245464383266
4,4,1.3431245924030115
4,5,0.04983559635203691
4,6,0.01454676412411391
4,7,0.08820179666189121
4,8,0.04983559635203691
4,9,0.01454676412411391
4,10,0.08820179666189121
4,11,0.06464245464383266
4,12,0.01454676412411391
4,13,0.08820179666189121
4,14,0.06464245464383266
4,15,0.26720582714573
5,0,0.01454676412411391
5,1,0.04983559635203691
5,2,0.01454676412411391
5,3,0.08820179666189121
5,4,0.04983559635203691
5,5,1.3431245924030115
5,6,0.04983559635203691
5,7,0.01454676412411391
5,8,0.01454676412411391
5,9,0.04983559635203691
5,10,0.01454676412411391
5,11,0.08820179666189121
5,12,0.08820179666189121
5,13,0.01454676412411391
5,14,0.08820179666189121
5,15,0.06464245464383266
6,0,0.08820179666189121
6,1,0.01454676412411391
6,2,0.04983559635203691
6,3,0.01454676412411391
6,4,0.01454676412411391
6,5,0.04983559635203691
6,6,1.3431245924030115
6,7,0.04983559635203691
6,8,0.08820179666189121
6,9,0.01454676412411391
6,10,0.04983559635203691
6,11,0.01454676412411391
6,12,0.06464245464383266
6,13,0.08820179666189121
6,14,0.01454676412411391
6,15,0.08820179666189121
7,0,0.06464245464383266
7,1,0.08820179666189121
7,2,0.01454676412411391
7,3,0.04983559635203691
7,4,0.08820179666189121
7,5,0.01454676412411391
7,6,0.04983559635203691
7,7,1.3431245924030115
7,8,0.06464245464383266
7,9,0.08820179666189121
7,10,0.01454676412411391
7,11,0.04983559635203691
7,12,0.26720582714573
7,13,0.06464245464383266
7,14,0.08820179666189121
7,15,0.01454676412411391
8,0,0.01454676412411391
8,1,0.08820179666189121
8,2,0.06464245464383266
8,3,0.26720582714573
8,4,0.04983559635203691
8,5,0.01454676412411391
8,6,0.08820179666189121
8,7,0.06464245464383266
8,8,1.3431245924030115
8,9,0.04983559635203691
8,10,0.01454676412411391
8,11,0.08820179666189121
8,12,0.04983559635203691
8,13,0.01454676412411391
8,14,0.08820179666189121
8,15,0.06464245464383266
9,0,0.08820179666189121
9,1,0.01454676412411391
9,2,0.08820179666189121
9,3,0.06464245464383266
9,4,0.01454676412411391
9,5,0.04983559635203691
9,6,0.01454676412411391
9,7,0.08820179666189121
9,8,0.04983559635203691
9,9,1.3431245924030115
9,10,0.04983559635203691
9,11,0.01454676412411391
9,12,0.01454676412411391
9,13,0.04983559635203691
9,14,0.01454676412411391
9,15,0.08820179666189121
10,0,0.06464245464383266
10,1,0.08820179666189121
10,2,0.01454676412411391
10,3,0.08820179666189121
10,4,0.08820179666189121
10,5,0.01454676412411391
10,6,0.04983559635203691
10,7,0.01454676412411391
10,8,0.01454676412411391
10,9,0.04983559635203691
10,10,1.3431245924030115
10,11,0.04983559635203691
10,12,0.08820179666189121
10,13,0.01454676412411391
10,14,0.04983559635203691
10,15,0.01454676412411391
11,0,0.26720582714573
11,1,0.06464245464383266
11,2,0.08820179666189121
11,3,0.01454676412411391
11,4,0.06464245464383266
11,5,0.08820179666189121
11,6,0.01454676412411391
11,7,0.04983559635203691
11,8,0.08820179666189121
11,9,0.01454676412411391
11,10,0.04983559635203691
11,11,1.3431245924030115
11,12,0.06464245464383266
11,13,0.08820179666189121
11,14,0.01454676412411391
11,15,0.04983559635203691
12,0,0.08820179666189121
12,1,0.06464245464383266
12,2,0.26720582714573
12,3,0.0
12,4,0.01454676412411391
12,5,0.08820179666189121
12,6,0.06464245464383266
12,7,0.26720582714573
12,8,0.04983559635203691
12,9,0.01454676412411391
12,10,0.08820179666189121
12,11,0.06464245464383266
12,12,1.3431245924030115
12,13,0.04983559635203691
12,14,0.01454676412411391
12,15,0.08820179666189121
13,0,0.06464245464383266
13,1,0.08820179666189121
13,2,0.06464245464383266
13,3,0.26720582714573
13,4,0.08820179666189121
13,5,0.01454676412411391
13,6,0.08820179666189121
13,7,0.06464245464383266
13,8,0.01454676412411391
13,9,0.04983559635203691
13,10,0.01454676412411391
13,11,0.08820179666189121
13,12,0.04983559635203691
13,13,1.3431245924030115
13,14,0.04983559635203691
13,15,0.01454676412411391
14,0,0.26720582714573
14,1,0.06464245464383266
14,2,0.08820179666189121
14,3,0.06464245464383266
14,4,0.06464245464383266
14,5,0.08820179666189121
14,6,0.01454676412411391
14,7,0.08820179666189121
14,8,0.08820179666189121
14,9,0.01454676412411391
14,10,0.04983559635203691
14,11,0.01454676412411391
14,12,0.01454676412411391
14,13,0.04983559635203691
14,14,1.3431245924030115
14,15,0.04983559635203691
15,0,0.0
15,1,0.26720582714573
15,2,0.06464245464383266
15,3,0.08820179666189121
15,4,0.26720582714573
15,5,0.06464245464383266
15,6,0.08820179666189121
15,7,0.01454676412411391
15,8,0.06464245464383266
15,9,0.08820179666189121
15,10,0.01454676412411391
15,11,0.04983559635203691
15,12,0.08820179666189121
15,13,0.01454676412411391
15,14,0.04983559635203691
15,15,1.3431245924030115
