pe,source_pe,R_K_per_W
0,0,1.219867219180893
0,1,0.0
0,2,0.14335746527934046
0,3,0.18677085686439848
0,4,0.0
0,5,0.14335746527934046
0,6,0.18677085686439848
0,7,0.0
0,8,0.14335746527934046
0,9,0.18677085686439848
0,10,0.0
0,11,1.1980955314333788
0,12,0.18677085686439848
0,13,0.0
0,14,1.1980955314333788
0,15,0.0
1,0,0.0
1,1,1.219867219180893
1,2,0.0
1,3,0.14335746527934046
1,4,0.14335746527934046
1,5,0.0
1,6,0.14335746527934046
1,7,0.18677085686439848
1,8,0.18677085686439848
1,9,0.14335746527934046
1,10,0.18677085686439848
1,11,0.0
1,12,0.0
1,13,0.18677085686439848
1,14,0.0
1,15,1.1980955314333788
2,0,0.14335746527934046
2,1,0.0
2,2,1.219867219180893
2,3,0.0
2,4,0.18677085686439848
2,5,0.14335746527934046
2,6,0.0
2,7,0.14335746527934046
2,8,0.0
2,9,0.18677085686439848
2,10,0.14335746527934046
2,11,0.18677085686439848
2,12,1.1980955314333788
2,13,0.0
2,14,0.18677085686439848
2,15,0.0
3,0,0.18677085686439848
3,1,0.14335746527934046
3,2,0.0
3,3,1.219867219180893
3,4,0.0
3,5,0.18677085686439848
3,6,0.14335746527934046
3,7,0.0
3,8,1.1980955314333788
3,9,0.0
3,10,0.18677085686439848
3,11,0.14335746527934046
3,12,0.0
3,13,1.1980955314333788
3,14,0.0
3,15,0.18677085686439848
4,0,0.0
4,1,0.14335746527934046
4,2,0.18677085686439848
4,3,0.0
4,4,1.219867219180893
4,5,0.0
4,6,0.14335746527934046
4,7,0.18677085686439848
4,8,0.0
4,9,0.14335746527934046
4,10,0.18677085686439848
4,11,0.0
4,12,0.14335746527934046
4,13,0.18677085686439848
4,14,0.0
4,15,1.1980955314333788
5,0,0.14335746527934046
5,1,0.0
5,2,0.14335746527934046
5,3,0.18677085686439848
5,4,0.0
5,5,1.219867219180893
5,6,0.0
5,7,0.14335746527934046
5,8,0.14335746527934046
5,9,0.0
5,10,0.14335746527934046
5,11,0.18677085686439848
5,12,0.18677085686439848
5,13,0.14335746527934046
5,14,0.18677085686439848
5,15,0.0
6,0,0.18677085686439848
6,1,0.14335746527934046
6,2,0.0
6,3,0.14335746527934046
6,4,0.14335746527934046
6,5,0.0
6,6,1.219867219180893
6,7,0.0
6,8,0.18677085686439848
6,9,0.14335746527934046
6,10,0.0
6,11,0.14335746527934046
6,12,0.0
6,13,0.18677085686439848
6,14,0.14335746527934046
6,15,0.18677085686439848
7,0,0.0
7,1,0.18677085686439848
7,2,0.14335746527934046
7,3,0.0
7,4,0.18677085686439848
7,5,0.14335746527934046
7,6,0.0
7,7,1.219867219180893
7,8,0.0
7,9,0.18677085686439848
7,10,0.14335746527934046
7,11,0.0
7,12,1.1980955314333788
7,13,0.0
7,14,0.18677085686439848
7,15,0.14335746527934046
8,0,0.14335746527934046
8,1,0.18677085686439848
8,2,0.0
8,3,1.1980955314333788
8,4,0.0
8,5,0.14335746527934046
8,6,0.18677085686439848
8,7,0.0
8,8,1.219867219180893
8,9,0.0
8,10,0.14335746527934046
8,11,0.18677085686439848
8,12,0.0
8,13,0.14335746527934046
8,14,0.18677085686439848
8,15,0.0
9,0,0.18677085686439848
9,1,0.14335746527934046
9,2,0.18677085686439848
9,3,0.0
9,4,0.14335746527934046
9,5,0.0
9,6,0.14335746527934046
9,7,0.18677085686439848
9,8,0.0
9,9,1.219867219180893
9,10,0.0
9,11,0.14335746527934046
9,12,0.14335746527934046
9,13,0.0
9,14,0.14335746527934046
9,15,0.18677085686439848
10,0,0.0
10,1,0.18677085686439848
10,2,0.14335746527934046
10,3,0.18677085686439848
10,4,0.18677085686439848
10,5,0.14335746527934046
10,6,0.0
10,7,0.14335746527934046
10,8,0.14335746527934046
10,9,0.0
10,10,1.219867219180893
10,11,0.0
10,12,0.18677085686439848
10,13,0.14335746527934046
10,14,0.0
10,15,0.14335746527934046
11,0,1.1980955314333788
11,1,0.0
11,2,0.18677085686439848
11,3,0.14335746527934046
11,4,0.0
11,5,0.18677085686439848
11,6,0.14335746527934046
11,7,0.0
11,8,0.18677085686439848
11,9,0.14335746527934046
11,10,0.0
11,11,1.219867219180893
11,12,0.0
11,13,0.18677085686439848
11,14,0.14335746527934046
11,15,0.0
12,0,0.18677085686439848
12,1,0.0
12,2,1.1980955314333788
12,3,0.0
12,4,0.14335746527934046
12,5,0.18677085686439848
12,6,0.0
12,7,1.1980955314333788
12,8,0.0
12,9,0.14335746527934046
12,10,0.18677085686439848
12,11,0.0
12,12,1.219867219180893
12,13,0.0
12,14,0.14335746527934046
12,15,0.18677085686439848
13,0,0.0
13,1,0.18677085686439848
13,2,0.0
13,3,1.1980955314333788
13,4,0.18677085686439848
13,5,0.14335746527934046
13,6,0.18677085686439848
13,7,0.0
13,8,0.14335746527934046
13,9,0.0
13,10,0.14335746527934046
13,11,0.18677085686439848
13,12,0.0
13,13,1.219867219180893
13,14,0.0
13,15,0.14335746527934046
14,0,1.1980955314333788
14,1,0.0
14,2,0.18677085686439848
14,3,0.0
14,4,0.0
14,5,0.18677085686439848
14,6,0.14335746527934046
14,7,0.18677085686439848
14,8,0.18677085686439848
14,9,0.14335746527934046
14,10,0.0
14,11,0.14335746527934046
14,12,0.14335746527934046
14,13,0.0
14,14,1.219867219180893
14,15,0.0
15,0,0.0
15,1,1.1980955314333788
15,2,0.0
15,3,0.18677085686439848
15,4,1.1980955314333788
15,5,0.0
15,6,0.18677085686439848
15,7,0.14335746527934046
15,8,0.0
15,9,0.18677085686439848
15,10,0.14335746527934046
15,11,0.0
15,12,0.18677085686439848
15,13,0.14335746527934046
15,14,0.0
15,15,1.219867219180893
