task_id,pe_id,start_time_proxy_ns,finish_time_proxy_ns,duration_proxy_ns,data_ready_time_proxy_ns,priority_bottom_level_ns
2,9,0.0,20000.0,20000.0,0.0,132048.0
1,5,0.0,20000.0,20000.0,0.0,131966.08
3,7,0.0,20000.0,20000.0,0.0,131802.24
4,11,0.0,20000.0,20000.0,0.0,131638.4
8,15,20245.76,50245.759999999995,30000.0,20245.76,111802.24
10,7,20000.0,50000.0,30000.0,20000.0,111802.24
5,0,20163.84,50163.84,30000.0,20163.84,111802.23999999999
9,0,50163.84,80163.84,30000.0,20327.68,111310.72
12,1,20327.68,50327.68,30000.0,20327.68,111310.72
6,14,20245.76,50245.759999999995,30000.0,20245.76,111146.88
11,12,20327.68,50327.68,30000.0,20327.68,111146.87999999999
7,9,20000.0,50000.0,30000.0,20000.0,110655.36
13,4,50327.67999999999,100327.68,50000.0,50327.67999999999,81638.4
19,12,50737.27999999999,100737.28,50000.0,50737.27999999999,81310.72
24,14,50491.52,100491.51999999999,50000.0,50491.52,81310.72
27,6,50655.36,100655.36,50000.0,50655.36,80983.04000000001
14,13,50819.2,100819.2,50000.0,50819.2,80655.36
15,2,50737.27999999999,100737.28,50000.0,50737.27999999999,80655.36
18,9,50000.0,100000.0,50000.0,50000.0,80655.36
22,13,100819.2,150819.2,50000.0,80819.2,80655.36
23,3,50163.84,100163.84,50000.0,50163.84,80655.36
26,4,100327.68,150327.68,50000.0,50655.36,80655.36
16,6,100655.36,150655.36,50000.0,50573.439999999995,80327.68
17,5,50163.84,100163.84,50000.0,50163.84,80327.68
20,5,100163.84,150163.84,50000.0,50901.119999999995,80327.68
21,11,80983.04,130983.04,50000.0,80983.04,80327.68
25,2,100737.28,150737.28,50000.0,51146.88,80327.68
28,14,100491.51999999999,150491.52,50000.0,50983.04,80327.68
31,6,151064.96,181064.96,30000.0,151064.96,30000.0
32,1,150983.03999999998,180983.03999999998,30000.0,150983.03999999998,30000.0
29,15,131310.72,161310.72,30000.0,131310.72,30000.0
30,10,151474.56,181474.56,30000.0,151474.56,30000.0
