task_id,pe_id,start_time_proxy_ns,finish_time_proxy_ns,duration_proxy_ns,data_ready_time_proxy_ns,priority_bottom_level_ns
1,1,0.0,8000.0,8000.0,0.0,84840.0
2,6,8280.0,18280.0,10000.0,8280.0,76560.0
3,7,19000.0,29000.0,10000.0,19000.0,65840.0
4,2,30440.0,40440.0,10000.0,30440.0,54400.0
5,9,42360.0,52360.0,10000.0,42360.0,42480.0
6,5,53000.0,63000.0,10000.0,53000.0,31840.0
7,10,64200.0,74200.0,10000.0,64200.0,20640.0
8,11,74840.0,84840.0,10000.0,74840.0,10000.0
9,8,75480.0,83480.0,8000.0,75480.0,8000.0
10,14,74840.0,82840.0,8000.0,74840.0,8000.0
11,4,8280.0,15280.0,7000.0,8280.0,7000.0
12,3,29720.0,36720.0,7000.0,29720.0,7000.0
