task_id,pe_id,start_time_proxy_ns,finish_time_proxy_ns,duration_proxy_ns,data_ready_time_proxy_ns,priority_bottom_level_ns
1,7,0.0,15000.0,15000.0,0.0,120960.0
2,4,15720.0,33720.0,18000.0,15720.0,105240.0
3,11,34360.0,59360.0,25000.0,34360.0,86600.0
5,1,60000.0,80000.0,20000.0,60000.0,60960.0
4,7,34200.0,54200.0,20000.0,34200.0,60800.0
6,6,80240.0,105240.0,25000.0,80240.0,40720.0
8,8,15960.0,33960.0,18000.0,15960.0,18000.0
11,9,15720.0,30720.0,15000.0,15720.0,15000.0
7,13,105960.0,120960.0,15000.0,105960.0,15000.0
9,15,105960.0,115960.0,10000.0,105960.0,10000.0
10,10,105480.0,115480.0,10000.0,105480.0,10000.0
