pe,P_proxy_W,T_proxy_K
0,0.3,321.96006206551004
1,2.9074074074074074,324.24776816985707
2,3.559259259259259,324.9784491738791
3,0.3,321.95057885376764
4,2.5814814814814815,323.8147502110106
5,3.559259259259259,324.4180453665272
6,3.559259259259259,324.47455009907935
7,3.559259259259259,324.9784491738791
8,3.559259259259259,325.06494524491245
9,2.9074074074074074,323.6460277994672
10,3.559259259259259,324.3805317484465
11,2.9074074074074074,324.19878571690447
12,0.3,322.1794461193057
13,2.5814814814814815,323.72837775029234
14,3.559259259259259,325.10233525267813
15,0.3,321.7965047372421
