pe,P_proxy_W,T_proxy_K
0,4.761971830985916,331.1207307073435
1,3.2746478873239435,329.63598936507765
2,3.2746478873239435,329.53833535381233
3,3.2746478873239435,329.7564829018241
4,5.25774647887324,331.9727783115286
5,0.2999999999999998,326.23120977883184
6,0.3,326.3288637900971
7,5.25774647887324,331.70626114132534
8,0.2999999999999998,325.8160421583584
9,0.2999999999999998,326.2806171732577
10,0.3,326.01410000305435
11,0.3,325.91369616962373
12,2.2830985915492956,329.01688224905695
13,5.25774647887324,331.561521290807
14,5.25774647887324,331.82803846101035
15,0.3,326.61048565732557
