pe,P_proxy_W,T_proxy_K
0,1.7193548387096773,328.7377008605775
1,2.570967741935484,328.66930027739267
2,2.570967741935484,328.68959510111586
3,1.719354838709678,328.7485410025644
4,3.7064516129032263,328.6855175219139
5,2.2870967741935484,328.69669805177074
6,2.0032258064516126,328.67107111771907
7,3.1387096774193557,328.6613742617029
8,1.7193548387096773,328.76239963626364
9,2.570967741935484,328.65419280880496
10,2.570967741935484,328.65494726652656
11,1.719354838709678,328.7714787935977
12,3.7064516129032263,328.6922092809634
13,2.0032258064516126,328.7183854778546
14,2.0032258064516126,328.7342804193579
15,3.990322580645162,328.6961593399584
