pe,source_pe,R_K_per_W
0,0,0.2616194073831319
0,1,0.314983677669148
0,2,0.198010605452912
0,3,0.3176414264610926
0,4,0.314983677669148
0,5,0.198010605452912
0,6,0.3176414264610926
0,7,0.22733625181484146
0,8,0.198010605452912
0,9,0.3176414264610926
0,10,0.22733625181484146
0,11,0.2781316925902688
0,12,0.3176414264610926
0,13,0.22733625181484146
0,14,0.2781316925902688
0,15,0.22379053194285567
1,0,0.314983677669148
1,1,0.2616194073831319
1,2,0.314983677669148
1,3,0.198010605452912
1,4,0.198010605452912
1,5,0.314983677669148
1,6,0.198010605452912
1,7,0.3176414264610926
1,8,0.3176414264610926
1,9,0.198010605452912
1,10,0.3176414264610926
1,11,0.22733625181484146
1,12,0.22733625181484146
1,13,0.3176414264610926
1,14,0.22733625181484146
1,15,0.2781316925902688
2,0,0.198010605452912
2,1,0.314983677669148
2,2,0.2616194073831319
2,3,0.314983677669148
2,4,0.3176414264610926
2,5,0.198010605452912
2,6,0.314983677669148
2,7,0.198010605452912
2,8,0.22733625181484146
2,9,0.3176414264610926
2,10,0.198010605452912
2,11,0.3176414264610926
2,12,0.2781316925902688
2,13,0.22733625181484146
2,14,0.3176414264610926
2,15,0.22733625181484146
3,0,0.3176414264610926
3,1,0.198010605452912
3,2,0.314983677669148
3,3,0.2616194073831319
3,4,0.22733625181484146
3,5,0.3176414264610926
3,6,0.198010605452912
3,7,0.314983677669148
3,8,0.2781316925902688
3,9,0.22733625181484146
3,10,0.3176414264610926
3,11,0.198010605452912
3,12,0.22379053194285567
3,13,0.2781316925902688
3,14,0.22733625181484146
3,15,0.3176414264610926
4,0,0.314983677669148
4,1,0.198010605452912
4,2,0.3176414264610926
4,3,0.22733625181484146
4,4,0.2616194073831319
4,5,0.314983677669148
4,6,0.198010605452912
4,7,0.3176414264610926
4,8,0.314983677669148
4,9,0.198010605452912
4,10,0.3176414264610926
4,11,0.22733625181484146
4,12,0.198010605452912
4,13,0.3176414264610926
4,14,0.22733625181484146
4,15,0.2781316925902688
5,0,0.198010605452912
5,1,0.314983677669148
5,2,0.198010605452912
5,3,0.3176414264610926
5,4,0.314983677669148
5,5,0.2616194073831319
5,6,0.314983677669148
5,7,0.198010605452912
5,8,0.198010605452912
5,9,0.314983677669148
5,10,0.198010605452912
5,11,0.3176414264610926
5,12,0.3176414264610926
5,13,0.198010605452912
5,14,0.3176414264610926
5,15,0.22733625181484146
6,0,0.3176414264610926
6,1,0.198010605452912
6,2,0.314983677669148
6,3,0.198010605452912
6,4,0.198010605452912
6,5,0.314983677669148
6,6,0.2616194073831319
6,7,0.314983677669148
6,8,0.3176414264610926
6,9,0.198010605452912
6,10,0.314983677669148
6,11,0.198010605452912
6,12,0.22733625181484146
6,13,0.3176414264610926
6,14,0.198010605452912
6,15,0.3176414264610926
7,0,0.22733625181484146
7,1,0.3176414264610926
7,2,0.198010605452912
7,3,0.314983677669148
7,4,0.3176414264610926
7,5,0.198010605452912
7,6,0.314983677669148
7,7,0.2616194073831319
7,8,0.22733625181484146
7,9,0.3176414264610926
7,10,0.198010605452912
7,11,0.314983677669148
7,12,0.2781316925902688
7,13,0.22733625181484146
7,14,0.3176414264610926
7,15,0.198010605452912
8,0,0.198010605452912
8,1,0.3176414264610926
8,2,0.22733625181484146
8,3,0.2781316925902688
8,4,0.314983677669148
8,5,0.198010605452912
8,6,0.3176414264610926
8,7,0.22733625181484146
8,8,0.2616194073831319
8,9,0.314983677669148
8,10,0.198010605452912
8,11,0.3176414264610926
8,12,0.314983677669148
8,13,0.198010605452912
8,14,0.3176414264610926
8,15,0.22733625181484146
9,0,0.3176414264610926
9,1,0.198010605452912
9,2,0.3176414264610926
9,3,0.22733625181484146
9,4,0.198010605452912
9,5,0.314983677669148
9,6,0.198010605452912
9,7,0.3176414264610926
9,8,0.314983677669148
9,9,0.2616194073831319
9,10,0.314983677669148
9,11,0.198010605452912
9,12,0.198010605452912
9,13,0.314983677669148
9,14,0.198010605452912
9,15,0.3176414264610926
10,0,0.22733625181484146
10,1,0.3176414264610926
10,2,0.198010605452912
10,3,0.3176414264610926
10,4,0.3176414264610926
10,5,0.198010605452912
10,6,0.314983677669148
10,7,0.198010605452912
10,8,0.198010605452912
10,9,0.314983677669148
10,10,0.2616194073831319
10,11,0.314983677669148
10,12,0.3176414264610926
10,13,0.198010605452912
10,14,0.314983677669148
10,15,0.198010605452912
11,0,0.2781316925902688
11,1,0.22733625181484146
11,2,0.3176414264610926
11,3,0.198010605452912
11,4,0.22733625181484146
11,5,0.3176414264610926
11,6,0.198010605452912
11,7,0.314983677669148
11,8,0.3176414264610926
11,9,0.198010605452912
11,10,0.314983677669148
11,11,0.2616194073831319
11,12,0.22733625181484146
11,13,0.3176414264610926
11,14,0.198010605452912
11,15,0.314983677669148
12,0,0.3176414264610926
12,1,0.22733625181484146
12,2,0.2781316925902688
12,3,0.22379053194285567
12,4,0.198010605452912
12,5,0.3176414264610926
12,6,0.22733625181484146
12,7,0.2781316925902688
12,8,0.314983677669148
12,9,0.198010605452912
12,10,0.3176414264610926
12,11,0.22733625181484146
12,12,0.2616194073831319
12,13,0.314983677669148
12,14,0.198010605452912
12,15,0.3176414264610926
13,0,0.22733625181484146
13,1,0.3176414264610926
13,2,0.22733625181484146
13,3,0.2781316925902688
13,4,0.3176414264610926
13,5,0.198010605452912
13,6,0.3176414264610926
13,7,0.22733625181484146
13,8,0.198010605452912
13,9,0.314983677669148
13,10,0.198010605452912
13,11,0.3176414264610926
13,12,0.314983677669148
13,13,0.2616194073831319
13,14,0.314983677669148
13,15,0.198010605452912
14,0,0.2781316925902688
14,1,0.22733625181484146
14,2,0.3176414264610926
14,3,0.22733625181484146
14,4,0.22733625181484146
14,5,0.3176414264610926
14,6,0.198010605452912
14,7,0.3176414264610926
14,8,0.3176414264610926
14,9,0.198010605452912
14,10,0.314983677669148
14,11,0.198010605452912
14,12,0.198010605452912
14,13,0.314983677669148
14,14,0.2616194073831319
