pe,P_proxy_W,T_proxy_K
0,2.9074074074074074,324.5432289645924
1,3.559259259259259,324.97820195324897
2,3.559259259259259,324.8094035870847
3,0.2999999999999998,321.98032297161876
4,3.559259259259259,324.97820195324897
5,3.559259259259259,324.21148616165215
6,3.559259259259259,324.6435956858738
7,3.559259259259259,324.9775370797057
8,3.559259259259259,324.8833951187578
9,2.9074074074074074,323.8150733862616
10,2.9074074074074074,323.6386291301827
11,2.5814814814814815,324.48318720147944
12,0.3,322.3398101116971
13,2.5814814814814815,323.8400065103612
14,0.3,321.48957510763495
15,0.3,322.04379909349956
