pe,P_proxy_W,T_proxy_K
0,1.787323943661972,327.6396705960868
1,5.25774647887324,332.11751816204696
2,3.2746478873239435,329.393595503294
3,0.2999999999999998,326.4201626410856
4,5.25774647887324,332.2140113957258
5,0.2999999999999998,326.23120977883184
6,3.2746478873239435,329.90641713503277
7,5.25774647887324,331.70626114132534
8,5.25774647887324,331.77863106658447
9,0.2999999999999998,326.42535702377603
10,0.3,326.15883985357266
11,3.2746478873239435,329.3947562808805
12,2.2830985915492956,328.28533688133524
13,3.2746478873239435,329.32122557803484
14,0.3,325.91369616962373
15,0.3,326.02368014012217
