pe,P_proxy_W,T_proxy_K
0,3.1387096774193552,328.6644205962542
1,1.7193548387096778,328.72303951136615
2,2.85483870967742,328.71013650304945
3,2.287096774193549,328.72399807015944
4,2.003225806451612,328.73352596163636
5,3.1387096774193557,328.68804281996177
6,2.570967741935484,328.673885703591
7,2.0032258064516126,328.69532655146446
8,2.570967741935484,328.70860234600406
9,3.1387096774193557,328.702428846022
10,2.570967741935484,328.6882717296511
11,2.570967741935484,328.67040293583216
12,2.570967741935484,328.6826518829096
13,2.0032258064516126,328.711094628858
14,3.1387096774193552,328.69819162054125
15,1.7193548387096778,328.74222935681485
