pe,P_proxy_W,T_proxy_K
0,2.142931937172775,327.1132934644379
1,3.6172774869109947,326.67649016712613
2,3.6172774869109947,326.7164941300526
3,3.064397905759162,326.2535451627135
4,3.064397905759162,326.3045835871773
5,3.9858638743455495,326.15145483692186
6,4.907329842931937,327.0234100512138
7,3.0643979057591624,326.13248059865305
8,0.2999999999999998,325.8609365496826
9,3.9858638743455495,326.7710255956092
10,4.907329842931937,327.67089763600956
11,2.142931937172775,326.6208546077149
12,0.3,329.69221839614033
13,0.3,326.11304746406
14,0.3,324.75693229035136
15,0.3,329.99642041026226
