pe,P_proxy_W,T_proxy_K
0,2.9074074074074074,324.5432289645924
1,3.559259259259259,324.97820195324897
2,3.559259259259259,324.8094035870847
3,0.2999999999999998,322.00533205033923
4,3.559259259259259,324.97820195324897
5,3.559259259259259,324.21148616165215
6,3.559259259259259,324.6435956858738
7,2.9074074074074074,324.1115011620128
8,3.559259259259259,324.8507401501227
9,2.9074074074074074,323.7900643075411
10,3.559259259259259,324.5046650478756
11,2.5814814814814815,324.48318720147944
12,0.3,322.22312600293725
13,2.5814814814814815,323.8073515417261
14,0.3,321.4645660289145
15,0.3,322.04379909349956
